# value	voltage [V]
0	0.377110
1	0.383560
2	0.390870
3	0.397320
4	0.403770
5	0.410650
6	0.417100
7	0.423550
8	0.430000
9	0.436880
10	0.443330
11	0.450210
12	0.457090
13	0.463540
14	0.469990
15	0.476870
16	0.483320
17	0.490200
18	0.497080
19	0.503100
20	0.509980
21	0.516430
22	0.523310
23	0.530190
24	0.537070
25	0.543090
26	0.549540
27	0.556420
28	0.563300
29	0.569750
30	0.576200
31	0.583080
32	0.589530
33	0.596410
34	0.602860
35	0.609740
36	0.616190
37	0.623070
38	0.629520
39	0.635970
40	0.642850
41	0.649300
42	0.655750
43	0.662630
44	0.669510
45	0.676390
46	0.682410
47	0.689290
48	0.695740
49	0.702620
50	0.709070
51	0.715950
52	0.722400
53	0.728850
54	0.735730
55	0.742180
56	0.748630
57	0.755510
58	0.761960
59	0.768840
60	0.775290
61	0.782170
62	0.788620
63	0.795500
64	0.802380
65	0.808830
66	0.815280
67	0.821730
68	0.828610
69	0.835920
70	0.842370
71	0.848390
72	0.855270
73	0.861720
74	0.868600
75	0.875050
76	0.881500
77	0.888380
78	0.895260
79	0.901710
80	0.908160
81	0.915040
82	0.921490
83	0.928370
84	0.934820
85	0.941700
86	0.948580
87	0.955030
88	0.961480
89	0.968360
90	0.974810
91	0.981260
92	0.988140
93	0.995020
94	1.001470
95	1.007920
96	1.014800
97	1.021680
98	1.028130
99	1.034580
100	1.041460
101	1.048340
102	1.054790
103	1.061670
104	1.068120
105	1.075000
106	1.081450
107	1.087900
108	1.094780
109	1.101660
110	1.108540
111	1.114990
112	1.121870
113	1.128750
114	1.134770
115	1.141650
116	1.148530
117	1.154980
118	1.161860
119	1.168740
120	1.175190
121	1.181640
122	1.188950
123	1.195400
124	1.201850
125	1.209160
126	1.215610
127	1.222060
128	1.228940
129	1.235820
130	1.242700
131	1.249150
132	1.256030
133	1.262910
134	1.269360
135	1.276240
136	1.283120
137	1.289570
138	1.296020
139	1.302900
140	1.309780
141	1.316230
142	1.323110
143	1.329560
144	1.336440
145	1.343320
146	1.349770
147	1.356220
148	1.363530
149	1.369980
150	1.376430
151	1.383310
152	1.390190
153	1.397070
154	1.403520
155	1.410400
156	1.416420
157	1.423300
158	1.430180
159	1.437060
160	1.443940
161	1.450390
162	1.456840
163	1.464150
164	1.470600
165	1.477050
166	1.483930
167	1.490810
168	1.497260
169	1.503710
170	1.510590
171	1.517040
172	1.523490
173	1.530800
174	1.536820
175	1.544130
176	1.550150
177	1.556600
178	1.563050
179	1.569500
180	1.575950
181	1.582400
182	1.588420
183	1.594870
184	1.600890
185	1.606910
186	1.612500
187	1.618520
188	1.624110
189	1.629700
190	1.635290
191	1.640450
192	1.646040
193	1.650770
194	1.655930
195	1.660660
196	1.665390
197	1.669690
198	1.673990
199	1.677860
200	1.682160
201	1.685600
202	1.689040
203	1.692050
204	1.695920
205	1.698500
206	1.701080
207	1.703660
208	1.705810
209	1.707960
210	1.709680
211	1.710970
212	1.711830
213	1.712260
214	1.712690
215	1.712690
216	1.713120
217	1.713550
218	1.713550
219	1.713550
220	1.713980
221	1.713980
222	1.713980
223	1.713980
224	1.713980
225	1.713980
226	1.713980
227	1.713980
228	1.713980
229	1.713980
230	1.713980
231	1.713980
232	1.713980
233	1.713980
234	1.713980
235	1.713980
236	1.713980
237	1.713980
238	1.713980
239	1.713980
240	1.713980
241	1.713980
242	1.713980
243	1.713980
244	1.713980
245	1.713980
246	1.713980
247	1.713980
248	1.713980
249	1.713980
250	1.713980
251	1.713980
252	1.713980
253	1.713980
254	1.713980
255	1.713980
