# value	voltage [V]
0	0.384420
1	0.390870
2	0.397750
3	0.404630
4	0.410650
5	0.417530
6	0.424410
7	0.430860
8	0.437310
9	0.443760
10	0.450640
11	0.457090
12	0.463540
13	0.470420
14	0.476870
15	0.483320
16	0.489770
17	0.496650
18	0.503530
19	0.509980
20	0.516860
21	0.522880
22	0.529760
23	0.536210
24	0.543090
25	0.549110
26	0.556420
27	0.562870
28	0.569320
29	0.576200
30	0.582650
31	0.589100
32	0.595980
33	0.602430
34	0.609310
35	0.615330
36	0.622210
37	0.629090
38	0.635540
39	0.641990
40	0.648870
41	0.655320
42	0.661770
43	0.668220
44	0.675530
45	0.681550
46	0.688430
47	0.694880
48	0.701330
49	0.707780
50	0.714660
51	0.721110
52	0.727990
53	0.734440
54	0.741320
55	0.747340
56	0.754220
57	0.761100
58	0.767120
59	0.774430
60	0.780880
61	0.787760
62	0.793780
63	0.800230
64	0.807110
65	0.813560
66	0.820440
67	0.826890
68	0.833340
69	0.840220
70	0.847100
71	0.853550
72	0.860000
73	0.866450
74	0.873330
75	0.879780
76	0.886660
77	0.892680
78	0.899560
79	0.906010
80	0.912890
81	0.919340
82	0.925790
83	0.932670
84	0.939550
85	0.946000
86	0.952450
87	0.959330
88	0.965780
89	0.972660
90	0.979110
91	0.985990
92	0.992440
93	0.998890
94	1.005340
95	1.012220
96	1.018670
97	1.025550
98	1.032000
99	1.038450
100	1.045330
101	1.052210
102	1.058660
103	1.065540
104	1.071990
105	1.078440
106	1.085320
107	1.092200
108	1.098650
109	1.105100
110	1.111980
111	1.118430
112	1.124880
113	1.131760
114	1.138210
115	1.145090
116	1.151540
117	1.158420
118	1.164870
119	1.171750
120	1.178630
121	1.184650
122	1.191530
123	1.198410
124	1.204860
125	1.212170
126	1.218620
127	1.225070
128	1.231950
129	1.238830
130	1.245280
131	1.252160
132	1.258610
133	1.265060
134	1.272370
135	1.278820
136	1.285270
137	1.292150
138	1.298600
139	1.305480
140	1.311930
141	1.318810
142	1.325690
143	1.332140
144	1.338590
145	1.345470
146	1.352350
147	1.358800
148	1.365680
149	1.372130
150	1.379010
151	1.385890
152	1.392340
153	1.398790
154	1.405670
155	1.412120
156	1.418570
157	1.425450
158	1.432330
159	1.439210
160	1.445660
161	1.452540
162	1.458990
163	1.465440
164	1.472320
165	1.478770
166	1.485650
167	1.492530
168	1.498980
169	1.505430
170	1.512310
171	1.518330
172	1.525640
173	1.531660
174	1.538540
175	1.544560
176	1.551440
177	1.557890
178	1.563910
179	1.570360
180	1.576380
181	1.583260
182	1.589280
183	1.594870
184	1.600890
185	1.607340
186	1.612500
187	1.618520
188	1.624110
189	1.629700
190	1.634430
191	1.639590
192	1.645180
193	1.649910
194	1.654640
195	1.659370
196	1.663670
197	1.667970
198	1.671840
199	1.676140
200	1.679150
201	1.683020
202	1.686030
203	1.689470
204	1.692050
205	1.695060
206	1.697210
207	1.699790
208	1.701510
209	1.703230
210	1.704950
211	1.706670
212	1.707530
213	1.708820
214	1.709680
215	1.710540
216	1.710970
217	1.711400
218	1.711830
219	1.712260
220	1.712260
221	1.712260
222	1.712690
223	1.712260
224	1.712260
225	1.712690
226	1.712690
227	1.712690
228	1.712690
229	1.712690
230	1.712690
231	1.712690
232	1.712690
233	1.712690
234	1.712690
235	1.712690
236	1.712690
237	1.712690
238	1.712690
239	1.712690
240	1.712690
241	1.712690
242	1.712690
243	1.712690
244	1.712690
245	1.712690
246	1.712690
247	1.712690
248	1.712690
249	1.712690
250	1.712690
251	1.712690
252	1.712690
253	1.712690
254	1.712690
255	1.712260
