# value	voltage [V]
0	0.003870
1	0.010750
2	0.017200
3	0.024080
4	0.030530
5	0.036980
6	0.043430
7	0.050310
8	0.057190
9	0.064070
10	0.070950
11	0.077400
12	0.083850
13	0.090300
14	0.097180
15	0.103630
16	0.110510
17	0.117390
18	0.123840
19	0.130720
20	0.137170
21	0.144050
22	0.150500
23	0.156950
24	0.163400
25	0.170280
26	0.177160
27	0.183610
28	0.190060
29	0.196940
30	0.203390
31	0.210270
32	0.216720
33	0.223600
34	0.230050
35	0.236930
36	0.243380
37	0.250260
38	0.256710
39	0.263160
40	0.270040
41	0.276490
42	0.283370
43	0.289820
44	0.296270
45	0.303150
46	0.309600
47	0.316050
48	0.322500
49	0.329380
50	0.336260
51	0.342710
52	0.349590
53	0.356040
54	0.362490
55	0.369370
56	0.375820
57	0.382270
58	0.389150
59	0.395600
60	0.402480
61	0.408930
62	0.415380
63	0.421830
64	0.428710
65	0.435160
66	0.442040
67	0.448490
68	0.454940
69	0.461390
70	0.468270
71	0.474720
72	0.481600
73	0.487620
74	0.494070
75	0.501380
76	0.507830
77	0.514280
78	0.521590
79	0.527180
80	0.534060
81	0.540940
82	0.547390
83	0.554270
84	0.560720
85	0.567170
86	0.573620
87	0.580070
88	0.586520
89	0.592970
90	0.600280
91	0.606730
92	0.613180
93	0.620060
94	0.626510
95	0.632960
96	0.639410
97	0.646290
98	0.652310
99	0.659190
100	0.665640
101	0.672520
102	0.678540
103	0.685420
104	0.692300
105	0.697890
106	0.705200
107	0.711220
108	0.718100
109	0.724550
110	0.731000
111	0.737880
112	0.744330
113	0.750780
114	0.756800
115	0.764540
116	0.770130
117	0.777010
118	0.783030
119	0.789480
120	0.795930
121	0.802810
122	0.809690
123	0.814850
124	0.822160
125	0.827750
126	0.835060
127	0.840220
128	0.847530
129	0.855270
130	0.861290
131	0.866880
132	0.872900
133	0.879780
134	0.887090
135	0.893110
136	0.898270
137	0.906010
138	0.912030
139	0.918050
140	0.923640
141	0.928370
142	0.935680
143	0.941270
144	0.946860
145	0.953310
146	0.963630
147	0.968790
148	0.973520
149	0.979110
150	0.985990
151	0.991580
152	0.999750
153	1.004480
154	1.012220
155	1.017810
156	1.025550
157	1.032430
158	1.037160
159	1.043180
160	1.049200
161	1.054790
162	1.062960
163	1.069410
164	1.075000
165	1.081020
166	1.087900
167	1.094780
168	1.101230
169	1.108540
170	1.114560
171	1.122300
172	1.129180
173	1.136490
174	1.142080
175	1.149390
176	1.156700
177	1.162290
178	1.170460
179	1.176480
180	1.184220
181	1.190670
182	1.197550
183	1.204860
184	1.210880
185	1.218620
186	1.225070
187	1.231950
188	1.239260
189	1.245280
190	1.253020
191	1.259900
192	1.268070
193	1.273660
194	1.280540
195	1.286990
196	1.293440
197	1.301180
198	1.307200
199	1.314080
200	1.321390
201	1.327840
202	1.336010
203	1.342030
204	1.349340
205	1.356220
206	1.362670
207	1.369550
208	1.376860
209	1.383310
210	1.390190
211	1.397500
212	1.403950
213	1.411260
214	1.418140
215	1.425020
216	1.431470
217	1.438780
218	1.445660
219	1.452540
220	1.459420
221	1.465870
222	1.473180
223	1.480060
224	1.486510
225	1.492960
226	1.500270
227	1.507580
228	1.514030
229	1.521340
230	1.527790
231	1.535100
232	1.541550
233	1.548860
234	1.555740
235	1.562620
236	1.569500
237	1.576380
238	1.582830
239	1.590140
240	1.596590
241	1.603900
242	1.610780
243	1.617660
244	1.624540
245	1.631850
246	1.638300
247	1.645610
248	1.652490
249	1.659370
250	1.666250
251	1.673130
252	1.680010
253	1.686460
254	1.693770
255	1.702370
