# value	current [nA]
0	0.006750
1	0.014250
2	0.031500
3	0.043500
4	0.057000
5	0.069000
6	0.083250
7	0.099000
8	0.108750
9	0.122250
10	0.136500
11	0.150000
12	0.161250
13	0.174750
14	0.186000
15	0.197250
16	0.213750
17	0.222750
18	0.237750
19	0.254250
20	0.261750
21	0.276750
22	0.288750
23	0.301500
24	0.313500
25	0.330000
26	0.339000
27	0.352500
28	0.366000
29	0.378000
30	0.391500
31	0.404250
32	0.417750
33	0.429000
34	0.442500
35	0.452250
36	0.465750
37	0.481500
38	0.494250
39	0.506250
40	0.517500
41	0.533250
42	0.544500
43	0.558000
44	0.570750
45	0.586500
46	0.596250
47	0.605250
48	0.623250
49	0.633750
50	0.644250
51	0.657750
52	0.671250
53	0.684000
54	0.699000
55	0.711750
56	0.723750
57	0.735000
58	0.746250
59	0.761250
60	0.771750
61	0.783000
62	0.798000
63	0.810750
64	0.821250
65	0.834750
66	0.849000
67	0.858750
68	0.873750
69	0.884250
70	0.896250
71	0.908250
72	0.924000
73	0.933000
74	0.948000
75	0.960000
76	0.971250
77	0.982500
78	0.997500
79	1.011750
80	1.025250
81	1.036500
82	1.045500
83	1.059000
84	1.073250
85	1.085250
86	1.091250
87	1.106250
88	1.121250
89	1.131750
90	1.145250
91	1.161750
92	1.170000
93	1.183500
94	1.197750
95	1.208250
96	1.218000
97	1.231500
98	1.244250
99	1.257000
100	1.272000
101	1.281750
102	1.291500
103	1.305750
104	1.317750
105	1.330500
106	1.344750
107	1.357500
108	1.370250
109	1.379250
110	1.391250
111	1.401750
112	1.414500
113	1.429500
114	1.438500
115	1.455000
116	1.464750
117	1.476750
118	1.488750
119	1.501500
120	1.515750
121	1.524750
122	1.538250
123	1.548750
124	1.561500
125	1.575000
126	1.584000
127	1.599750
128	1.608000
129	1.620000
130	1.640250
131	1.645500
132	1.658250
133	1.671000
134	1.681500
135	1.694250
136	1.707000
137	1.718250
138	1.732500
139	1.743000
140	1.757250
141	1.770000
142	1.778250
143	1.794750
144	1.806000
145	1.817250
146	1.830750
147	1.841250
148	1.855500
149	1.865250
150	1.880250
151	1.892250
152	1.901250
153	1.914000
154	1.927500
155	1.942500
156	1.950750
157	1.965000
158	1.975500
159	1.989000
160	2.001000
161	2.013000
162	2.023500
163	2.035500
164	2.048250
165	2.061750
166	2.073750
167	2.087250
168	2.100000
169	2.109750
170	2.121000
171	2.133750
172	2.145000
173	2.154750
174	2.171250
175	2.180250
176	2.194500
177	2.205750
178	2.220750
179	2.228250
180	2.243250
181	2.257500
182	2.265750
183	2.279250
184	2.289750
185	2.307000
186	2.313000
187	2.323500
188	2.337750
189	2.353500
190	2.361000
191	2.376000
192	2.388000
193	2.399250
194	2.407500
195	2.423250
196	2.435250
197	2.447250
198	2.464500
199	2.472000
200	2.484000
201	2.493750
202	2.510250
203	2.520000
204	2.531250
205	2.541000
206	2.559000
207	2.568000
208	2.582250
209	2.593500
210	2.607750
211	2.619000
212	2.631000
213	2.643000
214	2.655750
215	2.666250
216	2.679000
217	2.688000
218	2.705250
219	2.716500
220	2.724750
221	2.739750
222	2.752500
223	2.766750
224	2.772750
225	2.784750
226	2.802000
227	2.811000
228	2.825250
229	2.835750
230	2.849250
231	2.862000
232	2.870250
233	2.883000
234	2.897250
235	2.910000
236	2.922750
237	2.931750
238	2.944500
239	2.956500
240	2.968500
241	2.980500
242	2.991750
243	3.005250
244	3.017250
245	3.030000
246	3.033750
247	3.035250
248	3.035250
249	3.035250
250	3.035250
251	3.036000
252	3.036000
253	3.036000
254	3.036000
255	3.036000
