# value	current [nA]
0	0.007500
1	0.017250
2	0.033000
3	0.047250
4	0.058500
5	0.075750
6	0.089250
7	0.103500
8	0.114000
9	0.133500
10	0.141750
11	0.156000
12	0.172500
13	0.186000
14	0.200250
15	0.212250
16	0.226500
17	0.240000
18	0.252000
19	0.263250
20	0.282750
21	0.294750
22	0.306750
23	0.322500
24	0.333750
25	0.348000
26	0.362250
27	0.376500
28	0.391500
29	0.404250
30	0.417750
31	0.429000
32	0.444750
33	0.457500
34	0.470250
35	0.485250
36	0.493500
37	0.508500
38	0.525000
39	0.535500
40	0.549750
41	0.564000
42	0.573000
43	0.590250
44	0.603750
45	0.614250
46	0.627750
47	0.645750
48	0.655500
49	0.666000
50	0.682500
51	0.696000
52	0.708000
53	0.720000
54	0.733500
55	0.744750
56	0.763500
57	0.774750
58	0.786000
59	0.801000
60	0.809250
61	0.829500
62	0.837000
63	0.852000
64	0.864000
65	0.876750
66	0.891750
67	0.902250
68	0.918750
69	0.928500
70	0.942750
71	0.955500
72	0.969750
73	0.986250
74	0.991500
75	1.011000
76	1.023750
77	1.035000
78	1.049250
79	1.063500
80	1.075500
81	1.085250
82	1.101750
83	1.113750
84	1.125750
85	1.140750
86	1.153500
87	1.165500
88	1.177500
89	1.193250
90	1.201500
91	1.219500
92	1.230000
93	1.242750
94	1.257750
95	1.268250
96	1.283250
97	1.292250
98	1.308750
99	1.320000
100	1.334250
101	1.344750
102	1.356000
103	1.372500
104	1.386000
105	1.395000
106	1.410000
107	1.421250
108	1.434750
109	1.448250
110	1.461750
111	1.472250
112	1.483500
113	1.496250
114	1.512000
115	1.525500
116	1.539000
117	1.551000
118	1.562250
119	1.575750
120	1.587750
121	1.600500
122	1.613250
123	1.628250
124	1.641000
125	1.652250
126	1.667250
127	1.677750
128	1.691250
129	1.702500
130	1.722000
131	1.731000
132	1.742250
133	1.753500
134	1.771500
135	1.779000
136	1.792500
137	1.809750
138	1.819500
139	1.830750
140	1.842000
141	1.854750
142	1.871250
143	1.884000
144	1.896000
145	1.907250
146	1.920750
147	1.931250
148	1.944000
149	1.963500
150	1.971000
151	1.980000
152	1.998000
153	2.006250
154	2.019000
155	2.033250
156	2.048250
157	2.056500
158	2.073750
159	2.084250
160	2.097000
161	2.106000
162	2.126250
163	2.136000
164	2.147250
165	2.161500
166	2.170500
167	2.182500
168	2.199750
169	2.211000
170	2.224500
171	2.235000
172	2.246250
173	2.258250
174	2.271000
175	2.289000
176	2.298000
177	2.308500
178	2.324250
179	2.334000
180	2.346750
181	2.362500
182	2.376750
183	2.386500
184	2.394750
185	2.409750
186	2.422500
187	2.436750
188	2.449500
189	2.463000
190	2.471250
191	2.484000
192	2.500500
193	2.513250
194	2.522250
195	2.532750
196	2.547000
197	2.562000
198	2.576250
199	2.585250
200	2.599500
201	2.610750
202	2.625750
203	2.637000
204	2.648250
205	2.662500
206	2.677500
207	2.685000
208	2.698500
209	2.710500
210	2.725500
211	2.737500
212	2.751000
213	2.762250
214	2.777250
215	2.789250
216	2.800500
217	2.812500
218	2.825250
219	2.838750
220	2.846250
221	2.863500
222	2.874000
223	2.889000
224	2.901000
225	2.913000
226	2.925750
227	2.937000
228	2.951250
229	2.963250
230	2.975250
231	2.987250
232	3.000750
233	3.012000
234	3.024750
235	3.033750
236	3.034500
237	3.035250
238	3.035250
239	3.036000
240	3.035250
241	3.036000
242	3.036000
243	3.036000
244	3.036000
245	3.036000
246	3.036000
247	3.036750
248	3.036000
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
