# value	current [nA]
0	0.009750
1	0.010500
2	0.033750
3	0.044250
4	0.061500
5	0.074250
6	0.090000
7	0.101250
8	0.117750
9	0.132750
10	0.144000
11	0.156000
12	0.169500
13	0.183000
14	0.194250
15	0.210750
16	0.226500
17	0.238500
18	0.251250
19	0.267000
20	0.279000
21	0.290250
22	0.305250
23	0.321750
24	0.336750
25	0.348750
26	0.360750
27	0.372750
28	0.390000
29	0.403500
30	0.413250
31	0.426000
32	0.437250
33	0.454500
34	0.468000
35	0.480000
36	0.492750
37	0.506250
38	0.520500
39	0.534000
40	0.544500
41	0.562500
42	0.575250
43	0.587250
44	0.600750
45	0.614250
46	0.624750
47	0.638250
48	0.656250
49	0.669000
50	0.681000
51	0.694500
52	0.709500
53	0.722250
54	0.738750
55	0.750750
56	0.762750
57	0.777000
58	0.785250
59	0.799500
60	0.813000
61	0.825750
62	0.839250
63	0.854250
64	0.867750
65	0.880500
66	0.891750
67	0.908250
68	0.918000
69	0.931500
70	0.945000
71	0.957750
72	0.971250
73	0.984000
74	0.996000
75	1.010250
76	1.026000
77	1.035000
78	1.048500
79	1.060500
80	1.075500
81	1.089000
82	1.100250
83	1.113750
84	1.128000
85	1.143000
86	1.155000
87	1.167000
88	1.179750
89	1.190250
90	1.204500
91	1.218750
92	1.233000
93	1.242000
94	1.257750
95	1.270500
96	1.284000
97	1.296750
98	1.311000
99	1.323000
100	1.338750
101	1.347000
102	1.362000
103	1.377000
104	1.386750
105	1.397250
106	1.412250
107	1.425000
108	1.437750
109	1.452000
110	1.463250
111	1.477500
112	1.489500
113	1.501500
114	1.513500
115	1.529250
116	1.542000
117	1.554750
118	1.564500
119	1.581000
120	1.592250
121	1.603500
122	1.617750
123	1.629750
124	1.640250
125	1.653750
126	1.667250
127	1.681500
128	1.695000
129	1.707750
130	1.720500
131	1.734000
132	1.741500
133	1.759500
134	1.770000
135	1.783500
136	1.796250
137	1.807500
138	1.820250
139	1.834500
140	1.847250
141	1.859250
142	1.877250
143	1.885500
144	1.899750
145	1.910250
146	1.923750
147	1.937250
148	1.947750
149	1.960500
150	1.972500
151	1.983750
152	1.999500
153	2.010750
154	2.024250
155	2.038500
156	2.050500
157	2.063250
158	2.073750
159	2.088750
160	2.098500
161	2.108250
162	2.127750
163	2.139750
164	2.149500
165	2.163750
166	2.173500
167	2.190750
168	2.202000
169	2.215500
170	2.226000
171	2.239500
172	2.251500
173	2.264250
174	2.277750
175	2.288250
176	2.304750
177	2.312250
178	2.327250
179	2.334750
180	2.352750
181	2.363250
182	2.375250
183	2.387250
184	2.400750
185	2.415750
186	2.427750
187	2.437500
188	2.451750
189	2.463750
190	2.477250
191	2.489250
192	2.506500
193	2.517750
194	2.526000
195	2.540250
196	2.554500
197	2.567250
198	2.578500
199	2.589000
200	2.606250
201	2.616000
202	2.629500
203	2.643000
204	2.652000
205	2.667750
206	2.678250
207	2.690250
208	2.705250
209	2.717250
210	2.731500
211	2.742750
212	2.754000
213	2.768250
214	2.778000
215	2.791500
216	2.804250
217	2.817000
218	2.829000
219	2.842500
220	2.854500
221	2.865750
222	2.878500
223	2.890500
224	2.904750
225	2.915250
226	2.931000
227	2.940750
228	2.952750
229	2.966250
230	2.979750
231	2.992500
232	3.003750
233	3.016500
234	3.026250
235	3.033750
236	3.034500
237	3.035250
238	3.035250
239	3.035250
240	3.036000
241	3.036000
242	3.036000
243	3.036000
244	3.035250
245	3.036750
246	3.036750
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036000
254	3.036750
255	3.036750
