# value	voltage [V]
0	0.003440
1	0.010320
2	0.017200
3	0.023650
4	0.030530
5	0.036980
6	0.043860
7	0.050310
8	0.057190
9	0.064070
10	0.070520
11	0.077400
12	0.083850
13	0.090300
14	0.096750
15	0.103630
16	0.110510
17	0.117820
18	0.123840
19	0.130290
20	0.137170
21	0.143620
22	0.149640
23	0.156950
24	0.163830
25	0.170710
26	0.177160
27	0.183610
28	0.190490
29	0.196510
30	0.203390
31	0.210270
32	0.216720
33	0.223600
34	0.230480
35	0.236930
36	0.243380
37	0.250260
38	0.256710
39	0.263160
40	0.269610
41	0.276920
42	0.282940
43	0.289820
44	0.296270
45	0.302720
46	0.309600
47	0.316050
48	0.322930
49	0.329380
50	0.336260
51	0.342710
52	0.349590
53	0.356040
54	0.362490
55	0.369370
56	0.375820
57	0.382700
58	0.389150
59	0.395600
60	0.402480
61	0.408930
62	0.415810
63	0.421830
64	0.428710
65	0.435160
66	0.442040
67	0.448920
68	0.454940
69	0.461820
70	0.468270
71	0.474720
72	0.481170
73	0.488050
74	0.494500
75	0.501380
76	0.508260
77	0.514710
78	0.521160
79	0.527610
80	0.534490
81	0.540080
82	0.547390
83	0.553840
84	0.560720
85	0.567170
86	0.573620
87	0.580500
88	0.586950
89	0.593400
90	0.599850
91	0.606730
92	0.613180
93	0.619200
94	0.626510
95	0.632960
96	0.639410
97	0.645860
98	0.652310
99	0.659190
100	0.665640
101	0.672520
102	0.678970
103	0.685420
104	0.691870
105	0.698750
106	0.704770
107	0.711650
108	0.718530
109	0.724550
110	0.731430
111	0.738310
112	0.744330
113	0.750780
114	0.757230
115	0.763680
116	0.770990
117	0.776580
118	0.783890
119	0.790340
120	0.795930
121	0.802380
122	0.809260
123	0.814850
124	0.822590
125	0.828180
126	0.835490
127	0.841510
128	0.848390
129	0.855270
130	0.860430
131	0.866020
132	0.874190
133	0.879350
134	0.887090
135	0.891390
136	0.897840
137	0.905150
138	0.911600
139	0.917620
140	0.923210
141	0.930520
142	0.935250
143	0.943850
144	0.948150
145	0.955030
146	0.960620
147	0.967500
148	0.973090
149	0.978250
150	0.985990
151	0.992870
152	0.998030
153	1.005340
154	1.011790
155	1.014370
156	1.024260
157	1.029850
158	1.035870
159	1.041890
160	1.048770
161	1.056080
162	1.062100
163	1.069840
164	1.076720
165	1.082310
166	1.087900
167	1.094350
168	1.101230
169	1.107680
170	1.115420
171	1.122300
172	1.129180
173	1.135200
174	1.142510
175	1.149820
176	1.156700
177	1.162290
178	1.169170
179	1.177340
180	1.182930
181	1.191100
182	1.197120
183	1.204000
184	1.210450
185	1.218190
186	1.224640
187	1.231520
188	1.238830
189	1.246140
190	1.252160
191	1.259040
192	1.266350
193	1.273660
194	1.278820
195	1.286990
196	1.293870
197	1.300320
198	1.307200
199	1.314080
200	1.321820
201	1.327840
202	1.334290
203	1.342460
204	1.348480
205	1.355790
206	1.362670
207	1.369550
208	1.377290
209	1.383310
210	1.390190
211	1.397070
212	1.403950
213	1.411260
214	1.418140
215	1.424160
216	1.431900
217	1.438780
218	1.444800
219	1.452540
220	1.458990
221	1.465870
222	1.472750
223	1.479630
224	1.487370
225	1.493390
226	1.500700
227	1.507150
228	1.514030
229	1.520910
230	1.527790
231	1.534670
232	1.541550
233	1.548430
234	1.555740
235	1.562190
236	1.569070
237	1.576380
238	1.583260
239	1.590140
240	1.597020
241	1.604760
242	1.610780
243	1.617230
244	1.624110
245	1.631420
246	1.638730
247	1.645180
248	1.652060
249	1.659370
250	1.665820
251	1.672270
252	1.679580
253	1.686460
254	1.693770
255	1.701940
