# value	voltage [V]
0	0.003870
1	0.010320
2	0.016770
3	0.023650
4	0.030530
5	0.036980
6	0.043860
7	0.050310
8	0.057190
9	0.063640
10	0.070520
11	0.076970
12	0.083850
13	0.090300
14	0.096750
15	0.103630
16	0.110510
17	0.117390
18	0.123840
19	0.130290
20	0.137600
21	0.143620
22	0.150070
23	0.156950
24	0.163830
25	0.170280
26	0.177160
27	0.183610
28	0.190060
29	0.196940
30	0.203820
31	0.210270
32	0.216720
33	0.223170
34	0.230050
35	0.236930
36	0.243380
37	0.249830
38	0.256710
39	0.263160
40	0.270040
41	0.276920
42	0.283370
43	0.290250
44	0.296270
45	0.303150
46	0.309600
47	0.316050
48	0.322930
49	0.329380
50	0.336260
51	0.342710
52	0.349590
53	0.356040
54	0.362490
55	0.369370
56	0.375820
57	0.382270
58	0.389150
59	0.395600
60	0.402050
61	0.408500
62	0.415380
63	0.422260
64	0.428710
65	0.435160
66	0.442040
67	0.448490
68	0.454940
69	0.461820
70	0.468270
71	0.475150
72	0.481600
73	0.488050
74	0.494500
75	0.501380
76	0.507830
77	0.514280
78	0.521160
79	0.527610
80	0.534060
81	0.540940
82	0.546960
83	0.554270
84	0.560720
85	0.567600
86	0.573620
87	0.580070
88	0.586950
89	0.593400
90	0.599850
91	0.606300
92	0.613610
93	0.619630
94	0.626510
95	0.633390
96	0.639410
97	0.645860
98	0.652740
99	0.659190
100	0.665640
101	0.672520
102	0.678540
103	0.685420
104	0.691870
105	0.698750
106	0.705200
107	0.711650
108	0.718100
109	0.724980
110	0.731430
111	0.737880
112	0.744330
113	0.750350
114	0.757230
115	0.763250
116	0.770130
117	0.777440
118	0.783030
119	0.789480
120	0.795930
121	0.802380
122	0.809690
123	0.816140
124	0.821730
125	0.828180
126	0.835490
127	0.841510
128	0.847100
129	0.853550
130	0.860860
131	0.866020
132	0.872900
133	0.879780
134	0.885370
135	0.891820
136	0.898700
137	0.906010
138	0.911600
139	0.918910
140	0.924070
141	0.930520
142	0.936970
143	0.943850
144	0.948150
145	0.953740
146	0.960190
147	0.967930
148	0.974810
149	0.977390
150	0.985130
151	0.992010
152	0.997600
153	1.004480
154	1.011790
155	1.016950
156	1.021680
157	1.031140
158	1.035440
159	1.044040
160	1.046620
161	1.056940
162	1.061240
163	1.067260
164	1.075430
165	1.081450
166	1.087470
167	1.097360
168	1.101230
169	1.108110
170	1.115850
171	1.122730
172	1.128750
173	1.134770
174	1.141220
175	1.148960
176	1.155840
177	1.163150
178	1.170030
179	1.176480
180	1.182930
181	1.189810
182	1.198410
183	1.204000
184	1.210880
185	1.217760
186	1.225070
187	1.231950
188	1.238400
189	1.246140
190	1.253020
191	1.259900
192	1.266350
193	1.272370
194	1.280110
195	1.286990
196	1.293440
197	1.300750
198	1.307630
199	1.314940
200	1.321820
201	1.328270
202	1.335150
203	1.341170
204	1.348480
205	1.356220
206	1.363530
207	1.369120
208	1.376430
209	1.382880
210	1.390190
211	1.396640
212	1.404810
213	1.411260
214	1.417280
215	1.424590
216	1.431900
217	1.438780
218	1.445660
219	1.452110
220	1.459420
221	1.465870
222	1.472750
223	1.479630
224	1.486940
225	1.494250
226	1.500700
227	1.507150
228	1.514890
229	1.521340
230	1.528220
231	1.535100
232	1.541980
233	1.548430
234	1.555310
235	1.562620
236	1.569500
237	1.576380
238	1.583260
239	1.590140
240	1.597020
241	1.603900
242	1.610780
243	1.617660
244	1.624540
245	1.630990
246	1.637870
247	1.645180
248	1.652920
249	1.658940
250	1.666680
251	1.672700
252	1.680010
253	1.686890
254	1.694200
255	1.702800
