#time	analog (mA)	digital (mA)	status
2022-01-27 12:52:36.480995	12.97	65.90	1
2022-01-27 12:52:36.582109	14.26	65.74	1
2022-01-27 12:52:36.683061	13.94	66.06	1
2022-01-27 12:52:36.784034	13.37	66.47	1
2022-01-27 12:52:36.884963	13.86	65.58	1
2022-01-27 12:52:36.985902	14.66	65.66	1
2022-01-27 12:52:37.086926	14.02	66.39	1
2022-01-27 12:52:37.187877	13.78	66.87	1
2022-01-27 12:52:37.288822	13.78	66.87	1
2022-01-27 12:52:37.389737	14.18	66.15	1
2022-01-27 12:52:37.490659	14.10	66.15	1
2022-01-27 12:52:37.591666	13.13	66.71	1
2022-01-27 12:52:37.692622	14.02	66.39	1
2022-01-27 12:52:37.793540	13.94	66.55	1
2022-01-27 12:52:37.894467	13.54	66.23	1
2022-01-27 12:52:37.995400	13.45	66.23	1
2022-01-27 12:52:38.096424	13.78	66.55	1
2022-01-27 12:52:38.197349	14.42	65.42	1
2022-01-27 12:52:38.298259	13.86	65.90	1
2022-01-27 12:52:38.399166	13.37	65.98	1
2022-01-27 12:52:38.500114	14.58	65.66	1
2022-01-27 12:52:38.601122	13.78	66.55	1
2022-01-27 12:52:38.702049	13.86	65.74	1
2022-01-27 12:52:38.802964	13.94	65.82	1
2022-01-27 12:52:38.903912	13.78	65.90	1
2022-01-27 12:52:39.004823	13.62	66.55	1
2022-01-27 12:52:39.105816	13.94	66.47	1
2022-01-27 12:52:39.206744	13.45	66.06	1
2022-01-27 12:52:39.307658	13.62	65.74	1
2022-01-27 12:52:39.408599	14.26	65.98	1
2022-01-27 12:52:39.509523	13.78	66.55	1
2022-01-27 12:52:39.610527	13.54	65.90	1
2022-01-27 12:52:39.711458	14.10	65.34	1
2022-01-27 12:52:39.812404	13.29	66.55	1
2022-01-27 12:52:39.913327	13.62	66.06	1
2022-01-27 12:52:40.014279	13.62	65.98	1
2022-01-27 12:52:40.115295	14.26	65.82	1
2022-01-27 12:52:40.216246	14.50	65.98	1
2022-01-27 12:52:40.317188	13.94	65.50	1
2022-01-27 12:52:40.418101	14.10	66.55	1
2022-01-27 12:52:40.519033	14.34	65.42	1
2022-01-27 12:52:40.620059	13.05	66.71	1
2022-01-27 12:52:40.720998	14.42	66.06	1
2022-01-27 12:52:40.821911	14.42	66.31	1
2022-01-27 12:52:40.922835	13.94	65.90	1
2022-01-27 12:52:41.024884	13.86	65.26	1
2022-01-27 12:52:41.127126	14.26	65.66	1
2022-01-27 12:52:41.229221	14.34	66.23	1
2022-01-27 12:52:41.331275	14.10	66.71	1
2022-01-27 12:52:41.433380	14.10	65.90	1
