# value	current [nA]
0	0.006750
1	0.019500
2	0.031500
3	0.047250
4	0.057750
5	0.073500
6	0.085500
7	0.099750
8	0.115500
9	0.127500
10	0.140250
11	0.156000
12	0.167250
13	0.178500
14	0.193500
15	0.204000
16	0.219750
17	0.236250
18	0.246750
19	0.258750
20	0.272250
21	0.288000
22	0.300750
23	0.316500
24	0.329250
25	0.341250
26	0.358500
27	0.368250
28	0.387000
29	0.397500
30	0.413250
31	0.421500
32	0.437250
33	0.451500
34	0.465000
35	0.475500
36	0.489000
37	0.504750
38	0.519000
39	0.531000
40	0.544500
41	0.555750
42	0.567750
43	0.582750
44	0.597750
45	0.608250
46	0.624750
47	0.636000
48	0.649500
49	0.666000
50	0.676500
51	0.688500
52	0.703500
53	0.713250
54	0.729750
55	0.741750
56	0.757500
57	0.768750
58	0.783750
59	0.795750
60	0.806250
61	0.822000
62	0.835500
63	0.846750
64	0.860250
65	0.876000
66	0.888000
67	0.900750
68	0.917250
69	0.928500
70	0.939000
71	0.953250
72	0.965250
73	0.978750
74	0.990000
75	1.006500
76	1.017000
77	1.031250
78	1.046250
79	1.059750
80	1.071000
81	1.085250
82	1.098750
83	1.112250
84	1.125000
85	1.139250
86	1.149750
87	1.162500
88	1.173750
89	1.191000
90	1.201500
91	1.219500
92	1.231500
93	1.241250
94	1.257000
95	1.267500
96	1.284000
97	1.298250
98	1.306500
99	1.318500
100	1.332000
101	1.349250
102	1.357500
103	1.373250
104	1.386750
105	1.404750
106	1.413750
107	1.427250
108	1.441500
109	1.457250
110	1.465500
111	1.481250
112	1.493250
113	1.506750
114	1.517250
115	1.533000
116	1.543500
117	1.558500
118	1.570500
119	1.584000
120	1.598250
121	1.611000
122	1.624500
123	1.636500
124	1.650750
125	1.663500
126	1.674750
127	1.685250
128	1.701000
129	1.713750
130	1.726500
131	1.736250
132	1.756500
133	1.764750
134	1.779750
135	1.794000
136	1.808250
137	1.821750
138	1.833000
139	1.844250
140	1.860750
141	1.872000
142	1.885500
143	1.900500
144	1.912500
145	1.923000
146	1.938000
147	1.949250
148	1.963500
149	1.977000
150	1.992750
151	2.000250
152	2.015250
153	2.026500
154	2.040750
155	2.052750
156	2.061750
157	2.079750
158	2.091750
159	2.103000
160	2.115750
161	2.131500
162	2.144250
163	2.160750
164	2.170500
165	2.181000
166	2.195250
167	2.206500
168	2.220750
169	2.235000
170	2.243250
171	2.257500
172	2.272500
173	2.285250
174	2.298750
175	2.311500
176	2.325750
177	2.337750
178	2.348250
179	2.364000
180	2.378250
181	2.386500
182	2.400750
183	2.415000
184	2.428500
185	2.438250
186	2.456250
187	2.464500
188	2.477250
189	2.492250
190	2.502000
191	2.517750
192	2.528250
193	2.542500
194	2.556750
195	2.568000
196	2.585250
197	2.598000
198	2.609250
199	2.623500
200	2.634000
201	2.644500
202	2.660250
203	2.672250
204	2.686500
205	2.694000
206	2.709750
207	2.721000
208	2.736750
209	2.749500
210	2.759250
211	2.775750
212	2.789250
213	2.802000
214	2.812500
215	2.826750
216	2.835750
217	2.853750
218	2.865000
219	2.877000
220	2.888250
221	2.901750
222	2.915250
223	2.927250
224	2.940750
225	2.954250
226	2.966250
227	2.980500
228	2.991750
229	3.006000
230	3.016500
231	3.029250
232	3.034500
233	3.035250
234	3.035250
235	3.035250
236	3.035250
237	3.035250
238	3.036000
239	3.036000
240	3.036000
241	3.036000
242	3.036000
243	3.036000
244	3.036000
245	3.036000
246	3.036000
247	3.036000
248	3.036000
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
