# value	current [nA]
0	0.009000
1	0.018750
2	0.033000
3	0.048000
4	0.060750
5	0.078000
6	0.088500
7	0.107250
8	0.120000
9	0.133500
10	0.147000
11	0.160500
12	0.179250
13	0.194250
14	0.206250
15	0.220500
16	0.237000
17	0.249750
18	0.262500
19	0.276000
20	0.293250
21	0.306000
22	0.321750
23	0.335250
24	0.350250
25	0.362250
26	0.378750
27	0.392250
28	0.408750
29	0.418500
30	0.436500
31	0.450000
32	0.462000
33	0.479250
34	0.490500
35	0.501000
36	0.517500
37	0.531000
38	0.545250
39	0.557250
40	0.576750
41	0.587250
42	0.603750
43	0.616500
44	0.632250
45	0.641250
46	0.654750
47	0.671250
48	0.684000
49	0.701250
50	0.712500
51	0.728250
52	0.744000
53	0.754500
54	0.770250
55	0.783000
56	0.797250
57	0.812250
58	0.820500
59	0.840750
60	0.852750
61	0.868500
62	0.879000
63	0.891750
64	0.908250
65	0.918000
66	0.935250
67	0.943500
68	0.960750
69	0.976500
70	0.990750
71	1.005000
72	1.015500
73	1.034250
74	1.045500
75	1.056750
76	1.071000
77	1.081500
78	1.098750
79	1.115250
80	1.125750
81	1.138500
82	1.155000
83	1.169250
84	1.181250
85	1.193250
86	1.206750
87	1.218000
88	1.238250
89	1.246500
90	1.263000
91	1.276500
92	1.288500
93	1.301250
94	1.320750
95	1.332000
96	1.347750
97	1.359000
98	1.368750
99	1.384500
100	1.400250
101	1.409250
102	1.426500
103	1.438500
104	1.454250
105	1.467750
106	1.482750
107	1.493250
108	1.507500
109	1.521750
110	1.535250
111	1.551750
112	1.558500
113	1.575750
114	1.588500
115	1.597500
116	1.617000
117	1.625250
118	1.643250
119	1.653750
120	1.669500
121	1.683750
122	1.698750
123	1.712250
124	1.723500
125	1.738500
126	1.750500
127	1.764750
128	1.778250
129	1.791750
130	1.800000
131	1.815750
132	1.833000
133	1.846500
134	1.858500
135	1.872750
136	1.884750
137	1.896750
138	1.911750
139	1.927500
140	1.940250
141	1.955250
142	1.967250
143	1.983000
144	1.995750
145	2.004750
146	2.024250
147	2.037000
148	2.049000
149	2.061000
150	2.074500
151	2.089500
152	2.100000
153	2.115750
154	2.129250
155	2.142750
156	2.153250
157	2.169750
158	2.180250
159	2.194500
160	2.211750
161	2.217750
162	2.233500
163	2.247000
164	2.261250
165	2.274750
166	2.294250
167	2.301750
168	2.316750
169	2.331750
170	2.339250
171	2.360250
172	2.370000
173	2.384250
174	2.396250
175	2.410500
176	2.423250
177	2.435250
178	2.445750
179	2.462250
180	2.479500
181	2.490000
182	2.502750
183	2.518500
184	2.529750
185	2.541750
186	2.556750
187	2.569500
188	2.579250
189	2.595000
190	2.607750
191	2.623500
192	2.635500
193	2.649750
194	2.661000
195	2.673750
196	2.689500
197	2.702250
198	2.714250
199	2.725500
200	2.743500
201	2.754750
202	2.767500
203	2.782500
204	2.793750
205	2.808000
206	2.823000
207	2.834250
208	2.844750
209	2.865000
210	2.876250
211	2.889000
212	2.904000
213	2.913750
214	2.930250
215	2.943750
216	2.955000
217	2.967750
218	2.979750
219	2.994750
220	3.008250
221	3.020250
222	3.032250
223	3.034500
224	3.034500
225	3.035250
226	3.035250
227	3.035250
228	3.036000
229	3.036000
230	3.036000
231	3.036000
232	3.036750
233	3.036000
234	3.036000
235	3.036000
236	3.036750
237	3.036750
238	3.036000
239	3.036750
240	3.036750
241	3.036750
242	3.036000
243	3.036000
244	3.036750
245	3.036750
246	3.037500
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.037500
