# value	current [nA]
0	0.006750
1	0.019500
2	0.034500
3	0.048750
4	0.064500
5	0.079500
6	0.090750
7	0.109500
8	0.123000
9	0.135750
10	0.151500
11	0.163500
12	0.180750
13	0.192750
14	0.209250
15	0.222750
16	0.240000
17	0.253500
18	0.269250
19	0.277500
20	0.292500
21	0.308250
22	0.326250
23	0.338250
24	0.354000
25	0.368250
26	0.383250
27	0.394500
28	0.408000
29	0.423000
30	0.438750
31	0.453000
32	0.466500
33	0.482250
34	0.494250
35	0.509250
36	0.522000
37	0.537000
38	0.552000
39	0.565500
40	0.579750
41	0.591000
42	0.607500
43	0.622500
44	0.637500
45	0.648000
46	0.663000
47	0.677250
48	0.694500
49	0.704250
50	0.720000
51	0.737250
52	0.746250
53	0.762750
54	0.775500
55	0.786000
56	0.802500
57	0.820500
58	0.830250
59	0.844500
60	0.861750
61	0.872250
62	0.888750
63	0.904500
64	0.912000
65	0.930000
66	0.941250
67	0.954000
68	0.971250
69	0.985500
70	0.993000
71	1.011750
72	1.020750
73	1.039500
74	1.050750
75	1.066500
76	1.079250
77	1.091250
78	1.110000
79	1.122000
80	1.137000
81	1.149000
82	1.164750
83	1.175250
84	1.191000
85	1.204500
86	1.218750
87	1.233000
88	1.246500
89	1.259250
90	1.274250
91	1.287750
92	1.303500
93	1.314000
94	1.331250
95	1.341000
96	1.357500
97	1.370250
98	1.386000
99	1.396500
100	1.413750
101	1.425750
102	1.440000
103	1.453500
104	1.467750
105	1.480500
106	1.494750
107	1.512000
108	1.521000
109	1.533000
110	1.550250
111	1.563750
112	1.577250
113	1.593000
114	1.599000
115	1.614750
116	1.632000
117	1.644000
118	1.658250
119	1.672500
120	1.689750
121	1.698000
122	1.714500
123	1.728750
124	1.738500
125	1.754250
126	1.768500
127	1.780500
128	1.793250
129	1.809750
130	1.822500
131	1.834500
132	1.849500
133	1.861500
134	1.873500
135	1.888500
136	1.905000
137	1.912500
138	1.933500
139	1.947000
140	1.958250
141	1.972500
142	1.984500
143	1.999500
144	2.014500
145	2.027250
146	2.040000
147	2.055750
148	2.067000
149	2.076750
150	2.094750
151	2.104500
152	2.121000
153	2.133000
154	2.147250
155	2.163750
156	2.175000
157	2.190750
158	2.199750
159	2.214750
160	2.226750
161	2.241750
162	2.254500
163	2.270250
164	2.282250
165	2.293500
166	2.308500
167	2.324250
168	2.338500
169	2.349000
170	2.365500
171	2.379750
172	2.393250
173	2.404500
174	2.418000
175	2.433000
176	2.442750
177	2.458500
178	2.475000
179	2.485500
180	2.498250
181	2.513250
182	2.526750
183	2.539500
184	2.550750
185	2.568000
186	2.577750
187	2.592000
188	2.605500
189	2.620500
190	2.634750
191	2.643750
192	2.658750
193	2.674500
194	2.688750
195	2.700000
196	2.713500
197	2.724750
198	2.741250
199	2.752500
200	2.766750
201	2.784000
202	2.796000
203	2.807250
204	2.818500
205	2.835000
206	2.847000
207	2.860500
208	2.874000
209	2.887500
210	2.900250
211	2.913750
212	2.927250
213	2.941500
214	2.955000
215	2.968500
216	2.982000
217	2.996250
218	3.009750
219	3.022500
220	3.032250
221	3.034500
222	3.035250
223	3.035250
224	3.035250
225	3.036000
226	3.036000
227	3.036000
228	3.036000
229	3.036000
230	3.036000
231	3.036750
232	3.036750
233	3.036750
234	3.036000
235	3.036000
236	3.036750
237	3.036000
238	3.036750
239	3.036750
240	3.036750
241	3.036750
242	3.036750
243	3.036750
244	3.036750
245	3.036750
246	3.037500
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.037500
253	3.036750
254	3.036750
255	3.037500
