# value	current [nA]
0	0.006750
1	0.010500
2	0.032250
3	0.048000
4	0.061500
5	0.075750
6	0.091500
7	0.104250
8	0.120750
9	0.135000
10	0.147750
11	0.164250
12	0.174750
13	0.192000
14	0.207000
15	0.222750
16	0.233250
17	0.248250
18	0.265500
19	0.276750
20	0.292500
21	0.307500
22	0.317250
23	0.335250
24	0.348000
25	0.362250
26	0.376500
27	0.389250
28	0.404250
29	0.420750
30	0.433500
31	0.447000
32	0.463500
33	0.474000
34	0.489000
35	0.501000
36	0.513750
37	0.529500
38	0.542250
39	0.558750
40	0.572250
41	0.585000
42	0.602250
43	0.613500
44	0.627750
45	0.642000
46	0.657000
47	0.671250
48	0.682500
49	0.696750
50	0.711000
51	0.724500
52	0.738750
53	0.750750
54	0.769500
55	0.779250
56	0.794250
57	0.806250
58	0.822750
59	0.835500
60	0.849000
61	0.859500
62	0.876750
63	0.893250
64	0.904500
65	0.918000
66	0.932250
67	0.945750
68	0.961500
69	0.975750
70	0.985500
71	0.997500
72	1.015500
73	1.028250
74	1.041000
75	1.056000
76	1.068750
77	1.081500
78	1.098750
79	1.111500
80	1.127250
81	1.137000
82	1.151250
83	1.170000
84	1.181250
85	1.193250
86	1.209000
87	1.221000
88	1.236750
89	1.248750
90	1.263750
91	1.273500
92	1.290000
93	1.304250
94	1.317000
95	1.328250
96	1.341000
97	1.354500
98	1.368000
99	1.384500
100	1.398750
101	1.413000
102	1.425750
103	1.441500
104	1.456500
105	1.467750
106	1.483500
107	1.494000
108	1.507500
109	1.519500
110	1.534500
111	1.551750
112	1.562250
113	1.577250
114	1.587000
115	1.600500
116	1.618500
117	1.629000
118	1.643250
119	1.657500
120	1.668000
121	1.684500
122	1.696500
123	1.709250
124	1.727250
125	1.740000
126	1.752000
127	1.766250
128	1.781250
129	1.793250
130	1.808250
131	1.819500
132	1.832250
133	1.848000
134	1.858500
135	1.874250
136	1.888500
137	1.902000
138	1.913250
139	1.932000
140	1.944000
141	1.956750
142	1.969500
143	1.984500
144	1.995750
145	2.010750
146	2.023500
147	2.038500
148	2.051250
149	2.067000
150	2.078250
151	2.091000
152	2.101500
153	2.117250
154	2.132250
155	2.147250
156	2.161500
157	2.172000
158	2.185500
159	2.198250
160	2.211750
161	2.226750
162	2.237250
163	2.250750
164	2.265750
165	2.275500
166	2.289000
167	2.307000
168	2.317500
169	2.331750
170	2.346750
171	2.359500
172	2.376000
173	2.387250
174	2.400000
175	2.412000
176	2.424000
177	2.439000
178	2.452500
179	2.469750
180	2.478000
181	2.493000
182	2.507250
183	2.521500
184	2.533500
185	2.544750
186	2.559000
187	2.573250
188	2.586000
189	2.601000
190	2.613000
191	2.628750
192	2.640750
193	2.655750
194	2.669250
195	2.679750
196	2.694000
197	2.709000
198	2.724000
199	2.733750
200	2.746500
201	2.760750
202	2.775750
203	2.787750
204	2.801250
205	2.814750
206	2.825250
207	2.841000
208	2.852250
209	2.869500
210	2.880750
211	2.892750
212	2.907000
213	2.921250
214	2.933250
215	2.947500
216	2.961000
217	2.973750
218	2.987250
219	3.001500
220	3.015000
221	3.026250
222	3.034500
223	3.034500
224	3.035250
225	3.035250
226	3.035250
227	3.036000
228	3.036000
229	3.036000
230	3.036000
231	3.036000
232	3.036000
233	3.036000
234	3.036000
235	3.036750
236	3.036000
237	3.036000
238	3.036750
239	3.036750
240	3.036750
241	3.036750
242	3.036750
243	3.036750
244	3.036750
245	3.036750
246	3.036750
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.037500
254	3.037500
255	3.036750
