# value	voltage [V]
0	0.003440
1	0.009890
2	0.016770
3	0.023220
4	0.029670
5	0.036550
6	0.043430
7	0.049880
8	0.057190
9	0.063640
10	0.070090
11	0.076970
12	0.083850
13	0.090300
14	0.096750
15	0.103630
16	0.110510
17	0.116960
18	0.123840
19	0.130290
20	0.137170
21	0.143620
22	0.150500
23	0.156950
24	0.163830
25	0.170280
26	0.176730
27	0.184040
28	0.190490
29	0.196940
30	0.203820
31	0.210270
32	0.216720
33	0.223600
34	0.230050
35	0.236930
36	0.243810
37	0.250260
38	0.257140
39	0.263160
40	0.270040
41	0.276920
42	0.283370
43	0.290250
44	0.296700
45	0.303580
46	0.310030
47	0.316480
48	0.323360
49	0.330240
50	0.336260
51	0.343570
52	0.350020
53	0.356470
54	0.363350
55	0.369800
56	0.376250
57	0.383130
58	0.390010
59	0.396030
60	0.403340
61	0.409790
62	0.416240
63	0.423120
64	0.429570
65	0.436020
66	0.442900
67	0.449350
68	0.455800
69	0.462680
70	0.469130
71	0.475580
72	0.482460
73	0.488910
74	0.495790
75	0.502240
76	0.508690
77	0.515570
78	0.522450
79	0.528470
80	0.535350
81	0.541800
82	0.548680
83	0.555130
84	0.562010
85	0.568460
86	0.574910
87	0.581790
88	0.588240
89	0.594690
90	0.601140
91	0.608020
92	0.614470
93	0.621350
94	0.627800
95	0.634250
96	0.640700
97	0.647580
98	0.654030
99	0.660910
100	0.667360
101	0.673810
102	0.680690
103	0.687140
104	0.693590
105	0.700040
106	0.706490
107	0.712510
108	0.719820
109	0.726270
110	0.732290
111	0.739170
112	0.745190
113	0.752070
114	0.758520
115	0.764970
116	0.771420
117	0.778300
118	0.784320
119	0.791200
120	0.797650
121	0.804530
122	0.810550
123	0.817000
124	0.823450
125	0.830330
126	0.836350
127	0.842800
128	0.848820
129	0.856130
130	0.860860
131	0.867740
132	0.874620
133	0.878060
134	0.887090
135	0.894400
136	0.899130
137	0.905580
138	0.912890
139	0.917190
140	0.924930
141	0.928370
142	0.937400
143	0.942560
144	0.947290
145	0.956320
146	0.963200
147	0.968360
148	0.975240
149	0.979110
150	0.985560
151	0.993300
152	0.999750
153	1.004480
154	1.012650
155	1.017380
156	1.023830
157	1.032430
158	1.036730
159	1.042320
160	1.048770
161	1.054790
162	1.061670
163	1.068980
164	1.076290
165	1.081020
166	1.087900
167	1.095640
168	1.102520
169	1.108970
170	1.116280
171	1.122300
172	1.129180
173	1.137350
174	1.142940
175	1.149820
176	1.156700
177	1.163150
178	1.170890
179	1.176910
180	1.183360
181	1.190670
182	1.197550
183	1.204430
184	1.211310
185	1.217760
186	1.224640
187	1.231950
188	1.238400
189	1.245710
190	1.252160
191	1.259040
192	1.265920
193	1.273660
194	1.280110
195	1.286990
196	1.294300
197	1.300750
198	1.308060
199	1.314510
200	1.320530
201	1.327840
202	1.334720
203	1.342030
204	1.348910
205	1.355790
206	1.363100
207	1.369550
208	1.376430
209	1.383310
210	1.390620
211	1.397070
212	1.403520
213	1.411260
214	1.417280
215	1.424590
216	1.431040
217	1.437920
218	1.444800
219	1.451680
220	1.458990
221	1.466300
222	1.471890
223	1.479200
224	1.486940
225	1.493820
226	1.499840
227	1.507580
228	1.514030
229	1.520910
230	1.527790
231	1.534240
232	1.540690
233	1.548860
234	1.555740
235	1.562190
236	1.569500
237	1.576380
238	1.582830
239	1.590140
240	1.597020
241	1.604330
242	1.610350
243	1.617660
244	1.624540
245	1.631420
246	1.638300
247	1.645180
248	1.653350
249	1.659370
250	1.666250
251	1.673560
252	1.679580
253	1.686460
254	1.693770
255	1.701510
