# value	voltage [V]
0	0.003440
1	0.010320
2	0.016770
3	0.023650
4	0.030100
5	0.036980
6	0.043430
7	0.049880
8	0.057190
9	0.063640
10	0.070090
11	0.076540
12	0.083420
13	0.090300
14	0.096750
15	0.103630
16	0.110510
17	0.116960
18	0.123840
19	0.130290
20	0.137170
21	0.143620
22	0.150500
23	0.156950
24	0.163400
25	0.170710
26	0.177160
27	0.183610
28	0.190490
29	0.196940
30	0.203390
31	0.210270
32	0.216720
33	0.224030
34	0.230480
35	0.236930
36	0.243810
37	0.250260
38	0.257140
39	0.263590
40	0.270040
41	0.276490
42	0.283370
43	0.290250
44	0.296700
45	0.303580
46	0.310030
47	0.316910
48	0.323360
49	0.330240
50	0.336690
51	0.343570
52	0.350020
53	0.356470
54	0.363350
55	0.369800
56	0.376250
57	0.383130
58	0.390010
59	0.396460
60	0.402910
61	0.409360
62	0.416240
63	0.422690
64	0.429570
65	0.436020
66	0.442900
67	0.449350
68	0.455800
69	0.462250
70	0.469560
71	0.475580
72	0.482460
73	0.488910
74	0.495360
75	0.502240
76	0.509120
77	0.515570
78	0.522020
79	0.528900
80	0.535350
81	0.542230
82	0.548680
83	0.555560
84	0.562010
85	0.568460
86	0.574910
87	0.581790
88	0.588240
89	0.595120
90	0.601570
91	0.608020
92	0.614900
93	0.621350
94	0.627370
95	0.634250
96	0.641130
97	0.647150
98	0.654030
99	0.660480
100	0.666930
101	0.673810
102	0.680260
103	0.686710
104	0.693160
105	0.700040
106	0.706490
107	0.712940
108	0.719390
109	0.726270
110	0.732720
111	0.739170
112	0.745190
113	0.752070
114	0.758950
115	0.765400
116	0.770990
117	0.778300
118	0.784320
119	0.790770
120	0.798080
121	0.804100
122	0.810980
123	0.816570
124	0.823450
125	0.829470
126	0.836350
127	0.841510
128	0.847960
129	0.855270
130	0.861290
131	0.868600
132	0.874620
133	0.880640
134	0.887520
135	0.892680
136	0.900420
137	0.906010
138	0.912030
139	0.917190
140	0.924930
141	0.930520
142	0.935250
143	0.942990
144	0.949440
145	0.955890
146	0.960620
147	0.968360
148	0.975240
149	0.981690
150	0.988140
151	0.992870
152	1.000180
153	1.004480
154	1.011790
155	1.016950
156	1.023400
157	1.029420
158	1.039310
159	1.042750
160	1.049630
161	1.055650
162	1.063390
163	1.068120
164	1.075430
165	1.083170
166	1.088760
167	1.095640
168	1.102090
169	1.107680
170	1.114560
171	1.122300
172	1.128750
173	1.135630
174	1.141650
175	1.148100
176	1.156270
177	1.163150
178	1.169600
179	1.176910
180	1.182930
181	1.190670
182	1.197980
183	1.203570
184	1.211310
185	1.218620
186	1.225070
187	1.231950
188	1.239260
189	1.245710
190	1.252160
191	1.259900
192	1.266350
193	1.273660
194	1.278820
195	1.286990
196	1.293870
197	1.300750
198	1.308060
199	1.314940
200	1.321820
201	1.328270
202	1.335150
203	1.342030
204	1.348480
205	1.355790
206	1.362240
207	1.369550
208	1.376430
209	1.383310
210	1.390620
211	1.397070
212	1.403520
213	1.410400
214	1.418140
215	1.424590
216	1.431900
217	1.438350
218	1.445230
219	1.452110
220	1.458990
221	1.466300
222	1.472750
223	1.479630
224	1.486510
225	1.493390
226	1.500700
227	1.507150
228	1.514030
229	1.520910
230	1.528220
231	1.534670
232	1.541550
233	1.548430
234	1.555310
235	1.562190
236	1.569500
237	1.575950
238	1.583260
239	1.589710
240	1.597020
241	1.604330
242	1.610780
243	1.617660
244	1.625400
245	1.631420
246	1.638300
247	1.645180
248	1.652490
249	1.658940
250	1.665820
251	1.673130
252	1.680010
253	1.687750
254	1.693340
255	1.701510
