# value	voltage [V]
0	0.378830
1	0.386140
2	0.392590
3	0.399040
4	0.405490
5	0.412370
6	0.419250
7	0.425700
8	0.432150
9	0.438600
10	0.445480
11	0.452360
12	0.458810
13	0.465690
14	0.472140
15	0.479020
16	0.485470
17	0.492350
18	0.498800
19	0.505680
20	0.512130
21	0.519010
22	0.525460
23	0.532340
24	0.538790
25	0.545670
26	0.552550
27	0.559000
28	0.565450
29	0.572330
30	0.578780
31	0.585660
32	0.592110
33	0.598560
34	0.605440
35	0.612320
36	0.618770
37	0.625650
38	0.632100
39	0.638980
40	0.645430
41	0.651880
42	0.658760
43	0.665640
44	0.672090
45	0.678970
46	0.685420
47	0.692300
48	0.699180
49	0.705630
50	0.712080
51	0.718960
52	0.725410
53	0.732290
54	0.738740
55	0.745190
56	0.752070
57	0.758520
58	0.765400
59	0.772280
60	0.778730
61	0.785610
62	0.792060
63	0.798940
64	0.805390
65	0.811840
66	0.818290
67	0.825600
68	0.832050
69	0.838500
70	0.845380
71	0.851830
72	0.858280
73	0.865590
74	0.871610
75	0.878490
76	0.885370
77	0.891820
78	0.898700
79	0.905150
80	0.912030
81	0.918480
82	0.924930
83	0.932240
84	0.938690
85	0.945140
86	0.951590
87	0.958470
88	0.965350
89	0.971800
90	0.978680
91	0.985560
92	0.992010
93	0.998890
94	1.005340
95	1.012220
96	1.018670
97	1.025550
98	1.032000
99	1.038450
100	1.045330
101	1.052210
102	1.059090
103	1.065970
104	1.072420
105	1.078870
106	1.085320
107	1.092200
108	1.099080
109	1.105530
110	1.112410
111	1.118860
112	1.125740
113	1.132620
114	1.139070
115	1.145950
116	1.152400
117	1.159710
118	1.165730
119	1.172610
120	1.179060
121	1.185940
122	1.192820
123	1.199270
124	1.206150
125	1.212600
126	1.219480
127	1.225930
128	1.232810
129	1.239260
130	1.246140
131	1.253020
132	1.259470
133	1.266350
134	1.273230
135	1.279680
136	1.286130
137	1.293010
138	1.299460
139	1.306340
140	1.313220
141	1.319670
142	1.326550
143	1.333000
144	1.339450
145	1.345900
146	1.353210
147	1.359660
148	1.366540
149	1.372990
150	1.379870
151	1.386320
152	1.393200
153	1.400080
154	1.406530
155	1.412980
156	1.419430
157	1.426740
158	1.433190
159	1.440070
160	1.446950
161	1.452970
162	1.460280
163	1.466730
164	1.473180
165	1.479630
166	1.486510
167	1.492960
168	1.499840
169	1.506290
170	1.513600
171	1.519620
172	1.526500
173	1.532950
174	1.539830
175	1.546280
176	1.552730
177	1.559180
178	1.565630
179	1.572080
180	1.578530
181	1.584550
182	1.590570
183	1.596590
184	1.602610
185	1.608630
186	1.614650
187	1.620240
188	1.625830
189	1.631420
190	1.636580
191	1.641740
192	1.646900
193	1.652060
194	1.657220
195	1.661520
196	1.666250
197	1.670550
198	1.674420
199	1.678720
200	1.682590
201	1.686030
202	1.689470
203	1.692480
204	1.695920
205	1.698500
206	1.701080
207	1.703230
208	1.705380
209	1.707530
210	1.709250
211	1.710540
212	1.711830
213	1.712260
214	1.712690
215	1.712690
216	1.713120
217	1.713120
218	1.713550
219	1.713550
220	1.713550
221	1.713550
222	1.713550
223	1.713550
224	1.713550
225	1.713980
226	1.713550
227	1.713550
228	1.713980
229	1.713980
230	1.713980
231	1.713980
232	1.713980
233	1.713980
234	1.713980
235	1.713980
236	1.713980
237	1.713980
238	1.713980
239	1.713980
240	1.713980
241	1.713980
242	1.713980
243	1.713980
244	1.713980
245	1.713980
246	1.713550
247	1.713980
248	1.713980
249	1.713980
250	1.713980
251	1.713980
252	1.713980
253	1.713980
254	1.713980
255	1.713980
