# value	voltage [V]
0	0.380980
1	0.387860
2	0.394740
3	0.401190
4	0.408070
5	0.414520
6	0.420970
7	0.427850
8	0.434300
9	0.441180
10	0.447630
11	0.454080
12	0.460960
13	0.467840
14	0.473860
15	0.480740
16	0.487620
17	0.493640
18	0.500950
19	0.507830
20	0.514280
21	0.520730
22	0.527610
23	0.534060
24	0.540940
25	0.547390
26	0.554270
27	0.560720
28	0.567600
29	0.574050
30	0.580930
31	0.587380
32	0.594260
33	0.600710
34	0.607590
35	0.614040
36	0.620920
37	0.627370
38	0.633820
39	0.640700
40	0.647580
41	0.654030
42	0.660480
43	0.667360
44	0.674240
45	0.680690
46	0.687570
47	0.694020
48	0.700900
49	0.707780
50	0.714230
51	0.721110
52	0.727560
53	0.734010
54	0.740460
55	0.747340
56	0.753790
57	0.760670
58	0.767120
59	0.774000
60	0.780880
61	0.787330
62	0.794210
63	0.800660
64	0.807110
65	0.813990
66	0.820870
67	0.827320
68	0.833770
69	0.840650
70	0.847100
71	0.853980
72	0.860430
73	0.867310
74	0.873760
75	0.880640
76	0.887090
77	0.893970
78	0.900420
79	0.907300
80	0.913750
81	0.920630
82	0.927080
83	0.933960
84	0.940840
85	0.947290
86	0.953740
87	0.960620
88	0.967070
89	0.973520
90	0.980400
91	0.987280
92	0.993730
93	1.000610
94	1.007060
95	1.013510
96	1.020390
97	1.027270
98	1.034150
99	1.040600
100	1.047480
101	1.053930
102	1.060380
103	1.067260
104	1.074140
105	1.080590
106	1.087470
107	1.093920
108	1.100800
109	1.107680
110	1.114130
111	1.121010
112	1.127460
113	1.134340
114	1.141220
115	1.147670
116	1.154550
117	1.161000
118	1.167880
119	1.174330
120	1.180780
121	1.187660
122	1.194540
123	1.200990
124	1.207440
125	1.214750
126	1.221200
127	1.227650
128	1.234530
129	1.241410
130	1.247860
131	1.254740
132	1.261190
133	1.268070
134	1.274520
135	1.281400
136	1.287850
137	1.294300
138	1.301180
139	1.307630
140	1.314510
141	1.321390
142	1.327840
143	1.334720
144	1.341170
145	1.348480
146	1.354930
147	1.361380
148	1.367830
149	1.374710
150	1.381590
151	1.388040
152	1.394920
153	1.401370
154	1.408250
155	1.414700
156	1.421580
157	1.428030
158	1.434910
159	1.441360
160	1.448240
161	1.455120
162	1.461570
163	1.468450
164	1.474900
165	1.481350
166	1.487800
167	1.494680
168	1.501560
169	1.508010
170	1.515320
171	1.521340
172	1.527790
173	1.534240
174	1.541120
175	1.547570
176	1.554450
177	1.560470
178	1.566920
179	1.572940
180	1.579820
181	1.585840
182	1.592290
183	1.598310
184	1.603900
185	1.609920
186	1.615940
187	1.621100
188	1.626690
189	1.632710
190	1.637870
191	1.643030
192	1.648190
193	1.653350
194	1.657650
195	1.662380
196	1.667110
197	1.671410
198	1.675280
199	1.679150
200	1.683020
201	1.686890
202	1.690330
203	1.693340
204	1.696350
205	1.698930
206	1.701510
207	1.704090
208	1.705810
209	1.707960
210	1.709680
211	1.710970
212	1.711830
213	1.712260
214	1.712690
215	1.713120
216	1.713120
217	1.713120
218	1.713550
219	1.713550
220	1.713550
221	1.713980
222	1.713980
223	1.713980
224	1.713980
225	1.713550
226	1.713980
227	1.713980
228	1.713980
229	1.713980
230	1.713980
231	1.713980
232	1.713980
233	1.713980
234	1.713980
235	1.713980
236	1.713980
237	1.713980
238	1.713980
239	1.713980
240	1.713980
241	1.713980
242	1.713550
243	1.713980
244	1.713980
245	1.713980
246	1.713980
247	1.713980
248	1.713980
249	1.713980
250	1.713980
251	1.713980
252	1.713980
253	1.713980
254	1.713980
255	1.713980
