# value	voltage [V]
0	0.383130
1	0.389580
2	0.396030
3	0.402910
4	0.409360
5	0.416240
6	0.423120
7	0.429570
8	0.436020
9	0.442900
10	0.449780
11	0.456230
12	0.462680
13	0.469130
14	0.476440
15	0.482890
16	0.489340
17	0.496220
18	0.502670
19	0.509550
20	0.516000
21	0.522450
22	0.529330
23	0.535780
24	0.542660
25	0.548680
26	0.556420
27	0.562870
28	0.569750
29	0.576630
30	0.582650
31	0.589100
32	0.595980
33	0.602430
34	0.609310
35	0.615760
36	0.622640
37	0.629090
38	0.635970
39	0.642420
40	0.649300
41	0.655750
42	0.662630
43	0.669510
44	0.675960
45	0.682410
46	0.689290
47	0.695740
48	0.702620
49	0.709070
50	0.715950
51	0.722400
52	0.729280
53	0.736160
54	0.742610
55	0.749060
56	0.755940
57	0.762390
58	0.769270
59	0.776150
60	0.782600
61	0.789050
62	0.795930
63	0.802380
64	0.808830
65	0.815710
66	0.822160
67	0.829040
68	0.835920
69	0.842370
70	0.848820
71	0.855700
72	0.862580
73	0.869030
74	0.875480
75	0.882360
76	0.889240
77	0.895690
78	0.902140
79	0.909020
80	0.915900
81	0.922350
82	0.929230
83	0.935680
84	0.942560
85	0.949440
86	0.955890
87	0.962340
88	0.968790
89	0.975240
90	0.982120
91	0.989000
92	0.995880
93	1.002330
94	1.009640
95	1.015660
96	1.022540
97	1.028990
98	1.035870
99	1.042750
100	1.049200
101	1.056080
102	1.062530
103	1.069410
104	1.075860
105	1.082310
106	1.089190
107	1.096070
108	1.102950
109	1.109400
110	1.115850
111	1.123160
112	1.129180
113	1.136060
114	1.142510
115	1.149390
116	1.156270
117	1.162720
118	1.169600
119	1.176050
120	1.182930
121	1.189380
122	1.196260
123	1.202710
124	1.209590
125	1.216470
126	1.222920
127	1.229800
128	1.236680
129	1.243130
130	1.250010
131	1.256460
132	1.263340
133	1.270220
134	1.276670
135	1.283120
136	1.290000
137	1.296450
138	1.303330
139	1.309780
140	1.316660
141	1.323110
142	1.329990
143	1.336870
144	1.343320
145	1.349770
146	1.356650
147	1.363530
148	1.369550
149	1.376860
150	1.382880
151	1.390190
152	1.396640
153	1.403090
154	1.409970
155	1.416850
156	1.423300
157	1.430180
158	1.437060
159	1.443510
160	1.450390
161	1.456840
162	1.463290
163	1.469740
164	1.476620
165	1.483500
166	1.490380
167	1.496830
168	1.503280
169	1.509730
170	1.516610
171	1.523060
172	1.529510
173	1.536390
174	1.542840
175	1.550150
176	1.555740
177	1.562620
178	1.569070
179	1.575090
180	1.581540
181	1.587560
182	1.593580
183	1.599600
184	1.605620
185	1.611640
186	1.617230
187	1.622820
188	1.628410
189	1.634000
190	1.639590
191	1.644320
192	1.649480
193	1.654640
194	1.658940
195	1.663670
196	1.668400
197	1.672270
198	1.676140
199	1.680440
200	1.683880
201	1.687750
202	1.691190
203	1.693770
204	1.697210
205	1.699360
206	1.702370
207	1.704520
208	1.706240
209	1.708390
210	1.710110
211	1.710970
212	1.711830
213	1.712260
214	1.712690
215	1.713120
216	1.713120
217	1.713120
218	1.713120
219	1.713550
220	1.713550
221	1.713980
222	1.713550
223	1.713980
224	1.713550
225	1.713550
226	1.713980
227	1.713980
228	1.713980
229	1.713980
230	1.713980
231	1.713980
232	1.713980
233	1.713980
234	1.713980
235	1.713980
236	1.713980
237	1.713980
238	1.713980
239	1.713980
240	1.713980
241	1.713980
242	1.713980
243	1.713980
244	1.713980
245	1.713980
246	1.713980
247	1.713980
248	1.713980
249	1.713980
250	1.713980
251	1.713980
252	1.713980
253	1.713980
254	1.713980
255	1.713980
