# value	voltage [V]
0	0.003440
1	0.009890
2	0.016770
3	0.023650
4	0.030100
5	0.036980
6	0.043430
7	0.049880
8	0.056760
9	0.063210
10	0.070090
11	0.076970
12	0.083420
13	0.090300
14	0.096750
15	0.103630
16	0.110510
17	0.117390
18	0.123840
19	0.130720
20	0.136740
21	0.143620
22	0.150500
23	0.156950
24	0.163830
25	0.170280
26	0.177160
27	0.183610
28	0.190060
29	0.196940
30	0.203820
31	0.209840
32	0.216720
33	0.224030
34	0.230480
35	0.236930
36	0.243380
37	0.250260
38	0.256710
39	0.263590
40	0.270040
41	0.276920
42	0.283370
43	0.289820
44	0.297130
45	0.303580
46	0.310030
47	0.316480
48	0.322930
49	0.330240
50	0.336690
51	0.343570
52	0.350020
53	0.356470
54	0.363350
55	0.369800
56	0.376250
57	0.383130
58	0.389580
59	0.396030
60	0.402910
61	0.409360
62	0.416240
63	0.422690
64	0.429570
65	0.436020
66	0.442900
67	0.449350
68	0.456230
69	0.462680
70	0.469130
71	0.476010
72	0.482460
73	0.488910
74	0.495790
75	0.502240
76	0.509120
77	0.515570
78	0.522020
79	0.528900
80	0.534920
81	0.542230
82	0.548680
83	0.555560
84	0.562010
85	0.568460
86	0.574910
87	0.581790
88	0.588240
89	0.595120
90	0.601140
91	0.607590
92	0.614470
93	0.620920
94	0.627800
95	0.634250
96	0.641130
97	0.647580
98	0.654030
99	0.660910
100	0.666930
101	0.673380
102	0.680260
103	0.686280
104	0.693160
105	0.699610
106	0.706920
107	0.712940
108	0.719820
109	0.726270
110	0.732720
111	0.739170
112	0.745620
113	0.752070
114	0.758950
115	0.764970
116	0.770990
117	0.778300
118	0.783890
119	0.791200
120	0.797220
121	0.803670
122	0.810120
123	0.817860
124	0.823020
125	0.829040
126	0.836350
127	0.842800
128	0.848390
129	0.853980
130	0.860860
131	0.868170
132	0.873330
133	0.880210
134	0.887090
135	0.893540
136	0.898700
137	0.905150
138	0.912890
139	0.918910
140	0.923640
141	0.930090
142	0.936540
143	0.942990
144	0.951160
145	0.954170
146	0.961910
147	0.967930
148	0.970940
149	0.981690
150	0.987710
151	0.992870
152	0.997600
153	1.004910
154	1.010930
155	1.019530
156	1.026410
157	1.029420
158	1.037590
159	1.042320
160	1.049200
161	1.056080
162	1.061240
163	1.067690
164	1.074140
165	1.081880
166	1.088330
167	1.095640
168	1.102520
169	1.108970
170	1.115420
171	1.121440
172	1.130040
173	1.136060
174	1.142510
175	1.150250
176	1.156700
177	1.162290
178	1.170460
179	1.177340
180	1.183790
181	1.190670
182	1.197120
183	1.204000
184	1.211740
185	1.218620
186	1.225070
187	1.231950
188	1.238830
189	1.245280
190	1.252590
191	1.259470
192	1.266350
193	1.273660
194	1.280110
195	1.287850
196	1.294300
197	1.301180
198	1.307630
199	1.314080
200	1.321390
201	1.328270
202	1.335150
203	1.342460
204	1.348480
205	1.355790
206	1.362670
207	1.369120
208	1.375570
209	1.383310
210	1.390190
211	1.396640
212	1.403950
213	1.410830
214	1.418570
215	1.424160
216	1.431900
217	1.437920
218	1.445660
219	1.452110
220	1.459420
221	1.466300
222	1.473180
223	1.479630
224	1.486510
225	1.493390
226	1.501130
227	1.507150
228	1.514460
229	1.520910
230	1.527790
231	1.534670
232	1.541980
233	1.548860
234	1.555740
235	1.562190
236	1.569500
237	1.575950
238	1.582830
239	1.590140
240	1.597020
241	1.603900
242	1.610780
243	1.618520
244	1.624970
245	1.631420
246	1.638730
247	1.645180
248	1.652060
249	1.659800
250	1.665390
251	1.672700
252	1.680440
253	1.686460
254	1.694200
255	1.702370
