#time	analog (mA)	digital (mA)	status
2022-01-27 14:33:44.896541	0.24	0.16	0
2022-01-27 14:33:44.997626	0.24	0.16	0
2022-01-27 14:33:45.098556	0.24	0.16	0
2022-01-27 14:33:45.199465	0.16	0.16	0
2022-01-27 14:33:45.300415	0.16	0.16	0
2022-01-27 14:33:45.401341	0.24	0.16	0
2022-01-27 14:33:45.502367	0.16	0.16	0
2022-01-27 14:33:45.603300	0.16	0.24	0
2022-01-27 14:33:45.704252	0.24	0.16	0
2022-01-27 14:33:45.805157	0.16	0.16	0
2022-01-27 14:33:45.906066	0.24	0.16	0
2022-01-27 14:33:46.007075	0.16	0.16	0
2022-01-27 14:33:46.108049	0.24	0.16	0
2022-01-27 14:33:46.208959	0.16	0.24	0
2022-01-27 14:33:46.309882	0.24	0.16	0
2022-01-27 14:33:46.410791	0.24	0.16	0
2022-01-27 14:33:46.511804	0.16	0.16	0
2022-01-27 14:33:46.612737	0.24	0.16	0
2022-01-27 14:33:46.713644	0.24	0.16	0
2022-01-27 14:33:46.814543	0.16	0.16	0
2022-01-27 14:33:46.915450	0.24	0.16	0
2022-01-27 14:33:47.017023	0.24	0.16	0
2022-01-27 14:33:47.118437	0.24	0.16	0
2022-01-27 14:33:47.219842	0.24	0.16	0
2022-01-27 14:33:47.321311	0.24	0.16	0
2022-01-27 14:33:47.422692	0.24	0.16	0
2022-01-27 14:33:47.524132	0.24	0.16	0
2022-01-27 14:33:47.625479	0.16	0.16	0
2022-01-27 14:33:47.726824	0.16	0.16	0
2022-01-27 14:33:47.828201	0.24	0.16	0
2022-01-27 14:33:47.929540	0.24	0.16	0
2022-01-27 14:33:48.030994	0.16	0.16	0
2022-01-27 14:33:48.132441	0.16	0.16	0
2022-01-27 14:33:48.233884	0.24	0.16	0
2022-01-27 14:33:48.335122	0.16	0.16	0
2022-01-27 14:33:48.436249	0.24	0.16	0
2022-01-27 14:33:48.537377	0.24	0.16	0
2022-01-27 14:33:48.638316	0.24	0.16	0
2022-01-27 14:33:48.739262	0.24	0.16	0
2022-01-27 14:33:48.840175	0.24	0.16	0
2022-01-27 14:33:48.941077	0.16	0.16	0
2022-01-27 14:33:49.042100	0.24	0.16	0
2022-01-27 14:33:49.143028	0.16	0.16	0
2022-01-27 14:33:49.243944	0.24	0.16	0
2022-01-27 14:33:49.344847	0.24	0.16	0
2022-01-27 14:33:49.446393	0.24	0.16	0
2022-01-27 14:33:49.548283	0.24	0.16	0
2022-01-27 14:33:49.650299	0.16	0.16	0
2022-01-27 14:33:49.752373	0.24	0.16	0
2022-01-27 14:33:49.854368	0.16	0.24	0
