# value	current [nA]
0	0.003000
1	0.003000
2	0.022500
3	0.036000
4	0.049500
5	0.065250
6	0.079500
7	0.093000
8	0.106500
9	0.123000
10	0.136500
11	0.152250
12	0.164250
13	0.183000
14	0.195000
15	0.207750
16	0.222000
17	0.234750
18	0.250500
19	0.268500
20	0.281250
21	0.294000
22	0.310500
23	0.322500
24	0.337500
25	0.351000
26	0.363750
27	0.378000
28	0.394500
29	0.405000
30	0.417750
31	0.433500
32	0.447000
33	0.462000
34	0.476250
35	0.491250
36	0.505500
37	0.519750
38	0.530250
39	0.544500
40	0.558000
41	0.574500
42	0.586500
43	0.602250
44	0.616500
45	0.631500
46	0.644250
47	0.656250
48	0.672750
49	0.683250
50	0.699750
51	0.711750
52	0.726750
53	0.739500
54	0.752250
55	0.769500
56	0.782250
57	0.795000
58	0.812250
59	0.825000
60	0.837750
61	0.848250
62	0.866250
63	0.879750
64	0.891750
65	0.908250
66	0.920250
67	0.936000
68	0.948750
69	0.960750
70	0.975750
71	0.988500
72	1.003500
73	1.011750
74	1.029750
75	1.044000
76	1.059750
77	1.067250
78	1.082250
79	1.098750
80	1.113000
81	1.122000
82	1.138500
83	1.152750
84	1.163250
85	1.181250
86	1.193250
87	1.206750
88	1.218750
89	1.236750
90	1.250250
91	1.260750
92	1.277250
93	1.290000
94	1.302000
95	1.311750
96	1.329750
97	1.341750
98	1.355250
99	1.368750
100	1.381500
101	1.396500
102	1.413000
103	1.422000
104	1.439250
105	1.451250
106	1.467750
107	1.478250
108	1.494750
109	1.506000
110	1.520250
111	1.531500
112	1.545750
113	1.555500
114	1.571250
115	1.585500
116	1.596750
117	1.611000
118	1.623000
119	1.640250
120	1.652250
121	1.668000
122	1.682250
123	1.691250
124	1.707000
125	1.719000
126	1.734000
127	1.746750
128	1.761750
129	1.772250
130	1.786500
131	1.803750
132	1.812750
133	1.824750
134	1.844250
135	1.854750
136	1.869750
137	1.881000
138	1.896000
139	1.910250
140	1.922250
141	1.934250
142	1.946250
143	1.959000
144	1.975500
145	1.989750
146	2.001750
147	2.018250
148	2.028000
149	2.043000
150	2.058750
151	2.068500
152	2.084250
153	2.097000
154	2.111250
155	2.123250
156	2.136000
157	2.148750
158	2.163750
159	2.179500
160	2.193750
161	2.201250
162	2.220000
163	2.230500
164	2.243250
165	2.261250
166	2.271750
167	2.283750
168	2.299500
169	2.314500
170	2.324250
171	2.341500
172	2.355000
173	2.364000
174	2.376750
175	2.393250
176	2.402250
177	2.418000
178	2.433000
179	2.444250
180	2.459250
181	2.472000
182	2.484000
183	2.499000
184	2.513250
185	2.525250
186	2.538000
187	2.553750
188	2.563500
189	2.576250
190	2.593500
191	2.604750
192	2.619750
193	2.632500
194	2.643750
195	2.656500
196	2.670000
197	2.682750
198	2.699250
199	2.711250
200	2.726250
201	2.734500
202	2.751750
203	2.760750
204	2.777250
205	2.790000
206	2.802000
207	2.816250
208	2.829750
209	2.841000
210	2.853750
211	2.871750
212	2.885250
213	2.898000
214	2.910000
215	2.922000
216	2.936250
217	2.951250
218	2.961750
219	2.976750
220	2.988750
221	3.002250
222	3.017250
223	3.028500
224	3.034500
225	3.035250
226	3.035250
227	3.036000
228	3.036000
229	3.036000
230	3.036000
231	3.036750
232	3.036750
233	3.036750
234	3.036750
235	3.036750
236	3.036750
237	3.036750
238	3.036750
239	3.037500
240	3.036750
241	3.036750
242	3.036750
243	3.036750
244	3.036750
245	3.036750
246	3.037500
247	3.037500
248	3.036750
249	3.036750
250	3.037500
251	3.037500
252	3.036750
253	3.037500
254	3.037500
255	3.037500
