# value	voltage [V]
0	0.004300
1	0.011180
2	0.017630
3	0.024510
4	0.030960
5	0.037410
6	0.044290
7	0.051170
8	0.057620
9	0.064500
10	0.070950
11	0.077830
12	0.084280
13	0.091160
14	0.097610
15	0.104490
16	0.111370
17	0.117820
18	0.124700
19	0.131150
20	0.138030
21	0.144480
22	0.150930
23	0.157810
24	0.164690
25	0.171570
26	0.178020
27	0.184470
28	0.191350
29	0.197800
30	0.204250
31	0.211130
32	0.217580
33	0.224460
34	0.231340
35	0.237790
36	0.244240
37	0.251120
38	0.257570
39	0.264020
40	0.270900
41	0.277780
42	0.284230
43	0.290680
44	0.297560
45	0.304010
46	0.310890
47	0.317340
48	0.323790
49	0.330670
50	0.337550
51	0.344000
52	0.350450
53	0.357330
54	0.363780
55	0.370660
56	0.377110
57	0.383990
58	0.390440
59	0.397320
60	0.403770
61	0.410220
62	0.417100
63	0.423550
64	0.430000
65	0.436880
66	0.443330
67	0.450210
68	0.456660
69	0.463110
70	0.469990
71	0.476440
72	0.482890
73	0.489770
74	0.496650
75	0.503100
76	0.509550
77	0.516430
78	0.522880
79	0.529330
80	0.536210
81	0.542660
82	0.549110
83	0.555990
84	0.562870
85	0.569320
86	0.575770
87	0.582220
88	0.589100
89	0.595550
90	0.602000
91	0.608880
92	0.615330
93	0.622210
94	0.628230
95	0.635110
96	0.641560
97	0.648010
98	0.654890
99	0.660910
100	0.668220
101	0.674670
102	0.681120
103	0.687570
104	0.694020
105	0.700900
106	0.707350
107	0.713800
108	0.720250
109	0.726700
110	0.733150
111	0.740460
112	0.746910
113	0.753360
114	0.759810
115	0.766260
116	0.772710
117	0.779160
118	0.785180
119	0.791200
120	0.798510
121	0.804530
122	0.811840
123	0.817430
124	0.824310
125	0.829900
126	0.837210
127	0.844090
128	0.850110
129	0.856560
130	0.863010
131	0.869030
132	0.874620
133	0.881500
134	0.887950
135	0.893970
136	0.898700
137	0.906440
138	0.912890
139	0.920200
140	0.925790
141	0.931380
142	0.938690
143	0.944280
144	0.951590
145	0.956750
146	0.963200
147	0.967930
148	0.974810
149	0.980830
150	0.987710
151	0.992010
152	1.001040
153	1.007060
154	1.013510
155	1.019960
156	1.024690
157	1.031140
158	1.038450
159	1.044040
160	1.052210
161	1.056080
162	1.062960
163	1.070700
164	1.076290
165	1.084030
166	1.090480
167	1.097790
168	1.103810
169	1.111120
170	1.118000
171	1.124020
172	1.130470
173	1.137350
174	1.144660
175	1.151970
176	1.158420
177	1.164870
178	1.173040
179	1.178630
180	1.185510
181	1.192390
182	1.199270
183	1.206150
184	1.213460
185	1.220340
186	1.227650
187	1.233670
188	1.240550
189	1.248290
190	1.255170
191	1.261620
192	1.269360
193	1.274950
194	1.281830
195	1.288710
196	1.296880
197	1.303330
198	1.309780
199	1.316660
200	1.323540
201	1.330420
202	1.337300
203	1.345040
204	1.351060
205	1.357510
206	1.365250
207	1.372130
208	1.378150
209	1.385890
210	1.391910
211	1.398790
212	1.406100
213	1.412550
214	1.419430
215	1.426740
216	1.434050
217	1.440500
218	1.447810
219	1.453830
220	1.461570
221	1.467590
222	1.474470
223	1.481350
224	1.489090
225	1.495110
226	1.502850
227	1.509300
228	1.516610
229	1.523060
230	1.529940
231	1.536390
232	1.543270
233	1.550580
234	1.557890
235	1.563910
236	1.571220
237	1.578100
238	1.585410
239	1.591860
240	1.599170
241	1.606050
242	1.612070
243	1.619810
244	1.626690
245	1.633570
246	1.640450
247	1.646470
248	1.653780
249	1.661090
250	1.668400
251	1.674420
252	1.681730
253	1.688610
254	1.695490
255	1.703230
