# value	voltage [V]
0	0.004300
1	0.011180
2	0.017630
3	0.024510
4	0.030960
5	0.037410
6	0.044290
7	0.050740
8	0.057620
9	0.064500
10	0.070950
11	0.077830
12	0.084280
13	0.091160
14	0.097610
15	0.104490
16	0.111370
17	0.117820
18	0.124700
19	0.131150
20	0.137600
21	0.144480
22	0.151360
23	0.157810
24	0.164260
25	0.171570
26	0.178020
27	0.184470
28	0.191350
29	0.197800
30	0.204680
31	0.211130
32	0.217580
33	0.224460
34	0.231340
35	0.237790
36	0.244240
37	0.251120
38	0.257570
39	0.264450
40	0.270900
41	0.277780
42	0.284230
43	0.290680
44	0.297560
45	0.304010
46	0.310890
47	0.317340
48	0.323790
49	0.330670
50	0.337550
51	0.344000
52	0.350450
53	0.357330
54	0.363780
55	0.370660
56	0.377110
57	0.383990
58	0.390440
59	0.396890
60	0.403770
61	0.410220
62	0.417100
63	0.423550
64	0.430430
65	0.436450
66	0.443330
67	0.450210
68	0.456660
69	0.463110
70	0.469990
71	0.476440
72	0.483320
73	0.489770
74	0.496650
75	0.503100
76	0.509550
77	0.516000
78	0.522880
79	0.529330
80	0.536210
81	0.542660
82	0.549110
83	0.555990
84	0.562440
85	0.569320
86	0.575770
87	0.582220
88	0.589100
89	0.595550
90	0.602000
91	0.609310
92	0.615330
93	0.622210
94	0.628660
95	0.635110
96	0.641990
97	0.648010
98	0.654890
99	0.661340
100	0.667790
101	0.675100
102	0.681120
103	0.687570
104	0.694450
105	0.700900
106	0.706920
107	0.713800
108	0.720250
109	0.727130
110	0.733150
111	0.740030
112	0.746910
113	0.752930
114	0.759810
115	0.766690
116	0.772280
117	0.779160
118	0.786040
119	0.792920
120	0.798510
121	0.804960
122	0.810980
123	0.816570
124	0.824310
125	0.830330
126	0.838070
127	0.843660
128	0.850110
129	0.856990
130	0.863440
131	0.869030
132	0.875050
133	0.881930
134	0.887520
135	0.894830
136	0.899560
137	0.906010
138	0.912890
139	0.917620
140	0.926650
141	0.932670
142	0.938690
143	0.943420
144	0.950300
145	0.955460
146	0.964060
147	0.968790
148	0.975240
149	0.981260
150	0.988140
151	0.996310
152	1.000180
153	1.007060
154	1.013080
155	1.018240
156	1.025120
157	1.032000
158	1.038450
159	1.044470
160	1.051350
161	1.057370
162	1.064250
163	1.071130
164	1.077580
165	1.084460
166	1.091340
167	1.098650
168	1.104240
169	1.110690
170	1.117570
171	1.124880
172	1.131330
173	1.138210
174	1.145090
175	1.151970
176	1.158850
177	1.164870
178	1.171750
179	1.178630
180	1.185940
181	1.193680
182	1.199700
183	1.207010
184	1.213030
185	1.221200
186	1.227650
187	1.234100
188	1.240980
189	1.247860
190	1.255170
191	1.262050
192	1.268500
193	1.275380
194	1.281830
195	1.289140
196	1.296450
197	1.302470
198	1.309780
199	1.316230
200	1.323540
201	1.329560
202	1.336870
203	1.344610
204	1.351490
205	1.357510
206	1.364820
207	1.371700
208	1.378150
209	1.385890
210	1.392340
211	1.399220
212	1.406100
213	1.412550
214	1.420290
215	1.427170
216	1.433190
217	1.440500
218	1.447810
219	1.454260
220	1.461140
221	1.467590
222	1.475330
223	1.481780
224	1.488660
225	1.495110
226	1.503280
227	1.509730
228	1.516610
229	1.522630
230	1.530370
231	1.536390
232	1.543700
233	1.551010
234	1.557890
235	1.564770
236	1.570790
237	1.578530
238	1.585410
239	1.592290
240	1.599170
241	1.605620
242	1.612070
243	1.619380
244	1.626690
245	1.633570
246	1.640450
247	1.646470
248	1.654210
249	1.660660
250	1.667970
251	1.673990
252	1.681730
253	1.688610
254	1.695920
255	1.703660
