# value	voltage [V]
0	0.371950
1	0.378830
2	0.385280
3	0.392160
4	0.398610
5	0.405490
6	0.411940
7	0.418820
8	0.425270
9	0.432150
10	0.438600
11	0.445480
12	0.452360
13	0.458380
14	0.465260
15	0.472140
16	0.478590
17	0.485470
18	0.491920
19	0.498800
20	0.505680
21	0.512130
22	0.519010
23	0.525460
24	0.531910
25	0.538790
26	0.545240
27	0.552120
28	0.559000
29	0.565450
30	0.572330
31	0.578780
32	0.585230
33	0.592110
34	0.598560
35	0.605440
36	0.611890
37	0.618770
38	0.625220
39	0.632100
40	0.638550
41	0.645430
42	0.651880
43	0.658330
44	0.665210
45	0.672090
46	0.678540
47	0.684990
48	0.691870
49	0.698320
50	0.705200
51	0.711650
52	0.718530
53	0.725410
54	0.731860
55	0.738310
56	0.745190
57	0.751640
58	0.758090
59	0.764970
60	0.771850
61	0.778300
62	0.785180
63	0.791630
64	0.798080
65	0.804530
66	0.811410
67	0.817860
68	0.824310
69	0.831190
70	0.838070
71	0.844520
72	0.851400
73	0.857420
74	0.864300
75	0.871180
76	0.877630
77	0.883650
78	0.890530
79	0.896980
80	0.903430
81	0.910310
82	0.916760
83	0.923210
84	0.929660
85	0.936540
86	0.942990
87	0.949440
88	0.955890
89	0.962770
90	0.969220
91	0.975670
92	0.982550
93	0.989000
94	0.995450
95	1.001900
96	1.008780
97	1.015230
98	1.021680
99	1.028560
100	1.035010
101	1.041460
102	1.048340
103	1.054790
104	1.061240
105	1.067690
106	1.074570
107	1.081020
108	1.087470
109	1.093920
110	1.100800
111	1.107250
112	1.113700
113	1.120150
114	1.127030
115	1.133050
116	1.139930
117	1.146380
118	1.152830
119	1.159280
120	1.165730
121	1.172610
122	1.179060
123	1.185510
124	1.191960
125	1.198410
126	1.204860
127	1.211740
128	1.218190
129	1.224640
130	1.231090
131	1.237540
132	1.243990
133	1.250870
134	1.256890
135	1.263340
136	1.270220
137	1.276670
138	1.283120
139	1.289570
140	1.296020
141	1.302470
142	1.308920
143	1.315370
144	1.321820
145	1.328270
146	1.334720
147	1.341170
148	1.347620
149	1.354070
150	1.360520
151	1.366540
152	1.373420
153	1.379870
154	1.386320
155	1.392770
156	1.399220
157	1.405670
158	1.411690
159	1.418140
160	1.424590
161	1.431470
162	1.437490
163	1.443940
164	1.450390
165	1.456840
166	1.463290
167	1.469310
168	1.476190
169	1.482210
170	1.488660
171	1.495110
172	1.501130
173	1.507580
174	1.513600
175	1.520050
176	1.526070
177	1.532090
178	1.538540
179	1.544990
180	1.551010
181	1.557030
182	1.562620
183	1.568640
184	1.574230
185	1.579820
186	1.585410
187	1.591000
188	1.596590
189	1.601320
190	1.606050
191	1.611210
192	1.615940
193	1.620240
194	1.624540
195	1.628840
196	1.632710
197	1.636580
198	1.640020
199	1.643460
200	1.646470
201	1.649050
202	1.652060
203	1.654640
204	1.656790
205	1.658510
206	1.660230
207	1.661950
208	1.663240
209	1.664530
210	1.665390
211	1.666250
212	1.667110
213	1.667970
214	1.668400
215	1.668830
216	1.669260
217	1.669690
218	1.669690
219	1.669690
220	1.670120
221	1.670120
222	1.670550
223	1.670550
224	1.670550
225	1.670980
226	1.670980
227	1.670980
228	1.670980
229	1.670980
230	1.670980
231	1.670550
232	1.670980
233	1.670980
234	1.670980
235	1.670980
236	1.670980
237	1.670980
238	1.670980
239	1.670980
240	1.670980
241	1.670980
242	1.670980
243	1.670980
244	1.670980
245	1.670980
246	1.670980
247	1.670980
248	1.670980
249	1.670980
250	1.670980
251	1.670980
252	1.670980
253	1.670980
254	1.670980
255	1.670980
