# value	voltage [V]
0	0.390870
1	0.397750
2	0.404200
3	0.410650
4	0.417530
5	0.423980
6	0.430430
7	0.437310
8	0.443760
9	0.450640
10	0.457520
11	0.463970
12	0.470420
13	0.477300
14	0.483750
15	0.490630
16	0.497510
17	0.503960
18	0.510410
19	0.517290
20	0.523740
21	0.530620
22	0.537500
23	0.543950
24	0.550400
25	0.557280
26	0.564160
27	0.570610
28	0.577060
29	0.583940
30	0.590390
31	0.597270
32	0.603720
33	0.610600
34	0.617050
35	0.623500
36	0.630380
37	0.637260
38	0.643710
39	0.650160
40	0.657040
41	0.663920
42	0.670370
43	0.677250
44	0.683700
45	0.690150
46	0.697030
47	0.703910
48	0.710360
49	0.717240
50	0.723690
51	0.730140
52	0.737020
53	0.743900
54	0.750350
55	0.756800
56	0.763680
57	0.770130
58	0.777010
59	0.783460
60	0.790340
61	0.796790
62	0.803670
63	0.810120
64	0.816570
65	0.823450
66	0.829900
67	0.836780
68	0.843230
69	0.850110
70	0.856990
71	0.863440
72	0.869890
73	0.876770
74	0.882790
75	0.889670
76	0.896550
77	0.903000
78	0.909450
79	0.915900
80	0.922780
81	0.929660
82	0.936110
83	0.942990
84	0.949440
85	0.956320
86	0.962770
87	0.969650
88	0.976100
89	0.982980
90	0.989430
91	0.996310
92	1.002760
93	1.009210
94	1.016090
95	1.022540
96	1.029420
97	1.035870
98	1.042750
99	1.049200
100	1.056080
101	1.062960
102	1.069410
103	1.075860
104	1.082310
105	1.089190
106	1.095640
107	1.102520
108	1.108970
109	1.115420
110	1.122300
111	1.128750
112	1.135200
113	1.141650
114	1.148530
115	1.154980
116	1.161860
117	1.168310
118	1.175190
119	1.181210
120	1.188090
121	1.194540
122	1.200990
123	1.207870
124	1.214320
125	1.220770
126	1.227650
127	1.234100
128	1.240550
129	1.247430
130	1.253450
131	1.260330
132	1.267210
133	1.273660
134	1.280110
135	1.286560
136	1.293010
137	1.299890
138	1.306340
139	1.312790
140	1.319240
141	1.326120
142	1.332570
143	1.339020
144	1.345470
145	1.351920
146	1.358370
147	1.365250
148	1.371700
149	1.378150
150	1.385030
151	1.391480
152	1.397930
153	1.404380
154	1.410830
155	1.417280
156	1.424160
157	1.430610
158	1.437060
159	1.443510
160	1.449960
161	1.456410
162	1.463290
163	1.469740
164	1.476190
165	1.482640
166	1.489520
167	1.495970
168	1.501990
169	1.508870
170	1.515320
171	1.521770
172	1.527790
173	1.534670
174	1.540690
175	1.547140
176	1.553590
177	1.560040
178	1.566060
179	1.572510
180	1.578530
181	1.584550
182	1.590570
183	1.596590
184	1.602610
185	1.608630
186	1.614220
187	1.619810
188	1.624970
189	1.630560
190	1.636150
191	1.641310
192	1.646470
193	1.651630
194	1.655930
195	1.661090
196	1.665390
197	1.669690
198	1.673990
199	1.678290
200	1.682160
201	1.686030
202	1.689470
203	1.692910
204	1.695920
205	1.698930
206	1.701510
207	1.704090
208	1.706670
209	1.708390
210	1.710540
211	1.712260
212	1.713120
213	1.713980
214	1.714410
215	1.714840
216	1.715270
217	1.715270
218	1.715270
219	1.715270
220	1.715270
221	1.715700
222	1.715700
223	1.715700
224	1.715700
225	1.715700
226	1.715700
227	1.715700
228	1.715700
229	1.715700
230	1.715700
231	1.716130
232	1.716130
233	1.716130
234	1.716130
235	1.716130
236	1.716130
237	1.715700
238	1.716130
239	1.716130
240	1.716130
241	1.716130
242	1.715700
243	1.716130
244	1.715700
245	1.716130
246	1.716130
247	1.716130
248	1.716130
249	1.715700
250	1.716130
251	1.716130
252	1.716130
253	1.716130
254	1.716130
255	1.716130
