# value	voltage [V]
0	0.373670
1	0.380120
2	0.387000
3	0.393880
4	0.400330
5	0.406780
6	0.413230
7	0.420110
8	0.426560
9	0.433440
10	0.440320
11	0.446770
12	0.453650
13	0.460100
14	0.466980
15	0.473430
16	0.479880
17	0.486760
18	0.493210
19	0.500090
20	0.506970
21	0.513420
22	0.520300
23	0.526750
24	0.533630
25	0.540080
26	0.546530
27	0.553840
28	0.560290
29	0.566740
30	0.573620
31	0.580070
32	0.586950
33	0.593400
34	0.599850
35	0.606730
36	0.613610
37	0.620060
38	0.626510
39	0.633390
40	0.639840
41	0.646720
42	0.653170
43	0.660050
44	0.666930
45	0.673380
46	0.680260
47	0.686710
48	0.693160
49	0.700040
50	0.706490
51	0.712940
52	0.719820
53	0.726700
54	0.733150
55	0.740030
56	0.746480
57	0.753360
58	0.759810
59	0.766690
60	0.773570
61	0.780020
62	0.786470
63	0.793350
64	0.799800
65	0.806250
66	0.813130
67	0.819580
68	0.826460
69	0.833340
70	0.839790
71	0.846670
72	0.853120
73	0.859570
74	0.866450
75	0.873330
76	0.879780
77	0.886230
78	0.892680
79	0.899560
80	0.906010
81	0.912890
82	0.919340
83	0.926220
84	0.932670
85	0.939550
86	0.946000
87	0.952880
88	0.959330
89	0.966210
90	0.972660
91	0.979540
92	0.985990
93	0.992870
94	0.999750
95	1.006200
96	1.012650
97	1.019530
98	1.025980
99	1.032860
100	1.039740
101	1.046190
102	1.052640
103	1.059950
104	1.066400
105	1.072850
106	1.079730
107	1.086610
108	1.093060
109	1.099510
110	1.106390
111	1.113270
112	1.120150
113	1.126600
114	1.133050
115	1.139930
116	1.146380
117	1.153260
118	1.160140
119	1.166590
120	1.173470
121	1.179920
122	1.186800
123	1.193250
124	1.200130
125	1.207010
126	1.213460
127	1.220340
128	1.226790
129	1.233670
130	1.240550
131	1.247000
132	1.253450
133	1.260330
134	1.267210
135	1.273660
136	1.280540
137	1.286990
138	1.293870
139	1.300320
140	1.307200
141	1.313650
142	1.320530
143	1.326980
144	1.333860
145	1.340310
146	1.347190
147	1.353640
148	1.360520
149	1.366970
150	1.373850
151	1.380730
152	1.387180
153	1.394060
154	1.400510
155	1.406960
156	1.413840
157	1.420720
158	1.427170
159	1.434050
160	1.440930
161	1.447380
162	1.453830
163	1.460710
164	1.467160
165	1.473610
166	1.480490
167	1.487370
168	1.493820
169	1.500700
170	1.507150
171	1.513600
172	1.520050
173	1.526930
174	1.533380
175	1.539830
176	1.546280
177	1.553160
178	1.559180
179	1.566060
180	1.572080
181	1.578530
182	1.584550
183	1.590570
184	1.596590
185	1.602610
186	1.608630
187	1.614220
188	1.619810
189	1.625830
190	1.630560
191	1.636150
192	1.641310
193	1.646470
194	1.651630
195	1.655930
196	1.660660
197	1.664960
198	1.669260
199	1.673990
200	1.677430
201	1.681300
202	1.684740
203	1.688180
204	1.691620
205	1.694630
206	1.697210
207	1.699790
208	1.702370
209	1.704090
210	1.706240
211	1.707960
212	1.709250
213	1.710540
214	1.711830
215	1.712690
216	1.713120
217	1.713550
218	1.713980
219	1.713980
220	1.714410
221	1.714840
222	1.714410
223	1.714840
224	1.714840
225	1.714840
226	1.714840
227	1.715270
228	1.715270
229	1.715270
230	1.714840
231	1.714840
232	1.715270
233	1.714840
234	1.715270
235	1.715270
236	1.715270
237	1.714840
238	1.715270
239	1.715270
240	1.715270
241	1.715270
242	1.715270
243	1.715270
244	1.714840
245	1.715270
246	1.715270
247	1.714840
248	1.715270
249	1.715270
250	1.715270
251	1.715270
252	1.715270
253	1.715270
254	1.715270
255	1.715270
