# value	current [nA]
0	0.002250
1	0.003000
2	0.018000
3	0.033000
4	0.046500
5	0.056250
6	0.073500
7	0.087750
8	0.098250
9	0.115500
10	0.128250
11	0.138000
12	0.152250
13	0.168000
14	0.182250
15	0.195750
16	0.204750
17	0.219750
18	0.234000
19	0.243750
20	0.257250
21	0.271500
22	0.284250
23	0.298500
24	0.312750
25	0.322500
26	0.340500
27	0.354000
28	0.363000
29	0.377250
30	0.391500
31	0.400500
32	0.417750
33	0.432000
34	0.441000
35	0.458250
36	0.465000
37	0.482250
38	0.495750
39	0.506250
40	0.519750
41	0.533250
42	0.548250
43	0.563250
44	0.574500
45	0.588750
46	0.599250
47	0.615750
48	0.627750
49	0.642000
50	0.652500
51	0.666000
52	0.675750
53	0.693000
54	0.702000
55	0.716250
56	0.730500
57	0.744000
58	0.754500
59	0.772500
60	0.784500
61	0.794250
62	0.805500
63	0.822750
64	0.831000
65	0.848250
66	0.858000
67	0.873000
68	0.885750
69	0.899250
70	0.912750
71	0.924750
72	0.934500
73	0.949500
74	0.965250
75	0.975750
76	0.990750
77	1.000500
78	1.013250
79	1.027500
80	1.041000
81	1.053000
82	1.066500
83	1.077750
84	1.092750
85	1.102500
86	1.114500
87	1.128750
88	1.145250
89	1.155750
90	1.170750
91	1.179750
92	1.197750
93	1.209000
94	1.221000
95	1.234500
96	1.247250
97	1.260000
98	1.274250
99	1.286250
100	1.299750
101	1.310250
102	1.323000
103	1.341000
104	1.350750
105	1.363500
106	1.378500
107	1.391250
108	1.406250
109	1.416750
110	1.429500
111	1.442250
112	1.455000
113	1.466250
114	1.478250
115	1.490250
116	1.506000
117	1.516500
118	1.530750
119	1.545000
120	1.552500
121	1.567500
122	1.583250
123	1.593750
124	1.608000
125	1.620000
126	1.634250
127	1.648500
128	1.659750
129	1.673250
130	1.682250
131	1.698000
132	1.708500
133	1.721250
134	1.737750
135	1.748250
136	1.758750
137	1.772250
138	1.791000
139	1.800750
140	1.811250
141	1.824750
142	1.839000
143	1.849500
144	1.860750
145	1.875750
146	1.887750
147	1.902750
148	1.914000
149	1.929000
150	1.938750
151	1.953750
152	1.965000
153	1.976250
154	1.991250
155	2.005500
156	2.014500
157	2.029500
158	2.043000
159	2.055000
160	2.068500
161	2.080500
162	2.095500
163	2.109000
164	2.121750
165	2.136000
166	2.146500
167	2.159250
168	2.174250
169	2.185500
170	2.199000
171	2.210250
172	2.224500
173	2.238000
174	2.248500
175	2.265750
176	2.277750
177	2.288250
178	2.298000
179	2.313750
180	2.325750
181	2.338500
182	2.352000
183	2.366250
184	2.377500
185	2.388000
186	2.403000
187	2.417250
188	2.428500
189	2.439750
190	2.452500
191	2.467500
192	2.478000
193	2.487750
194	2.504250
195	2.514750
196	2.527500
197	2.542500
198	2.553000
199	2.565750
200	2.580000
201	2.596500
202	2.606250
203	2.618250
204	2.631750
205	2.643000
206	2.655750
207	2.667750
208	2.682750
209	2.693250
210	2.706750
211	2.720250
212	2.733000
213	2.745000
214	2.759250
215	2.767500
216	2.787750
217	2.796750
218	2.807250
219	2.820000
220	2.832750
221	2.848500
222	2.856000
223	2.871750
224	2.886000
225	2.899500
226	2.910750
227	2.922750
228	2.935500
229	2.948250
230	2.959500
231	2.973750
232	2.987250
233	2.999250
234	3.012000
235	3.024000
236	3.033000
237	3.035250
238	3.035250
239	3.035250
240	3.035250
241	3.035250
242	3.036000
243	3.036000
244	3.036750
245	3.036750
246	3.036750
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
