# value	current [nA]
0	0.003000
1	0.003000
2	0.021000
3	0.037500
4	0.048750
5	0.065250
6	0.080250
7	0.090750
8	0.108000
9	0.119250
10	0.137250
11	0.146250
12	0.164250
13	0.177750
14	0.192750
15	0.205500
16	0.219750
17	0.234750
18	0.249750
19	0.263250
20	0.278250
21	0.292500
22	0.306000
23	0.321000
24	0.331500
25	0.350250
26	0.364500
27	0.376500
28	0.390000
29	0.406500
30	0.417000
31	0.430500
32	0.444750
33	0.459000
34	0.471000
35	0.486000
36	0.496500
37	0.513750
38	0.528000
39	0.543000
40	0.553500
41	0.570750
42	0.583500
43	0.597750
44	0.612750
45	0.625500
46	0.640500
47	0.651000
48	0.666000
49	0.681000
50	0.696750
51	0.707250
52	0.723000
53	0.736500
54	0.750000
55	0.764250
56	0.777000
57	0.787500
58	0.804750
59	0.819000
60	0.833250
61	0.845250
62	0.859500
63	0.872250
64	0.889500
65	0.903000
66	0.915750
67	0.928500
68	0.943500
69	0.954750
70	0.970500
71	0.983250
72	0.999750
73	1.010250
74	1.024500
75	1.036500
76	1.049250
77	1.068750
78	1.079250
79	1.092750
80	1.110750
81	1.118250
82	1.133250
83	1.146000
84	1.164750
85	1.173000
86	1.188000
87	1.203000
88	1.213500
89	1.228500
90	1.245000
91	1.256250
92	1.269000
93	1.284750
94	1.296000
95	1.308000
96	1.323750
97	1.338000
98	1.352250
99	1.367250
100	1.374750
101	1.392000
102	1.407000
103	1.416000
104	1.428750
105	1.447500
106	1.458000
107	1.470750
108	1.485000
109	1.502250
110	1.512000
111	1.522500
112	1.538250
113	1.550250
114	1.566000
115	1.576500
116	1.591500
117	1.611000
118	1.616250
119	1.632000
120	1.648500
121	1.658250
122	1.671750
123	1.686000
124	1.698000
125	1.713000
126	1.727250
127	1.740000
128	1.752750
129	1.769250
130	1.783500
131	1.792500
132	1.806000
133	1.821000
134	1.836750
135	1.850250
136	1.862250
137	1.873500
138	1.888500
139	1.902750
140	1.914750
141	1.931250
142	1.943250
143	1.953000
144	1.970250
145	1.980000
146	1.997250
147	2.009250
148	2.022000
149	2.037750
150	2.051250
151	2.063250
152	2.076750
153	2.088750
154	2.100750
155	2.118750
156	2.128500
157	2.140500
158	2.157750
159	2.172000
160	2.181000
161	2.201250
162	2.209500
163	2.223000
164	2.235000
165	2.250750
166	2.261250
167	2.277000
168	2.289750
169	2.300250
170	2.315250
171	2.329500
172	2.346000
173	2.357250
174	2.369250
175	2.384250
176	2.397000
177	2.409750
178	2.424750
179	2.439750
180	2.451000
181	2.465250
182	2.481750
183	2.494500
184	2.503500
185	2.520000
186	2.533500
187	2.545500
188	2.559000
189	2.574750
190	2.586750
191	2.599500
192	2.609250
193	2.624250
194	2.639250
195	2.651250
196	2.667750
197	2.680500
198	2.694750
199	2.706000
200	2.718000
201	2.734500
202	2.744250
203	2.759250
204	2.770500
205	2.784750
206	2.800500
207	2.814000
208	2.825250
209	2.839500
210	2.853000
211	2.865000
212	2.883000
213	2.891250
214	2.905500
215	2.918250
216	2.931000
217	2.944500
218	2.957250
219	2.972250
220	2.985000
221	2.999250
222	3.011250
223	3.023250
224	3.033750
225	3.035250
226	3.035250
227	3.036000
228	3.036000
229	3.036000
230	3.036000
231	3.036000
232	3.036750
233	3.036750
234	3.036750
235	3.036750
236	3.036750
237	3.036750
238	3.036750
239	3.036750
240	3.036750
241	3.036750
242	3.036750
243	3.036750
244	3.036750
245	3.037500
246	3.036750
247	3.036750
248	3.036750
249	3.036750
250	3.037500
251	3.037500
252	3.037500
253	3.036750
254	3.037500
255	3.037500
