# value	current [nA]
0	0.003000
1	0.003750
2	0.021000
3	0.034500
4	0.048000
5	0.066000
6	0.079500
7	0.093000
8	0.107250
9	0.120000
10	0.133500
11	0.151500
12	0.161250
13	0.175500
14	0.187500
15	0.203250
16	0.219750
17	0.230250
18	0.246750
19	0.261750
20	0.273000
21	0.288000
22	0.302250
23	0.317250
24	0.327750
25	0.345750
26	0.357000
27	0.372750
28	0.387750
29	0.402000
30	0.414750
31	0.428250
32	0.441750
33	0.455250
34	0.469500
35	0.486750
36	0.496500
37	0.510750
38	0.526500
39	0.541500
40	0.553500
41	0.566250
42	0.579000
43	0.598500
44	0.610500
45	0.621000
46	0.633000
47	0.647250
48	0.661500
49	0.675750
50	0.692250
51	0.705750
52	0.719250
53	0.732750
54	0.747000
55	0.761250
56	0.777000
57	0.789000
58	0.801000
59	0.815250
60	0.828000
61	0.842250
62	0.854250
63	0.867750
64	0.883500
65	0.894000
66	0.912750
67	0.921750
68	0.936750
69	0.950250
70	0.963000
71	0.978000
72	0.992250
73	1.005750
74	1.020000
75	1.034250
76	1.047750
77	1.062750
78	1.074750
79	1.085250
80	1.101000
81	1.116750
82	1.128000
83	1.140750
84	1.154250
85	1.167750
86	1.181250
87	1.197000
88	1.208250
89	1.221000
90	1.233750
91	1.249500
92	1.264500
93	1.275000
94	1.289250
95	1.307250
96	1.317000
97	1.331250
98	1.343250
99	1.360500
100	1.374750
101	1.384500
102	1.399500
103	1.415250
104	1.427250
105	1.438500
106	1.452000
107	1.464000
108	1.478250
109	1.494750
110	1.506000
111	1.518750
112	1.538250
113	1.548000
114	1.560000
115	1.572750
116	1.587000
117	1.598250
118	1.611750
119	1.626750
120	1.641750
121	1.657500
122	1.666500
123	1.680000
124	1.696500
125	1.707000
126	1.722000
127	1.734750
128	1.746750
129	1.762500
130	1.773750
131	1.791750
132	1.799250
133	1.816500
134	1.827750
135	1.841250
136	1.858500
137	1.870500
138	1.884750
139	1.897500
140	1.912500
141	1.926000
142	1.939500
143	1.953750
144	1.964250
145	1.980000
146	1.989750
147	2.005500
148	2.013750
149	2.034750
150	2.046000
151	2.055750
152	2.072250
153	2.088000
154	2.094750
155	2.113500
156	2.129250
157	2.141250
158	2.151750
159	2.167500
160	2.181000
161	2.195250
162	2.205750
163	2.220000
164	2.231250
165	2.246250
166	2.261250
167	2.274000
168	2.288250
169	2.298750
170	2.309250
171	2.326500
172	2.339250
173	2.351250
174	2.364000
175	2.379000
176	2.392500
177	2.407500
178	2.418750
179	2.431500
180	2.451750
181	2.460000
182	2.471250
183	2.486250
184	2.502750
185	2.514000
186	2.528250
187	2.538000
188	2.552250
189	2.567250
190	2.577000
191	2.595000
192	2.604750
193	2.616000
194	2.634000
195	2.650500
196	2.660250
197	2.679750
198	2.686500
199	2.700000
200	2.713500
201	2.730000
202	2.739000
203	2.753250
204	2.769000
205	2.778750
206	2.795250
207	2.808750
208	2.822250
209	2.834250
210	2.849250
211	2.860500
212	2.874000
213	2.887500
214	2.901000
215	2.916000
216	2.926500
217	2.940750
218	2.954250
219	2.967000
220	2.983500
221	2.993250
222	3.006750
223	3.020250
224	3.033000
225	3.035250
226	3.035250
227	3.036000
228	3.036000
229	3.036000
230	3.036000
231	3.036000
232	3.036750
233	3.036750
234	3.036750
235	3.036750
236	3.036750
237	3.036750
238	3.036750
239	3.036750
240	3.036750
241	3.036750
242	3.036750
243	3.036750
244	3.036750
245	3.036750
246	3.036750
247	3.037500
248	3.037500
249	3.036750
250	3.037500
251	3.037500
252	3.037500
253	3.037500
254	3.037500
255	3.037500
