# value	current [nA]
0	0.003000
1	0.003000
2	0.021750
3	0.036000
4	0.048750
5	0.065250
6	0.075000
7	0.092250
8	0.108750
9	0.121500
10	0.132000
11	0.148500
12	0.162000
13	0.177750
14	0.194250
15	0.206250
16	0.222000
17	0.234750
18	0.245250
19	0.259500
20	0.275250
21	0.291750
22	0.299250
23	0.319500
24	0.330000
25	0.344250
26	0.359250
27	0.375750
28	0.390000
29	0.401250
30	0.417750
31	0.430500
32	0.442500
33	0.459750
34	0.473250
35	0.483000
36	0.499500
37	0.512250
38	0.525750
39	0.540000
40	0.554250
41	0.568500
42	0.583500
43	0.597750
44	0.609000
45	0.627000
46	0.638250
47	0.651000
48	0.663750
49	0.677250
50	0.690750
51	0.707250
52	0.719250
53	0.732750
54	0.748500
55	0.759000
56	0.780750
57	0.786750
58	0.801750
59	0.815250
60	0.828750
61	0.841500
62	0.855000
63	0.867750
64	0.885000
65	0.897750
66	0.911250
67	0.927000
68	0.937500
69	0.951750
70	0.969750
71	0.981750
72	0.996750
73	1.007250
74	1.021500
75	1.032750
76	1.045500
77	1.064250
78	1.074000
79	1.092750
80	1.103250
81	1.116000
82	1.127250
83	1.140000
84	1.158750
85	1.167750
86	1.185750
87	1.200000
88	1.208250
89	1.223250
90	1.239000
91	1.250250
92	1.264500
93	1.283250
94	1.292250
95	1.306500
96	1.323000
97	1.332750
98	1.349250
99	1.360500
100	1.373250
101	1.389000
102	1.402500
103	1.416000
104	1.430250
105	1.442250
106	1.455000
107	1.468500
108	1.481250
109	1.493250
110	1.507500
111	1.520250
112	1.538250
113	1.551750
114	1.561500
115	1.575000
116	1.588500
117	1.602000
118	1.615500
119	1.627500
120	1.641750
121	1.658250
122	1.672500
123	1.683750
124	1.698000
125	1.715250
126	1.725750
127	1.743000
128	1.753500
129	1.768500
130	1.772250
131	1.789500
132	1.804500
133	1.821000
134	1.832250
135	1.845750
136	1.863000
137	1.874250
138	1.884750
139	1.899750
140	1.909500
141	1.929750
142	1.941750
143	1.955250
144	1.965000
145	1.980000
146	1.994250
147	2.008500
148	2.019750
149	2.031750
150	2.046750
151	2.064000
152	2.077500
153	2.088000
154	2.103750
155	2.115000
156	2.130750
157	2.142000
158	2.156250
159	2.169000
160	2.181750
161	2.196000
162	2.210250
163	2.223750
164	2.237250
165	2.252250
166	2.262000
167	2.276250
168	2.288250
169	2.301000
170	2.316750
171	2.330250
172	2.344500
173	2.357250
174	2.370750
175	2.385750
176	2.395500
177	2.409000
178	2.421000
179	2.436750
180	2.453250
181	2.463000
182	2.478000
183	2.488500
184	2.502000
185	2.517750
186	2.527500
187	2.544750
188	2.556750
189	2.564250
190	2.583000
191	2.596500
192	2.607750
193	2.620500
194	2.634750
195	2.650500
196	2.661750
197	2.676750
198	2.690250
199	2.702250
200	2.715000
201	2.730750
202	2.742000
203	2.757000
204	2.772750
205	2.781750
206	2.799750
207	2.808750
208	2.820750
209	2.833500
210	2.849250
211	2.862750
212	2.876250
213	2.889750
214	2.904750
215	2.916000
216	2.929500
217	2.943000
218	2.955750
219	2.969250
220	2.981250
221	2.994000
222	3.008250
223	3.020250
224	3.033000
225	3.035250
226	3.035250
227	3.035250
228	3.036000
229	3.036000
230	3.036000
231	3.036000
232	3.036750
233	3.036750
234	3.036750
235	3.036750
236	3.036750
237	3.036750
238	3.036750
239	3.036750
240	3.036750
241	3.036750
242	3.036750
243	3.036750
244	3.037500
245	3.036750
246	3.037500
247	3.036750
248	3.037500
249	3.037500
250	3.037500
251	3.037500
252	3.037500
253	3.037500
254	3.037500
255	3.037500
