# value	voltage [V]
0	0.005590
1	0.012470
2	0.018920
3	0.025370
4	0.032250
5	0.038700
6	0.045150
7	0.052030
8	0.058910
9	0.065360
10	0.072240
11	0.078690
12	0.085140
13	0.092020
14	0.098470
15	0.105350
16	0.111800
17	0.118680
18	0.125130
19	0.132010
20	0.138460
21	0.145340
22	0.151790
23	0.158240
24	0.165550
25	0.172000
26	0.178450
27	0.184900
28	0.191780
29	0.198230
30	0.204680
31	0.211560
32	0.218010
33	0.224890
34	0.231340
35	0.238220
36	0.244670
37	0.251120
38	0.258000
39	0.264450
40	0.271330
41	0.278210
42	0.284660
43	0.291110
44	0.297560
45	0.304440
46	0.310890
47	0.317340
48	0.324220
49	0.331100
50	0.337550
51	0.344430
52	0.350880
53	0.357330
54	0.364210
55	0.370660
56	0.377110
57	0.383990
58	0.390440
59	0.397320
60	0.403770
61	0.410650
62	0.417100
63	0.423550
64	0.430000
65	0.436880
66	0.443330
67	0.450210
68	0.456660
69	0.463110
70	0.469990
71	0.476440
72	0.483320
73	0.489770
74	0.496220
75	0.503100
76	0.509550
77	0.516000
78	0.522880
79	0.529330
80	0.535780
81	0.542660
82	0.549110
83	0.555560
84	0.562440
85	0.569320
86	0.575770
87	0.582220
88	0.589100
89	0.595550
90	0.602000
91	0.608880
92	0.614900
93	0.621350
94	0.628230
95	0.635110
96	0.641560
97	0.648010
98	0.654460
99	0.661340
100	0.667790
101	0.674670
102	0.681120
103	0.687570
104	0.694020
105	0.700900
106	0.706920
107	0.713370
108	0.719820
109	0.726270
110	0.733150
111	0.740030
112	0.746050
113	0.753360
114	0.759380
115	0.765830
116	0.772280
117	0.778730
118	0.785610
119	0.791630
120	0.797650
121	0.804530
122	0.810550
123	0.818290
124	0.823880
125	0.829470
126	0.836780
127	0.843660
128	0.848390
129	0.855700
130	0.862150
131	0.868170
132	0.875050
133	0.880640
134	0.885800
135	0.893540
136	0.900420
137	0.905150
138	0.911600
139	0.918910
140	0.923210
141	0.932240
142	0.937400
143	0.943420
144	0.947290
145	0.954600
146	0.962770
147	0.970080
148	0.973950
149	0.980400
150	0.986420
151	0.993730
152	0.998890
153	1.007920
154	1.013510
155	1.018670
156	1.027270
157	1.031570
158	1.038880
159	1.043610
160	1.050060
161	1.056940
162	1.064250
163	1.070700
164	1.076720
165	1.084890
166	1.089190
167	1.097360
168	1.104240
169	1.111550
170	1.117140
171	1.124020
172	1.131330
173	1.137350
174	1.144230
175	1.150250
176	1.158420
177	1.164870
178	1.171750
179	1.178200
180	1.185940
181	1.193250
182	1.199700
183	1.205720
184	1.214320
185	1.220770
186	1.227650
187	1.234100
188	1.240550
189	1.248290
190	1.254310
191	1.261620
192	1.268070
193	1.274950
194	1.281830
195	1.288710
196	1.296450
197	1.302470
198	1.308920
199	1.317090
200	1.323110
201	1.329990
202	1.336870
203	1.344180
204	1.350630
205	1.357510
206	1.364390
207	1.372130
208	1.378150
209	1.385460
210	1.391910
211	1.398790
212	1.405670
213	1.412980
214	1.419430
215	1.426740
216	1.434050
217	1.440500
218	1.447380
219	1.453830
220	1.461140
221	1.468020
222	1.475330
223	1.482210
224	1.489090
225	1.495110
226	1.502850
227	1.509730
228	1.516180
229	1.523490
230	1.530370
231	1.537250
232	1.543270
233	1.550580
234	1.557890
235	1.564770
236	1.571650
237	1.578530
238	1.585410
239	1.592290
240	1.599170
241	1.606480
242	1.612930
243	1.620240
244	1.627120
245	1.633570
246	1.640450
247	1.647330
248	1.655070
249	1.661950
250	1.668400
251	1.675280
252	1.683020
253	1.688610
254	1.695920
255	1.703660
