# value	voltage [V]
0	0.004300
1	0.011180
2	0.017630
3	0.024510
4	0.030960
5	0.037840
6	0.044290
7	0.051170
8	0.058050
9	0.064500
10	0.071380
11	0.077830
12	0.084280
13	0.091160
14	0.098040
15	0.104490
16	0.111370
17	0.117820
18	0.124700
19	0.131580
20	0.138030
21	0.144480
22	0.151360
23	0.157810
24	0.164690
25	0.171140
26	0.178020
27	0.184470
28	0.191350
29	0.197800
30	0.204250
31	0.211130
32	0.217580
33	0.224460
34	0.231340
35	0.237790
36	0.244670
37	0.251120
38	0.257570
39	0.264020
40	0.270900
41	0.277780
42	0.284230
43	0.291110
44	0.297560
45	0.304010
46	0.310890
47	0.317340
48	0.323790
49	0.330670
50	0.337550
51	0.344000
52	0.350880
53	0.357330
54	0.363780
55	0.370660
56	0.377110
57	0.383990
58	0.390440
59	0.397320
60	0.403770
61	0.410220
62	0.417100
63	0.423550
64	0.430000
65	0.436880
66	0.443760
67	0.449780
68	0.456660
69	0.463540
70	0.469990
71	0.476440
72	0.482890
73	0.489770
74	0.496650
75	0.503100
76	0.509550
77	0.516430
78	0.522880
79	0.529330
80	0.535780
81	0.543090
82	0.549110
83	0.555990
84	0.562440
85	0.569320
86	0.575770
87	0.582650
88	0.589100
89	0.595550
90	0.602430
91	0.608880
92	0.615330
93	0.622210
94	0.628660
95	0.635110
96	0.641560
97	0.648440
98	0.654890
99	0.661340
100	0.668220
101	0.674670
102	0.681550
103	0.687570
104	0.694450
105	0.701330
106	0.707780
107	0.714230
108	0.720680
109	0.727560
110	0.733580
111	0.740030
112	0.746480
113	0.752930
114	0.758950
115	0.765400
116	0.772280
117	0.779160
118	0.784750
119	0.791630
120	0.797650
121	0.804960
122	0.810980
123	0.818290
124	0.824310
125	0.830760
126	0.836780
127	0.843660
128	0.850540
129	0.856130
130	0.862150
131	0.869030
132	0.873760
133	0.881500
134	0.887090
135	0.894400
136	0.900420
137	0.906010
138	0.912890
139	0.920200
140	0.927510
141	0.931380
142	0.937830
143	0.945140
144	0.948580
145	0.954170
146	0.961910
147	0.968360
148	0.974380
149	0.979970
150	0.989000
151	0.994160
152	0.998890
153	1.007490
154	1.012650
155	1.020820
156	1.023400
157	1.032860
158	1.038880
159	1.044900
160	1.050490
161	1.057800
162	1.064250
163	1.069840
164	1.077580
165	1.084890
166	1.090910
167	1.096930
168	1.104670
169	1.111980
170	1.118000
171	1.124880
172	1.130900
173	1.137780
174	1.145090
175	1.152830
176	1.158420
177	1.165730
178	1.172180
179	1.178630
180	1.185940
181	1.193250
182	1.200130
183	1.206150
184	1.213460
185	1.220770
186	1.227650
187	1.234530
188	1.240550
189	1.248290
190	1.254310
191	1.262050
192	1.268070
193	1.275380
194	1.281830
195	1.289570
196	1.295590
197	1.303330
198	1.310640
199	1.317090
200	1.323540
201	1.329990
202	1.337300
203	1.344610
204	1.350630
205	1.358370
206	1.365680
207	1.371270
208	1.378580
209	1.385030
210	1.392340
211	1.399650
212	1.405670
213	1.412980
214	1.420290
215	1.425880
216	1.434050
217	1.440070
218	1.447380
219	1.454260
220	1.461570
221	1.468450
222	1.475330
223	1.482210
224	1.489090
225	1.495970
226	1.502850
227	1.509730
228	1.515750
229	1.523060
230	1.529510
231	1.536820
232	1.543700
233	1.550580
234	1.557030
235	1.564770
236	1.571650
237	1.578530
238	1.584980
239	1.592290
240	1.599170
241	1.606050
242	1.613360
243	1.619380
244	1.626690
245	1.633570
246	1.640880
247	1.646900
248	1.654640
249	1.661090
250	1.667970
251	1.674850
252	1.681730
253	1.688610
254	1.695490
255	1.703660
