# value	voltage [V]
0	0.373240
1	0.379690
2	0.386570
3	0.393450
4	0.399900
5	0.406350
6	0.413230
7	0.419680
8	0.426560
9	0.433010
10	0.439460
11	0.446340
12	0.452790
13	0.459670
14	0.466120
15	0.472570
16	0.479450
17	0.485900
18	0.492780
19	0.499660
20	0.506110
21	0.512990
22	0.519440
23	0.525890
24	0.532770
25	0.539220
26	0.545670
27	0.552550
28	0.559430
29	0.565880
30	0.572760
31	0.579210
32	0.585660
33	0.592540
34	0.598990
35	0.605870
36	0.612320
37	0.619200
38	0.625650
39	0.632530
40	0.638980
41	0.645860
42	0.652310
43	0.658760
44	0.665640
45	0.672090
46	0.678970
47	0.685420
48	0.692300
49	0.698750
50	0.705200
51	0.712080
52	0.718530
53	0.725410
54	0.732290
55	0.738740
56	0.745190
57	0.752070
58	0.758520
59	0.764970
60	0.771850
61	0.778730
62	0.785180
63	0.792060
64	0.798510
65	0.804960
66	0.811840
67	0.818290
68	0.825170
69	0.831620
70	0.838500
71	0.844950
72	0.851830
73	0.858280
74	0.865160
75	0.871610
76	0.878060
77	0.884510
78	0.890960
79	0.897840
80	0.904290
81	0.911170
82	0.918050
83	0.924500
84	0.930950
85	0.937830
86	0.944710
87	0.951160
88	0.958040
89	0.964490
90	0.970940
91	0.977820
92	0.984700
93	0.991150
94	0.998030
95	1.004480
96	1.010930
97	1.017810
98	1.024690
99	1.031140
100	1.038020
101	1.044470
102	1.051350
103	1.058230
104	1.064680
105	1.071130
106	1.078010
107	1.084890
108	1.091340
109	1.098220
110	1.105100
111	1.111550
112	1.118430
113	1.124880
114	1.131760
115	1.138210
116	1.144660
117	1.151540
118	1.157990
119	1.164870
120	1.171750
121	1.178200
122	1.185080
123	1.191530
124	1.198410
125	1.204860
126	1.211740
127	1.218190
128	1.225070
129	1.231950
130	1.238400
131	1.245280
132	1.251730
133	1.258180
134	1.265060
135	1.271940
136	1.278390
137	1.285270
138	1.292150
139	1.298600
140	1.305050
141	1.311930
142	1.318380
143	1.325260
144	1.331710
145	1.338590
146	1.345040
147	1.351920
148	1.358370
149	1.365250
150	1.372130
151	1.378580
152	1.385460
153	1.391910
154	1.398790
155	1.405240
156	1.412120
157	1.418570
158	1.425450
159	1.432330
160	1.438780
161	1.445660
162	1.452110
163	1.458990
164	1.465440
165	1.471890
166	1.478770
167	1.485220
168	1.492100
169	1.498550
170	1.505430
171	1.511880
172	1.518330
173	1.525210
174	1.531660
175	1.538110
176	1.544560
177	1.551440
178	1.557890
179	1.563910
180	1.570360
181	1.576810
182	1.582830
183	1.589280
184	1.595300
185	1.600890
186	1.607340
187	1.612930
188	1.618520
189	1.624110
190	1.629270
191	1.634860
192	1.639590
193	1.644750
194	1.649910
195	1.655070
196	1.659800
197	1.664100
198	1.668830
199	1.673130
200	1.677000
201	1.680870
202	1.684310
203	1.688180
204	1.691190
205	1.694630
206	1.697210
207	1.699790
208	1.702370
209	1.704950
210	1.706670
211	1.708390
212	1.710540
213	1.711830
214	1.712690
215	1.713550
216	1.713980
217	1.713980
218	1.714410
219	1.714840
220	1.714840
221	1.715270
222	1.715270
223	1.715270
224	1.715270
225	1.715270
226	1.715270
227	1.715270
228	1.715270
229	1.715270
230	1.715270
231	1.715270
232	1.715270
233	1.715270
234	1.715270
235	1.715270
236	1.715270
237	1.715270
238	1.715270
239	1.715270
240	1.715270
241	1.715270
242	1.715270
243	1.715270
244	1.715270
245	1.715270
246	1.715270
247	1.715270
248	1.715270
249	1.715270
250	1.715270
251	1.715270
252	1.715270
253	1.715270
254	1.715270
255	1.715270
