# value	voltage [V]
0	0.004300
1	0.011180
2	0.017630
3	0.024510
4	0.030960
5	0.037410
6	0.044290
7	0.051170
8	0.058050
9	0.064500
10	0.071380
11	0.077830
12	0.084710
13	0.091160
14	0.097610
15	0.104490
16	0.111370
17	0.118250
18	0.124700
19	0.131150
20	0.138030
21	0.144480
22	0.151360
23	0.157810
24	0.164690
25	0.171140
26	0.178020
27	0.184470
28	0.191350
29	0.197800
30	0.204250
31	0.210700
32	0.217580
33	0.224460
34	0.231340
35	0.237790
36	0.244240
37	0.251120
38	0.257570
39	0.264020
40	0.270470
41	0.277780
42	0.284230
43	0.291110
44	0.297560
45	0.304010
46	0.310890
47	0.317340
48	0.323790
49	0.330670
50	0.337550
51	0.344000
52	0.350450
53	0.357330
54	0.363780
55	0.370660
56	0.377110
57	0.383560
58	0.390440
59	0.396890
60	0.403770
61	0.410220
62	0.417100
63	0.423550
64	0.430000
65	0.436880
66	0.443760
67	0.450210
68	0.456660
69	0.463110
70	0.469990
71	0.476440
72	0.483320
73	0.489770
74	0.496650
75	0.503100
76	0.509550
77	0.516000
78	0.522880
79	0.529330
80	0.536210
81	0.542660
82	0.549110
83	0.555990
84	0.562870
85	0.569320
86	0.575340
87	0.582220
88	0.589100
89	0.595550
90	0.602000
91	0.608450
92	0.615760
93	0.621780
94	0.628230
95	0.635110
96	0.641990
97	0.647580
98	0.654460
99	0.661770
100	0.667790
101	0.674670
102	0.680690
103	0.688000
104	0.694020
105	0.700470
106	0.707350
107	0.713370
108	0.720250
109	0.727130
110	0.733580
111	0.739600
112	0.746480
113	0.752500
114	0.758950
115	0.765830
116	0.772710
117	0.779160
118	0.785610
119	0.792060
120	0.798510
121	0.805390
122	0.811410
123	0.818290
124	0.824310
125	0.830330
126	0.837640
127	0.843660
128	0.850110
129	0.856130
130	0.863440
131	0.869030
132	0.875480
133	0.882360
134	0.887520
135	0.894830
136	0.900420
137	0.905580
138	0.912890
139	0.919340
140	0.925360
141	0.932670
142	0.936540
143	0.944710
144	0.950730
145	0.958470
146	0.963200
147	0.968360
148	0.975670
149	0.982550
150	0.988140
151	0.994160
152	0.999750
153	1.006630
154	1.011360
155	1.019530
156	1.025980
157	1.031140
158	1.037590
159	1.044470
160	1.051780
161	1.058230
162	1.063820
163	1.071130
164	1.077150
165	1.084890
166	1.090480
167	1.097360
168	1.104670
169	1.111550
170	1.118000
171	1.124880
172	1.131760
173	1.137780
174	1.145950
175	1.151540
176	1.158420
177	1.165730
178	1.172180
179	1.180350
180	1.186370
181	1.192820
182	1.200130
183	1.206580
184	1.213890
185	1.221200
186	1.227650
187	1.234100
188	1.241410
189	1.248290
190	1.255170
191	1.262050
192	1.268930
193	1.275810
194	1.281830
195	1.289570
196	1.296880
197	1.303330
198	1.309780
199	1.316230
200	1.323970
201	1.329990
202	1.337300
203	1.345040
204	1.351060
205	1.357940
206	1.364390
207	1.371270
208	1.378580
209	1.385890
210	1.392340
211	1.399650
212	1.406960
213	1.413410
214	1.419430
215	1.426310
216	1.433620
217	1.440500
218	1.447810
219	1.454260
220	1.461570
221	1.467590
222	1.474900
223	1.481780
224	1.489090
225	1.495540
226	1.502850
227	1.509730
228	1.516610
229	1.522630
230	1.530800
231	1.536820
232	1.544130
233	1.551440
234	1.557890
235	1.564770
236	1.571650
237	1.578530
238	1.585840
239	1.591430
240	1.599170
241	1.606050
242	1.612930
243	1.619810
244	1.626690
245	1.633140
246	1.640450
247	1.647330
248	1.654210
249	1.661090
250	1.667970
251	1.674850
252	1.682160
253	1.688610
254	1.695920
255	1.703660
