#time	analog (mA)	digital (mA)	status
2022-01-27 14:49:20.620866	14.42	66.55	1
2022-01-27 14:49:20.721945	14.26	66.47	1
2022-01-27 14:49:20.822878	14.10	65.90	1
2022-01-27 14:49:20.923805	13.54	65.66	1
2022-01-27 14:49:21.024720	14.34	64.94	1
2022-01-27 14:49:21.125622	14.26	66.31	1
2022-01-27 14:49:21.226612	14.58	66.06	1
2022-01-27 14:49:21.327529	14.10	65.66	1
2022-01-27 14:49:21.428453	14.26	66.63	1
2022-01-27 14:49:21.529377	14.26	65.50	1
2022-01-27 14:49:21.630279	13.70	65.82	1
2022-01-27 14:49:21.731277	13.45	65.42	1
2022-01-27 14:49:21.832187	14.34	66.06	1
2022-01-27 14:49:21.933117	13.94	65.50	1
2022-01-27 14:49:22.034020	14.26	65.58	1
2022-01-27 14:49:22.134948	14.50	66.15	1
2022-01-27 14:49:22.235986	14.18	65.90	1
2022-01-27 14:49:22.336902	14.10	65.58	1
2022-01-27 14:49:22.437811	14.34	65.42	1
2022-01-27 14:49:22.538751	13.86	65.82	1
2022-01-27 14:49:22.639658	13.54	65.98	1
2022-01-27 14:49:22.740659	14.42	66.15	1
2022-01-27 14:49:22.841571	14.26	65.50	1
2022-01-27 14:49:22.942479	13.78	64.78	1
2022-01-27 14:49:23.043394	14.50	65.82	1
2022-01-27 14:49:23.144329	14.34	66.31	1
2022-01-27 14:49:23.245303	14.02	65.26	1
2022-01-27 14:49:23.346228	14.18	65.90	1
2022-01-27 14:49:23.447147	14.26	65.50	1
2022-01-27 14:49:23.548068	14.10	65.66	1
2022-01-27 14:49:23.648973	13.86	65.90	1
2022-01-27 14:49:23.749951	13.86	66.39	1
2022-01-27 14:49:23.850861	14.42	65.90	1
2022-01-27 14:49:23.951782	14.99	66.55	1
2022-01-27 14:49:24.052694	14.18	66.06	1
2022-01-27 14:49:24.153595	14.02	65.98	1
2022-01-27 14:49:24.254596	14.18	66.06	1
2022-01-27 14:49:24.355502	14.18	65.98	1
2022-01-27 14:49:24.456431	14.26	66.15	1
2022-01-27 14:49:24.557339	14.26	65.74	1
2022-01-27 14:49:24.658237	14.10	66.15	1
2022-01-27 14:49:24.759215	14.42	66.15	1
2022-01-27 14:49:24.860170	14.26	66.06	1
2022-01-27 14:49:24.961076	14.82	65.74	1
2022-01-27 14:49:25.061986	14.18	65.42	1
2022-01-27 14:49:25.162971	14.10	66.31	1
2022-01-27 14:49:25.265073	14.82	66.23	1
2022-01-27 14:49:25.367093	14.50	65.66	1
2022-01-27 14:49:25.469179	14.02	65.26	1
2022-01-27 14:49:25.571242	14.26	65.26	1
