# value	current [nA]
0	0.005250
1	0.018750
2	0.033000
3	0.044250
4	0.058500
5	0.070500
6	0.084750
7	0.098250
8	0.113250
9	0.123000
10	0.135750
11	0.151500
12	0.162750
13	0.175500
14	0.190500
15	0.206250
16	0.214500
17	0.227250
18	0.243000
19	0.255000
20	0.267000
21	0.276750
22	0.295500
23	0.309750
24	0.318750
25	0.333750
26	0.346500
27	0.357750
28	0.371250
29	0.387000
30	0.402000
31	0.414000
32	0.426750
33	0.437250
34	0.453000
35	0.462000
36	0.474750
37	0.493500
38	0.503250
39	0.516000
40	0.531750
41	0.545250
42	0.552750
43	0.570000
44	0.581250
45	0.594000
46	0.609000
47	0.621000
48	0.633000
49	0.643500
50	0.661500
51	0.669000
52	0.684000
53	0.699000
54	0.714000
55	0.726000
56	0.737250
57	0.750000
58	0.763500
59	0.774750
60	0.789000
61	0.802500
62	0.813000
63	0.825000
64	0.839250
65	0.855000
66	0.867750
67	0.879000
68	0.891000
69	0.906750
70	0.915750
71	0.928500
72	0.942750
73	0.954000
74	0.967500
75	0.981000
76	0.992250
77	1.008000
78	1.020750
79	1.030500
80	1.046250
81	1.057500
82	1.071750
83	1.083750
84	1.095750
85	1.107750
86	1.119750
87	1.131750
88	1.147500
89	1.157250
90	1.173750
91	1.182750
92	1.194750
93	1.211250
94	1.222500
95	1.235250
96	1.248750
97	1.262250
98	1.274250
99	1.287000
100	1.299750
101	1.313250
102	1.328250
103	1.337250
104	1.352250
105	1.363500
106	1.376250
107	1.388250
108	1.404000
109	1.416000
110	1.425000
111	1.439250
112	1.452000
113	1.466250
114	1.476750
115	1.493250
116	1.503750
117	1.514250
118	1.529250
119	1.539750
120	1.553250
121	1.568250
122	1.584000
123	1.592250
124	1.606500
125	1.620750
126	1.632750
127	1.644750
128	1.656000
129	1.671000
130	1.682250
131	1.695750
132	1.707000
133	1.720500
134	1.734750
135	1.745250
136	1.758750
137	1.771500
138	1.787250
139	1.795500
140	1.809000
141	1.820250
142	1.835250
143	1.846500
144	1.857000
145	1.871250
146	1.884750
147	1.899000
148	1.908750
149	1.923750
150	1.937250
151	1.950000
152	1.961250
153	1.976250
154	1.988250
155	2.002500
156	2.010750
157	2.025750
158	2.036250
159	2.051250
160	2.064750
161	2.079000
162	2.090250
163	2.103750
164	2.116500
165	2.129250
166	2.139750
167	2.156250
168	2.166000
169	2.177250
170	2.189250
171	2.203500
172	2.217000
173	2.230500
174	2.241750
175	2.253000
176	2.266500
177	2.280000
178	2.292000
179	2.306250
180	2.318250
181	2.328750
182	2.347500
183	2.355750
184	2.367750
185	2.382750
186	2.397000
187	2.406750
188	2.420250
189	2.431500
190	2.442750
191	2.454750
192	2.466750
193	2.481000
194	2.499000
195	2.508750
196	2.518500
197	2.534250
198	2.547750
199	2.554500
200	2.567250
201	2.579250
202	2.590500
203	2.605500
204	2.617500
205	2.631000
206	2.640000
207	2.651250
208	2.667000
209	2.679750
210	2.690250
211	2.703000
212	2.712750
213	2.725500
214	2.737500
215	2.748750
216	2.760000
217	2.772000
218	2.789250
219	2.800500
220	2.811000
221	2.823750
222	2.834250
223	2.849250
224	2.860500
225	2.871750
226	2.883750
227	2.897250
228	2.912250
229	2.924250
230	2.936250
231	2.946750
232	2.961000
233	2.973000
234	2.985000
235	2.997750
236	3.010500
237	3.023250
238	3.033000
239	3.035250
240	3.035250
241	3.035250
242	3.035250
243	3.036000
244	3.036000
245	3.036000
246	3.036000
247	3.036000
248	3.036000
249	3.036000
250	3.036750
251	3.036750
252	3.036750
253	3.036000
254	3.036750
255	3.036750
