# value	current [nA]
0	0.005250
1	0.006000
2	0.032250
3	0.045000
4	0.060750
5	0.075000
6	0.086250
7	0.102000
8	0.117000
9	0.129750
10	0.140250
11	0.157500
12	0.170250
13	0.187500
14	0.198000
15	0.213750
16	0.228750
17	0.241500
18	0.255000
19	0.268500
20	0.282750
21	0.297000
22	0.310500
23	0.324000
24	0.337500
25	0.354000
26	0.366750
27	0.376500
28	0.393750
29	0.409500
30	0.421500
31	0.435750
32	0.446250
33	0.461250
34	0.477750
35	0.485250
36	0.502500
37	0.515250
38	0.529500
39	0.543750
40	0.555750
41	0.570750
42	0.585000
43	0.597750
44	0.612000
45	0.621750
46	0.636750
47	0.650250
48	0.662250
49	0.681000
50	0.695250
51	0.704250
52	0.717000
53	0.732750
54	0.742500
55	0.756750
56	0.768000
57	0.785250
58	0.801000
59	0.811500
60	0.829500
61	0.840750
62	0.850500
63	0.869250
64	0.877500
65	0.897000
66	0.904500
67	0.919500
68	0.930750
69	0.947250
70	0.962250
71	0.974250
72	0.989250
73	1.002750
74	1.018500
75	1.027500
76	1.038750
77	1.056750
78	1.068000
79	1.080750
80	1.093500
81	1.112250
82	1.122750
83	1.132500
84	1.146750
85	1.164750
86	1.178250
87	1.189500
88	1.204500
89	1.214250
90	1.227000
91	1.241250
92	1.253250
93	1.269000
94	1.281750
95	1.296750
96	1.305000
97	1.320750
98	1.331250
99	1.345500
100	1.359750
101	1.378500
102	1.388250
103	1.402500
104	1.411500
105	1.429500
106	1.443000
107	1.452000
108	1.465500
109	1.480500
110	1.497000
111	1.507500
112	1.518000
113	1.537500
114	1.547250
115	1.560750
116	1.569750
117	1.587000
118	1.601250
119	1.611000
120	1.626750
121	1.641000
122	1.652250
123	1.661250
124	1.678500
125	1.691250
126	1.707000
127	1.718250
128	1.730250
129	1.743750
130	1.761000
131	1.768500
132	1.783500
133	1.795500
134	1.807500
135	1.821750
136	1.834500
137	1.848750
138	1.861500
139	1.872750
140	1.886250
141	1.901250
142	1.918500
143	1.926000
144	1.941000
145	1.952250
146	1.965000
147	1.985250
148	1.996500
149	2.008500
150	2.019750
151	2.037000
152	2.046750
153	2.059500
154	2.073000
155	2.087250
156	2.102250
157	2.111250
158	2.124750
159	2.137500
160	2.151000
161	2.163750
162	2.178000
163	2.190750
164	2.202750
165	2.217750
166	2.231250
167	2.245500
168	2.255250
169	2.271000
170	2.282250
171	2.298750
172	2.315250
173	2.322750
174	2.336250
175	2.349750
176	2.363250
177	2.377500
178	2.389500
179	2.403000
180	2.415750
181	2.429250
182	2.443500
183	2.457000
184	2.465250
185	2.478750
186	2.495250
187	2.502750
188	2.519250
189	2.533500
190	2.543250
191	2.557500
192	2.571000
193	2.587500
194	2.600250
195	2.610750
196	2.623500
197	2.637000
198	2.646750
199	2.661750
200	2.671500
201	2.690250
202	2.699250
203	2.711250
204	2.720250
205	2.734500
206	2.747250
207	2.760750
208	2.772000
209	2.784750
210	2.797500
211	2.807250
212	2.818500
213	2.835750
214	2.844000
215	2.860500
216	2.871000
217	2.884500
218	2.897250
219	2.909250
220	2.923500
221	2.937000
222	2.949750
223	2.964000
224	2.975250
225	2.988750
226	3.001500
227	3.014250
228	3.026250
229	3.033750
230	3.034500
231	3.035250
232	3.035250
233	3.035250
234	3.035250
235	3.036000
236	3.036000
237	3.036000
238	3.036000
239	3.036000
240	3.036000
241	3.036000
242	3.036000
243	3.036750
244	3.036750
245	3.036750
246	3.036750
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
