# value	current [nA]
0	0.008250
1	0.012750
2	0.032250
3	0.044250
4	0.060000
5	0.074250
6	0.090000
7	0.107250
8	0.117000
9	0.132000
10	0.144750
11	0.155250
12	0.174750
13	0.188250
14	0.203250
15	0.216750
16	0.233250
17	0.244500
18	0.256500
19	0.270000
20	0.284250
21	0.302250
22	0.312750
23	0.329250
24	0.343500
25	0.357750
26	0.369000
27	0.384000
28	0.396000
29	0.413250
30	0.423750
31	0.438750
32	0.453000
33	0.464250
34	0.480750
35	0.495000
36	0.508500
37	0.522000
38	0.535500
39	0.546750
40	0.562500
41	0.576750
42	0.592500
43	0.605250
44	0.615750
45	0.636000
46	0.645000
47	0.658500
48	0.675000
49	0.683250
50	0.701250
51	0.714750
52	0.729000
53	0.741000
54	0.756750
55	0.771000
56	0.780000
57	0.792750
58	0.812250
59	0.822000
60	0.838500
61	0.851250
62	0.861750
63	0.877500
64	0.889500
65	0.906000
66	0.918750
67	0.930000
68	0.944250
69	0.959250
70	0.975000
71	0.986250
72	1.000500
73	1.011750
74	1.028250
75	1.038750
76	1.050750
77	1.065750
78	1.080750
79	1.095000
80	1.109250
81	1.119000
82	1.134000
83	1.143000
84	1.162500
85	1.174500
86	1.190250
87	1.198500
88	1.215000
89	1.225500
90	1.237500
91	1.256250
92	1.263750
93	1.281000
94	1.292250
95	1.306500
96	1.322250
97	1.333500
98	1.347000
99	1.362000
100	1.373250
101	1.386750
102	1.400250
103	1.416000
104	1.430250
105	1.441500
106	1.453500
107	1.469250
108	1.481250
109	1.497750
110	1.509750
111	1.522500
112	1.533000
113	1.548750
114	1.563000
115	1.573500
116	1.589250
117	1.602000
118	1.615500
119	1.627500
120	1.641750
121	1.654500
122	1.668000
123	1.682250
124	1.697250
125	1.707750
126	1.722750
127	1.737750
128	1.747500
129	1.761750
130	1.774500
131	1.785750
132	1.803750
133	1.813500
134	1.830750
135	1.838250
136	1.852500
137	1.865250
138	1.878000
139	1.893750
140	1.904250
141	1.923000
142	1.931250
143	1.943250
144	1.959750
145	1.974000
146	1.989000
147	1.998000
148	2.013000
149	2.024250
150	2.040750
151	2.055000
152	2.065500
153	2.075250
154	2.092500
155	2.107500
156	2.122500
157	2.132250
158	2.142750
159	2.157750
160	2.171250
161	2.186250
162	2.199750
163	2.213250
164	2.223000
165	2.239500
166	2.252250
167	2.266500
168	2.277750
169	2.292000
170	2.305500
171	2.319000
172	2.333250
173	2.343000
174	2.355750
175	2.372250
176	2.386500
177	2.396250
178	2.411250
179	2.423250
180	2.438250
181	2.451750
182	2.466000
183	2.479500
184	2.495250
185	2.503500
186	2.516250
187	2.529750
188	2.546250
189	2.556000
190	2.568000
191	2.581500
192	2.595750
193	2.609250
194	2.622750
195	2.637000
196	2.649750
197	2.663250
198	2.671500
199	2.686500
200	2.697750
201	2.715000
202	2.724750
203	2.739000
204	2.750250
205	2.763000
206	2.773500
207	2.788500
208	2.795250
209	2.810250
210	2.825250
211	2.838750
212	2.848500
213	2.861250
214	2.874750
215	2.889000
216	2.900250
217	2.915250
218	2.926500
219	2.940000
220	2.952750
221	2.965500
222	2.978250
223	2.993250
224	3.006000
225	3.018750
226	3.030000
227	3.034500
228	3.035250
229	3.035250
230	3.035250
231	3.036000
232	3.036000
233	3.036000
234	3.036000
235	3.036000
236	3.036000
237	3.036000
238	3.036000
239	3.036000
240	3.036750
241	3.036000
242	3.036750
243	3.036750
244	3.036750
245	3.036750
246	3.036750
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
