# value	current [nA]
0	0.009000
1	0.010500
2	0.033000
3	0.046500
4	0.058500
5	0.073500
6	0.084750
7	0.102750
8	0.114000
9	0.129000
10	0.144750
11	0.155250
12	0.168000
13	0.183750
14	0.198750
15	0.211500
16	0.225750
17	0.237000
18	0.255000
19	0.268500
20	0.282000
21	0.293250
22	0.306750
23	0.321000
24	0.337500
25	0.347250
26	0.363000
27	0.375000
28	0.387000
29	0.405750
30	0.420000
31	0.429750
32	0.445500
33	0.459000
34	0.475500
35	0.486750
36	0.500250
37	0.512250
38	0.533250
39	0.538500
40	0.551250
41	0.568500
42	0.582750
43	0.597000
44	0.607500
45	0.626250
46	0.635250
47	0.645750
48	0.661500
49	0.681000
50	0.689250
51	0.704250
52	0.716250
53	0.732000
54	0.744750
55	0.758250
56	0.771750
57	0.786750
58	0.798000
59	0.807750
60	0.825750
61	0.838500
62	0.852000
63	0.866250
64	0.877500
65	0.893250
66	0.906000
67	0.919500
68	0.932250
69	0.947250
70	0.960750
71	0.973500
72	0.984750
73	1.000500
74	1.015500
75	1.029750
76	1.041000
77	1.050750
78	1.068000
79	1.083000
80	1.092000
81	1.107750
82	1.125000
83	1.136250
84	1.148250
85	1.163250
86	1.176000
87	1.188750
88	1.203750
89	1.213500
90	1.229250
91	1.245000
92	1.253250
93	1.271250
94	1.284750
95	1.294500
96	1.307250
97	1.323000
98	1.338750
99	1.350000
100	1.365750
101	1.376250
102	1.389750
103	1.402500
104	1.416000
105	1.429500
106	1.446750
107	1.458000
108	1.472250
109	1.482000
110	1.499250
111	1.510500
112	1.517250
113	1.534500
114	1.548000
115	1.563000
116	1.578000
117	1.590000
118	1.603500
119	1.613250
120	1.628250
121	1.642500
122	1.657500
123	1.670250
124	1.685250
125	1.695000
126	1.704750
127	1.722750
128	1.737000
129	1.747500
130	1.762500
131	1.776000
132	1.788000
133	1.799250
134	1.812000
135	1.830750
136	1.844250
137	1.857000
138	1.872750
139	1.881750
140	1.892250
141	1.907250
142	1.922250
143	1.937250
144	1.947000
145	1.963500
146	1.975500
147	1.989000
148	1.999500
149	2.015250
150	2.027250
151	2.038500
152	2.055750
153	2.068500
154	2.081250
155	2.092500
156	2.103000
157	2.120250
158	2.136000
159	2.149500
160	2.159250
161	2.170500
162	2.189250
163	2.199000
164	2.214750
165	2.229750
166	2.241000
167	2.252250
168	2.265000
169	2.281500
170	2.292750
171	2.305500
172	2.319750
173	2.332500
174	2.344500
175	2.359500
176	2.373000
177	2.385000
178	2.399250
179	2.413500
180	2.421750
181	2.436000
182	2.448000
183	2.462250
184	2.476500
185	2.491500
186	2.504250
187	2.517750
188	2.531250
189	2.544000
190	2.555250
191	2.571000
192	2.580000
193	2.595750
194	2.607750
195	2.623500
196	2.634750
197	2.649750
198	2.661750
199	2.676750
200	2.685750
201	2.700000
202	2.710500
203	2.727750
204	2.737500
205	2.746500
206	2.762250
207	2.776500
208	2.786250
209	2.796000
210	2.811000
211	2.823750
212	2.835000
213	2.849250
214	2.859750
215	2.872500
216	2.888250
217	2.901000
218	2.910000
219	2.928000
220	2.940000
221	2.952750
222	2.965500
223	2.979750
224	2.990250
225	3.003750
226	3.015750
227	3.027750
228	3.034500
229	3.035250
230	3.035250
231	3.035250
232	3.036000
233	3.036000
234	3.036000
235	3.036000
236	3.036000
237	3.036000
238	3.036000
239	3.036750
240	3.036750
241	3.036750
242	3.036750
243	3.036750
244	3.036750
245	3.036750
246	3.036750
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
