# value	current [nA]
0	0.008250
1	0.009750
2	0.033000
3	0.046500
4	0.060750
5	0.074250
6	0.091500
7	0.103500
8	0.118500
9	0.130500
10	0.144750
11	0.153000
12	0.174000
13	0.186750
14	0.200250
15	0.219750
16	0.231000
17	0.243750
18	0.255750
19	0.273750
20	0.284250
21	0.300000
22	0.313500
23	0.328500
24	0.339750
25	0.354750
26	0.369750
27	0.385500
28	0.398250
29	0.410250
30	0.424500
31	0.440250
32	0.453000
33	0.469500
34	0.481500
35	0.492750
36	0.510000
37	0.522750
38	0.534000
39	0.549000
40	0.561000
41	0.577500
42	0.587250
43	0.606000
44	0.618750
45	0.630750
46	0.642000
47	0.657000
48	0.667500
49	0.685500
50	0.699750
51	0.712500
52	0.726750
53	0.741000
54	0.751500
55	0.766500
56	0.782250
57	0.789750
58	0.808500
59	0.822750
60	0.834750
61	0.851250
62	0.861750
63	0.873000
64	0.890250
65	0.903000
66	0.915000
67	0.930000
68	0.942000
69	0.956250
70	0.972750
71	0.983250
72	0.999750
73	1.007250
74	1.023000
75	1.037250
76	1.050000
77	1.065000
78	1.079250
79	1.092750
80	1.108500
81	1.119750
82	1.133250
83	1.146000
84	1.161000
85	1.174500
86	1.187250
87	1.200750
88	1.212750
89	1.226250
90	1.239750
91	1.251750
92	1.266000
93	1.278000
94	1.296000
95	1.305750
96	1.320000
97	1.338750
98	1.350750
99	1.361250
100	1.374000
101	1.386750
102	1.401000
103	1.414500
104	1.425000
105	1.439250
106	1.451250
107	1.467750
108	1.482750
109	1.494750
110	1.506750
111	1.518000
112	1.533000
113	1.548750
114	1.557000
115	1.576500
116	1.587000
117	1.601250
118	1.614000
119	1.628250
120	1.640250
121	1.653750
122	1.664250
123	1.680000
124	1.696500
125	1.706250
126	1.719000
127	1.737000
128	1.750500
129	1.761000
130	1.776000
131	1.786500
132	1.799250
133	1.812000
134	1.827000
135	1.842000
136	1.855500
137	1.863750
138	1.882500
139	1.890000
140	1.908000
141	1.920750
142	1.935000
143	1.943250
144	1.958250
145	1.976250
146	1.986000
147	2.000250
148	2.012250
149	2.027250
150	2.038500
151	2.053500
152	2.063250
153	2.082000
154	2.091750
155	2.103000
156	2.119500
157	2.131500
158	2.148000
159	2.157750
160	2.174250
161	2.182500
162	2.196750
163	2.212500
164	2.224500
165	2.235750
166	2.252250
167	2.265750
168	2.275500
169	2.289000
170	2.304750
171	2.320500
172	2.332500
173	2.345250
174	2.356500
175	2.371500
176	2.383500
177	2.400000
178	2.409000
179	2.423250
180	2.436750
181	2.448750
182	2.459250
183	2.475000
184	2.487000
185	2.499750
186	2.515500
187	2.529750
188	2.544000
189	2.555250
190	2.567250
191	2.578500
192	2.592750
193	2.609250
194	2.618250
195	2.634750
196	2.643750
197	2.657250
198	2.670000
199	2.685000
200	2.694000
201	2.712000
202	2.721750
203	2.736000
204	2.745750
205	2.760750
206	2.772000
207	2.784750
208	2.796750
209	2.811000
210	2.822250
211	2.837250
212	2.846250
213	2.860500
214	2.871000
215	2.883750
216	2.898000
217	2.910000
218	2.922000
219	2.935500
220	2.948250
221	2.962500
222	2.973750
223	2.988000
224	3.000000
225	3.014250
226	3.025500
227	3.034500
228	3.034500
229	3.034500
230	3.035250
231	3.035250
232	3.036000
233	3.036000
234	3.036000
235	3.036000
236	3.036000
237	3.036000
238	3.036000
239	3.036000
240	3.036000
241	3.036750
242	3.036000
243	3.036000
244	3.036750
245	3.036750
246	3.036750
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
