# value	voltage [V]
0	0.003440
1	0.010320
2	0.016770
3	0.023650
4	0.030100
5	0.036550
6	0.043430
7	0.049880
8	0.056760
9	0.063210
10	0.070090
11	0.076970
12	0.083420
13	0.089440
14	0.096750
15	0.103200
16	0.110080
17	0.116960
18	0.123410
19	0.129860
20	0.136740
21	0.143190
22	0.149640
23	0.156520
24	0.162970
25	0.170280
26	0.176300
27	0.183180
28	0.190060
29	0.196080
30	0.202960
31	0.209410
32	0.216290
33	0.223170
34	0.229620
35	0.236500
36	0.242950
37	0.249400
38	0.256280
39	0.262730
40	0.269180
41	0.276060
42	0.282510
43	0.288960
44	0.295840
45	0.302290
46	0.308740
47	0.315190
48	0.322070
49	0.328520
50	0.335400
51	0.341850
52	0.348730
53	0.355180
54	0.361630
55	0.368080
56	0.374960
57	0.381410
58	0.387860
59	0.394740
60	0.401190
61	0.407640
62	0.414090
63	0.420970
64	0.427420
65	0.433870
66	0.440750
67	0.447200
68	0.453650
69	0.460100
70	0.466980
71	0.473430
72	0.479880
73	0.486760
74	0.492780
75	0.499660
76	0.506110
77	0.512990
78	0.519440
79	0.526320
80	0.532770
81	0.539220
82	0.545670
83	0.552550
84	0.559000
85	0.565450
86	0.571900
87	0.578780
88	0.585230
89	0.591680
90	0.598130
91	0.604580
92	0.611460
93	0.617910
94	0.624360
95	0.630810
96	0.637690
97	0.644140
98	0.651020
99	0.657470
100	0.663920
101	0.670370
102	0.677250
103	0.683700
104	0.690150
105	0.696600
106	0.703480
107	0.709930
108	0.716380
109	0.722400
110	0.728850
111	0.735300
112	0.741750
113	0.748630
114	0.754650
115	0.762390
116	0.768410
117	0.774860
118	0.781310
119	0.787760
120	0.793780
121	0.800230
122	0.807540
123	0.813560
124	0.820010
125	0.825600
126	0.832480
127	0.838930
128	0.845380
129	0.850970
130	0.858280
131	0.864300
132	0.871180
133	0.878060
134	0.883650
135	0.889240
136	0.894830
137	0.903000
138	0.908590
139	0.915040
140	0.922350
141	0.927510
142	0.933100
143	0.939980
144	0.946860
145	0.952880
146	0.959330
147	0.966210
148	0.971800
149	0.976530
150	0.982550
151	0.989430
152	0.995880
153	1.001470
154	1.008780
155	1.014800
156	1.021680
157	1.027270
158	1.031140
159	1.041030
160	1.046190
161	1.053070
162	1.059090
163	1.064250
164	1.070700
165	1.078440
166	1.086610
167	1.091340
168	1.099080
169	1.105530
170	1.112410
171	1.118000
172	1.125740
173	1.131760
174	1.139070
175	1.146380
176	1.152400
177	1.158850
178	1.165300
179	1.173470
180	1.179490
181	1.186370
182	1.194540
183	1.201420
184	1.207870
185	1.215180
186	1.222060
187	1.227650
188	1.235820
189	1.241840
190	1.249580
191	1.256030
192	1.263340
193	1.269790
194	1.276240
195	1.283980
196	1.290000
197	1.297740
198	1.304620
199	1.310640
200	1.318380
201	1.324400
202	1.331710
203	1.339020
204	1.345040
205	1.352780
206	1.359660
207	1.366540
208	1.373850
209	1.379870
210	1.387180
211	1.393630
212	1.400940
213	1.407820
214	1.415130
215	1.421580
216	1.428460
217	1.435770
218	1.443080
219	1.449100
220	1.456840
221	1.463290
222	1.470170
223	1.476620
224	1.484790
225	1.491240
226	1.497690
227	1.505430
228	1.511880
229	1.519190
230	1.526070
231	1.532950
232	1.540260
233	1.547140
234	1.554020
235	1.560900
236	1.567780
237	1.574660
238	1.581540
239	1.588850
240	1.596160
241	1.602610
242	1.609490
243	1.615940
244	1.623250
245	1.630560
246	1.637010
247	1.644320
248	1.651630
249	1.658510
250	1.665390
251	1.672270
252	1.679580
253	1.686030
254	1.693340
255	1.700220
