# value	voltage [V]
0	0.003440
1	0.010320
2	0.016770
3	0.023220
4	0.030100
5	0.036550
6	0.043430
7	0.049880
8	0.056760
9	0.063210
10	0.070090
11	0.076540
12	0.083420
13	0.089870
14	0.096320
15	0.103200
16	0.110080
17	0.116960
18	0.123410
19	0.129860
20	0.136740
21	0.143190
22	0.150070
23	0.156520
24	0.163400
25	0.169850
26	0.176730
27	0.183180
28	0.189630
29	0.196510
30	0.202960
31	0.209840
32	0.216290
33	0.223170
34	0.229620
35	0.236070
36	0.242520
37	0.249400
38	0.256280
39	0.262730
40	0.269180
41	0.276060
42	0.282510
43	0.289390
44	0.295410
45	0.302720
46	0.308740
47	0.315620
48	0.322070
49	0.328520
50	0.335400
51	0.341850
52	0.348300
53	0.355180
54	0.362060
55	0.368080
56	0.374960
57	0.381410
58	0.388290
59	0.394310
60	0.401190
61	0.407640
62	0.414520
63	0.420540
64	0.427420
65	0.433870
66	0.440750
67	0.447200
68	0.453650
69	0.460530
70	0.466980
71	0.473430
72	0.480310
73	0.486760
74	0.493210
75	0.499660
76	0.506540
77	0.512990
78	0.519440
79	0.525890
80	0.532770
81	0.539220
82	0.545670
83	0.552550
84	0.559430
85	0.565450
86	0.571900
87	0.579210
88	0.585230
89	0.591680
90	0.598130
91	0.604580
92	0.611460
93	0.617910
94	0.624360
95	0.631240
96	0.637690
97	0.643710
98	0.650590
99	0.657470
100	0.663920
101	0.670800
102	0.676820
103	0.683700
104	0.689720
105	0.696600
106	0.703050
107	0.709500
108	0.716380
109	0.722830
110	0.729280
111	0.735730
112	0.741750
113	0.748200
114	0.755510
115	0.761530
116	0.767980
117	0.774000
118	0.781310
119	0.787330
120	0.794640
121	0.800230
122	0.807110
123	0.813990
124	0.819150
125	0.826460
126	0.832050
127	0.839360
128	0.845810
129	0.851400
130	0.858280
131	0.863870
132	0.870750
133	0.877200
134	0.884510
135	0.889670
136	0.896120
137	0.901710
138	0.908160
139	0.914180
140	0.921490
141	0.928370
142	0.933530
143	0.939550
144	0.946000
145	0.952450
146	0.959330
147	0.965350
148	0.970940
149	0.976960
150	0.982980
151	0.989430
152	0.996740
153	1.003620
154	1.009210
155	1.014370
156	1.020390
157	1.025980
158	1.034580
159	1.041030
160	1.047910
161	1.053500
162	1.059520
163	1.067690
164	1.070700
165	1.079300
166	1.083600
167	1.092630
168	1.098650
169	1.104670
170	1.111120
171	1.120150
172	1.125310
173	1.131760
174	1.139070
175	1.145520
176	1.152830
177	1.157990
178	1.166160
179	1.173040
180	1.179490
181	1.186800
182	1.194110
183	1.200560
184	1.208300
185	1.214750
186	1.222060
187	1.228510
188	1.235820
189	1.242700
190	1.250010
191	1.256460
192	1.262910
193	1.270220
194	1.277100
195	1.283550
196	1.290860
197	1.297740
198	1.304190
199	1.311500
200	1.317950
201	1.323970
202	1.332140
203	1.339020
204	1.345040
205	1.352780
206	1.359660
207	1.366110
208	1.372560
209	1.380300
210	1.386750
211	1.394060
212	1.401370
213	1.408250
214	1.415130
215	1.421580
216	1.428890
217	1.436200
218	1.443510
219	1.449960
220	1.456410
221	1.464150
222	1.470170
223	1.477910
224	1.484360
225	1.491670
226	1.498550
227	1.505000
228	1.512740
229	1.519620
230	1.526070
231	1.533380
232	1.539830
233	1.546710
234	1.554450
235	1.560900
236	1.567780
237	1.575520
238	1.581970
239	1.589280
240	1.596160
241	1.602610
242	1.609490
243	1.616800
244	1.623250
245	1.630560
246	1.637440
247	1.644320
248	1.651630
249	1.658940
250	1.665390
251	1.672270
252	1.680010
253	1.686460
254	1.692910
255	1.700650
