# value	voltage [V]
0	0.003870
1	0.010750
2	0.017200
3	0.023650
4	0.030960
5	0.036980
6	0.043860
7	0.050310
8	0.056760
9	0.063640
10	0.070090
11	0.076970
12	0.083420
13	0.090300
14	0.096750
15	0.103630
16	0.110510
17	0.117390
18	0.123410
19	0.130290
20	0.136740
21	0.143620
22	0.150070
23	0.156950
24	0.163400
25	0.169850
26	0.177160
27	0.183180
28	0.190060
29	0.196510
30	0.203390
31	0.209840
32	0.216720
33	0.223170
34	0.229620
35	0.236070
36	0.242950
37	0.249400
38	0.256280
39	0.262730
40	0.269180
41	0.276060
42	0.282510
43	0.288960
44	0.295840
45	0.302290
46	0.308740
47	0.315190
48	0.322500
49	0.328520
50	0.335400
51	0.341850
52	0.348300
53	0.355180
54	0.361630
55	0.368080
56	0.374960
57	0.381410
58	0.387860
59	0.394740
60	0.401190
61	0.407640
62	0.414090
63	0.420970
64	0.427420
65	0.433870
66	0.440750
67	0.447200
68	0.453650
69	0.460530
70	0.466980
71	0.473430
72	0.479880
73	0.486760
74	0.493210
75	0.499660
76	0.506110
77	0.512990
78	0.519440
79	0.525890
80	0.532340
81	0.539220
82	0.545670
83	0.552550
84	0.559000
85	0.565450
86	0.571900
87	0.578780
88	0.585230
89	0.591680
90	0.598130
91	0.604580
92	0.611890
93	0.617910
94	0.623930
95	0.631240
96	0.637260
97	0.644140
98	0.651020
99	0.657040
100	0.663490
101	0.670370
102	0.677250
103	0.683700
104	0.689720
105	0.696600
106	0.703050
107	0.709500
108	0.715520
109	0.722400
110	0.729280
111	0.735730
112	0.742180
113	0.748200
114	0.755080
115	0.761960
116	0.767980
117	0.774430
118	0.780880
119	0.787330
120	0.793350
121	0.799800
122	0.807110
123	0.813130
124	0.819580
125	0.825170
126	0.832910
127	0.838930
128	0.844950
129	0.851400
130	0.857420
131	0.864300
132	0.870320
133	0.877630
134	0.884510
135	0.890100
136	0.896120
137	0.900420
138	0.907730
139	0.914610
140	0.921060
141	0.928370
142	0.933100
143	0.940410
144	0.946860
145	0.952020
146	0.958470
147	0.963200
148	0.971370
149	0.976100
150	0.983410
151	0.988570
152	0.996740
153	1.002330
154	1.008780
155	1.014370
156	1.019100
157	1.026410
158	1.032430
159	1.039740
160	1.045330
161	1.052640
162	1.058660
163	1.064250
164	1.072850
165	1.077580
166	1.084890
167	1.091770
168	1.098650
169	1.105960
170	1.111980
171	1.119290
172	1.126170
173	1.131760
174	1.139500
175	1.145950
176	1.153260
177	1.159280
178	1.165300
179	1.173900
180	1.179490
181	1.186800
182	1.194540
183	1.200990
184	1.207440
185	1.215610
186	1.221630
187	1.228080
188	1.235820
189	1.241840
190	1.248720
191	1.256460
192	1.263340
193	1.269790
194	1.277100
195	1.283980
196	1.290860
197	1.297740
198	1.304620
199	1.311500
200	1.317950
201	1.324830
202	1.331710
203	1.339020
204	1.345470
205	1.351920
206	1.359660
207	1.366540
208	1.373420
209	1.380730
210	1.387180
211	1.394490
212	1.401370
213	1.407820
214	1.415560
215	1.421580
216	1.429320
217	1.435770
218	1.443940
219	1.449960
220	1.456840
221	1.464150
222	1.470170
223	1.477050
224	1.485650
225	1.492100
226	1.498120
227	1.505000
228	1.511880
229	1.519620
230	1.526500
231	1.533380
232	1.540260
233	1.547140
234	1.554450
235	1.560900
236	1.567780
237	1.575090
238	1.581970
239	1.589280
240	1.596160
241	1.603470
242	1.609920
243	1.617230
244	1.624110
245	1.630560
246	1.637440
247	1.644320
248	1.651630
249	1.658940
250	1.665390
251	1.672700
252	1.679580
253	1.686460
254	1.693770
255	1.700220
