# value	voltage [V]
0	0.381840
1	0.387430
2	0.392590
3	0.398180
4	0.403770
5	0.409360
6	0.414950
7	0.420110
8	0.425270
9	0.430860
10	0.436450
11	0.442040
12	0.447200
13	0.452790
14	0.458380
15	0.463540
16	0.469130
17	0.474290
18	0.479450
19	0.485040
20	0.490200
21	0.495360
22	0.500950
23	0.506110
24	0.511270
25	0.516430
26	0.521590
27	0.526750
28	0.531910
29	0.537070
30	0.541800
31	0.546960
32	0.552550
33	0.557710
34	0.562440
35	0.567600
36	0.572330
37	0.577490
38	0.582220
39	0.586950
40	0.592110
41	0.596840
42	0.601570
43	0.607160
44	0.611460
45	0.616190
46	0.620920
47	0.625650
48	0.630380
49	0.634680
50	0.639410
51	0.644140
52	0.648870
53	0.653600
54	0.657900
55	0.662200
56	0.666930
57	0.671230
58	0.675960
59	0.679830
60	0.683700
61	0.688430
62	0.692730
63	0.697030
64	0.701330
65	0.706060
66	0.709500
67	0.713800
68	0.718100
69	0.721970
70	0.725840
71	0.729710
72	0.733580
73	0.737880
74	0.741320
75	0.745190
76	0.748630
77	0.752070
78	0.756370
79	0.759380
80	0.762820
81	0.766260
82	0.769700
83	0.773140
84	0.776150
85	0.779590
86	0.782170
87	0.784320
88	0.787760
89	0.790770
90	0.793350
91	0.795500
92	0.798080
93	0.800660
94	0.802380
95	0.804960
96	0.806680
97	0.808400
98	0.809690
99	0.811410
100	0.812700
101	0.813990
102	0.815280
103	0.816140
104	0.817000
105	0.817860
106	0.818290
107	0.818720
108	0.819580
109	0.819580
110	0.820870
111	0.820440
112	0.820870
113	0.820870
114	0.821300
115	0.821300
116	0.821300
117	0.821300
118	0.821730
119	0.821300
120	0.821730
121	0.821730
122	0.821730
123	0.821730
124	0.821730
125	0.821730
126	0.821730
127	0.821730
128	0.821730
129	0.821730
130	0.821730
131	0.822160
132	0.821730
133	0.822160
134	0.822160
135	0.821730
136	0.821730
137	0.821730
138	0.821730
139	0.821730
140	0.821730
141	0.821730
142	0.821730
143	0.822160
144	0.821730
145	0.821730
146	0.821730
147	0.821730
148	0.822160
149	0.821730
150	0.821730
151	0.822160
152	0.821730
153	0.821730
154	0.822160
155	0.821730
156	0.822160
157	0.821730
158	0.821730
159	0.821730
160	0.821730
161	0.821730
162	0.821300
163	0.821730
164	0.821730
165	0.821730
166	0.821730
167	0.821730
168	0.821730
169	0.821730
170	0.821730
171	0.821730
172	0.821730
173	0.822160
174	0.822160
175	0.821730
176	0.821730
177	0.821730
178	0.821730
179	0.821730
180	0.821730
181	0.821730
182	0.821730
183	0.821730
184	0.821730
185	0.821730
186	0.821730
187	0.821730
188	0.822160
189	0.821730
190	0.821730
191	0.822160
192	0.821730
193	0.821730
194	0.821730
195	0.822160
196	0.821730
197	0.821730
198	0.821730
199	0.821730
200	0.821730
201	0.821730
202	0.821300
203	0.821730
204	0.821730
205	0.821730
206	0.821730
207	0.821730
208	0.821730
209	0.821730
210	0.821730
211	0.821730
212	0.821730
213	0.821730
214	0.821730
215	0.821730
216	0.821730
217	0.821730
218	0.822160
219	0.821730
220	0.821730
221	0.821730
222	0.821730
223	0.821730
224	0.821730
225	0.821730
226	0.821730
227	0.821730
228	0.821730
229	0.821730
230	0.821730
231	0.822160
232	0.821730
233	0.821730
234	0.821730
235	0.822160
236	0.822160
237	0.821730
238	0.822160
239	0.821730
240	0.822160
241	0.822160
242	0.821730
243	0.821730
244	0.822160
245	0.822160
246	0.822160
247	0.822160
248	0.821730
249	0.822160
250	0.821730
251	0.821730
252	0.821730
253	0.821730
254	0.820870
255	0.822160
