# value	voltage [V]
0	0.003870
1	0.010320
2	0.016770
3	0.023650
4	0.030530
5	0.036980
6	0.043430
7	0.049880
8	0.056760
9	0.063640
10	0.070090
11	0.076970
12	0.083420
13	0.090300
14	0.096750
15	0.103200
16	0.110080
17	0.116960
18	0.123410
19	0.130290
20	0.136740
21	0.143190
22	0.150070
23	0.156520
24	0.162970
25	0.170280
26	0.176300
27	0.183180
28	0.189630
29	0.196510
30	0.203390
31	0.209840
32	0.216290
33	0.223170
34	0.229620
35	0.236500
36	0.243380
37	0.249400
38	0.256280
39	0.262730
40	0.269180
41	0.276060
42	0.282510
43	0.288960
44	0.295840
45	0.302290
46	0.309170
47	0.315620
48	0.322070
49	0.328950
50	0.335400
51	0.341850
52	0.349160
53	0.355180
54	0.361630
55	0.368510
56	0.374960
57	0.381410
58	0.387860
59	0.394740
60	0.401190
61	0.407640
62	0.414520
63	0.420970
64	0.427420
65	0.433870
66	0.440750
67	0.447200
68	0.454080
69	0.460530
70	0.466980
71	0.473430
72	0.479880
73	0.486760
74	0.493210
75	0.499660
76	0.506110
77	0.512990
78	0.519870
79	0.526320
80	0.532770
81	0.539220
82	0.545670
83	0.552120
84	0.559000
85	0.565450
86	0.572330
87	0.578350
88	0.585230
89	0.591680
90	0.598130
91	0.605010
92	0.611460
93	0.617910
94	0.624790
95	0.631240
96	0.637690
97	0.644140
98	0.650590
99	0.657470
100	0.664350
101	0.670800
102	0.677250
103	0.683270
104	0.690150
105	0.696600
106	0.703050
107	0.709500
108	0.716380
109	0.722400
110	0.729280
111	0.735300
112	0.742180
113	0.748630
114	0.754650
115	0.761530
116	0.767980
117	0.774430
118	0.781740
119	0.787760
120	0.793780
121	0.800230
122	0.806680
123	0.813990
124	0.819150
125	0.826460
126	0.832050
127	0.839790
128	0.845810
129	0.852260
130	0.857850
131	0.864730
132	0.869890
133	0.876770
134	0.883220
135	0.891390
136	0.896550
137	0.901280
138	0.909450
139	0.915900
140	0.921060
141	0.926650
142	0.934390
143	0.941700
144	0.947290
145	0.951590
146	0.958470
147	0.967500
148	0.969220
149	0.976100
150	0.985560
151	0.991150
152	0.996740
153	1.003190
154	1.006630
155	1.015230
156	1.021680
157	1.028130
158	1.032000
159	1.040170
160	1.047910
161	1.053930
162	1.058230
163	1.067260
164	1.071560
165	1.079300
166	1.085750
167	1.092200
168	1.097790
169	1.104240
170	1.111980
171	1.118860
172	1.125310
173	1.132190
174	1.138640
175	1.145950
176	1.151970
177	1.159280
178	1.166160
179	1.173900
180	1.179490
181	1.188090
182	1.193250
183	1.200130
184	1.207440
185	1.215180
186	1.221200
187	1.228080
188	1.234960
189	1.242700
190	1.248720
191	1.256460
192	1.262480
193	1.269360
194	1.276670
195	1.283550
196	1.290860
197	1.297310
198	1.304190
199	1.311930
200	1.317950
201	1.324400
202	1.331280
203	1.339020
204	1.345900
205	1.352350
206	1.359230
207	1.366110
208	1.373420
209	1.380300
210	1.387180
211	1.394060
212	1.401800
213	1.408250
214	1.415560
215	1.422010
216	1.428890
217	1.435770
218	1.442650
219	1.449530
220	1.456840
221	1.464150
222	1.470170
223	1.477480
224	1.484360
225	1.492100
226	1.498120
227	1.505860
228	1.512310
229	1.519190
230	1.526070
231	1.533380
232	1.539830
233	1.547140
234	1.554020
235	1.560900
236	1.567350
237	1.574660
238	1.581540
239	1.588850
240	1.595730
241	1.602610
242	1.609490
243	1.615940
244	1.624110
245	1.630130
246	1.637010
247	1.644320
248	1.651630
249	1.658510
250	1.665390
251	1.672700
252	1.679580
253	1.686460
254	1.693340
255	1.701080
