# value	voltage [V]
0	0.379260
1	0.385710
2	0.392590
3	0.399040
4	0.405490
5	0.412370
6	0.418820
7	0.425270
8	0.432150
9	0.438600
10	0.445480
11	0.451930
12	0.458810
13	0.465260
14	0.472140
15	0.478590
16	0.485470
17	0.491920
18	0.498370
19	0.505250
20	0.511700
21	0.518150
22	0.525030
23	0.531910
24	0.538360
25	0.544810
26	0.551690
27	0.558140
28	0.565020
29	0.571900
30	0.578350
31	0.584800
32	0.591680
33	0.598130
34	0.604580
35	0.611460
36	0.618340
37	0.624360
38	0.631240
39	0.637690
40	0.644570
41	0.651020
42	0.657900
43	0.664350
44	0.671230
45	0.677250
46	0.684130
47	0.691010
48	0.697460
49	0.703910
50	0.710360
51	0.717240
52	0.723690
53	0.730570
54	0.737450
55	0.743470
56	0.750350
57	0.756800
58	0.763250
59	0.770130
60	0.776580
61	0.783460
62	0.789910
63	0.796360
64	0.802810
65	0.809690
66	0.816570
67	0.823020
68	0.829900
69	0.836350
70	0.842800
71	0.849250
72	0.856130
73	0.862580
74	0.869030
75	0.875910
76	0.882790
77	0.889670
78	0.896120
79	0.902570
80	0.909450
81	0.915900
82	0.922350
83	0.928800
84	0.935250
85	0.942130
86	0.949010
87	0.955460
88	0.962340
89	0.968790
90	0.975670
91	0.982120
92	0.988570
93	0.995450
94	1.001900
95	1.008780
96	1.015660
97	1.021680
98	1.028560
99	1.035440
100	1.041890
101	1.048770
102	1.055220
103	1.062100
104	1.068550
105	1.075000
106	1.081880
107	1.088760
108	1.095210
109	1.101660
110	1.108540
111	1.115420
112	1.121870
113	1.128750
114	1.135200
115	1.141650
116	1.148530
117	1.154980
118	1.161860
119	1.168740
120	1.175190
121	1.181640
122	1.188950
123	1.195400
124	1.201850
125	1.208300
126	1.215180
127	1.222060
128	1.228510
129	1.235390
130	1.241840
131	1.248720
132	1.255600
133	1.262050
134	1.268930
135	1.275380
136	1.282260
137	1.288710
138	1.295590
139	1.302040
140	1.308920
141	1.315800
142	1.322250
143	1.328700
144	1.335580
145	1.341600
146	1.348910
147	1.355790
148	1.362240
149	1.368690
150	1.375570
151	1.382450
152	1.388900
153	1.396210
154	1.402660
155	1.409110
156	1.415990
157	1.422440
158	1.429320
159	1.435770
160	1.442650
161	1.449100
162	1.455980
163	1.462860
164	1.469310
165	1.476190
166	1.482640
167	1.489520
168	1.495970
169	1.502850
170	1.509300
171	1.516180
172	1.522630
173	1.529080
174	1.535960
175	1.541980
176	1.548860
177	1.555310
178	1.562190
179	1.568210
180	1.574660
181	1.581110
182	1.587130
183	1.593150
184	1.599600
185	1.605620
186	1.611210
187	1.617230
188	1.622820
189	1.628410
190	1.634000
191	1.639160
192	1.644320
193	1.649050
194	1.654640
195	1.658940
196	1.663670
197	1.668400
198	1.672270
199	1.676570
200	1.680870
201	1.684310
202	1.687750
203	1.691190
204	1.694630
205	1.696780
206	1.699790
207	1.702370
208	1.704520
209	1.706670
210	1.708390
211	1.710110
212	1.711400
213	1.711830
214	1.712260
215	1.712690
216	1.712690
217	1.713120
218	1.713120
219	1.713550
220	1.713550
221	1.713980
222	1.713550
223	1.713550
224	1.713550
225	1.713980
226	1.713550
227	1.713980
228	1.713980
229	1.713980
230	1.713550
231	1.713980
232	1.713980
233	1.713980
234	1.713980
235	1.713980
236	1.713980
237	1.713980
238	1.713980
239	1.713980
240	1.713980
241	1.713980
242	1.713980
243	1.713980
244	1.713980
245	1.713980
246	1.713980
247	1.713980
248	1.713980
249	1.713980
250	1.713980
251	1.713980
252	1.713980
253	1.713980
254	1.713980
255	1.713980
