# value	voltage [V]
0	0.380120
1	0.386570
2	0.393450
3	0.399900
4	0.406780
5	0.413230
6	0.419680
7	0.426130
8	0.433010
9	0.439890
10	0.446340
11	0.452790
12	0.459670
13	0.466550
14	0.473000
15	0.479450
16	0.485900
17	0.492780
18	0.499660
19	0.506110
20	0.512560
21	0.519440
22	0.526320
23	0.532770
24	0.539220
25	0.545670
26	0.552550
27	0.559000
28	0.565880
29	0.572330
30	0.579210
31	0.585660
32	0.592540
33	0.598990
34	0.605440
35	0.611890
36	0.618770
37	0.625220
38	0.632100
39	0.638550
40	0.645000
41	0.651880
42	0.658330
43	0.665210
44	0.671660
45	0.678540
46	0.684990
47	0.691440
48	0.697890
49	0.704770
50	0.711220
51	0.718100
52	0.724550
53	0.731000
54	0.737880
55	0.744330
56	0.750780
57	0.757660
58	0.764110
59	0.770560
60	0.777440
61	0.784320
62	0.790770
63	0.797220
64	0.804100
65	0.810550
66	0.817000
67	0.823880
68	0.830330
69	0.836780
70	0.843660
71	0.850110
72	0.856990
73	0.863440
74	0.869890
75	0.876770
76	0.883220
77	0.890100
78	0.896550
79	0.903430
80	0.910310
81	0.916330
82	0.923210
83	0.929660
84	0.936540
85	0.943420
86	0.949870
87	0.956320
88	0.963200
89	0.969650
90	0.976100
91	0.982980
92	0.989430
93	0.996310
94	1.003190
95	1.009640
96	1.016090
97	1.022970
98	1.029420
99	1.036300
100	1.042750
101	1.049200
102	1.056080
103	1.062960
104	1.069410
105	1.075860
106	1.082740
107	1.089190
108	1.096070
109	1.102950
110	1.109400
111	1.115850
112	1.122730
113	1.129180
114	1.136060
115	1.142510
116	1.148960
117	1.156270
118	1.162720
119	1.169600
120	1.175620
121	1.182500
122	1.189380
123	1.196260
124	1.202280
125	1.209160
126	1.216040
127	1.222920
128	1.229370
129	1.236250
130	1.242700
131	1.249580
132	1.255600
133	1.262480
134	1.269790
135	1.276240
136	1.283120
137	1.289570
138	1.296450
139	1.302900
140	1.309350
141	1.316660
142	1.323110
143	1.329560
144	1.336440
145	1.342890
146	1.349770
147	1.356220
148	1.362670
149	1.369550
150	1.376430
151	1.383310
152	1.389760
153	1.396640
154	1.403090
155	1.409970
156	1.416850
157	1.423300
158	1.429750
159	1.437060
160	1.443510
161	1.450390
162	1.456840
163	1.463290
164	1.470170
165	1.477050
166	1.483500
167	1.490380
168	1.497260
169	1.503280
170	1.510160
171	1.517040
172	1.523490
173	1.529940
174	1.536390
175	1.543270
176	1.550150
177	1.556170
178	1.562620
179	1.569070
180	1.575520
181	1.581540
182	1.587990
183	1.594010
184	1.600460
185	1.606050
186	1.612070
187	1.618090
188	1.623250
189	1.629270
190	1.634860
191	1.639590
192	1.644750
193	1.649910
194	1.655070
195	1.660230
196	1.664100
197	1.668830
198	1.673130
199	1.677430
200	1.680870
201	1.685170
202	1.688610
203	1.691620
204	1.695060
205	1.697640
206	1.700650
207	1.703230
208	1.705380
209	1.707100
210	1.709250
211	1.710540
212	1.711400
213	1.712690
214	1.712690
215	1.712690
216	1.713120
217	1.713550
218	1.713550
219	1.713550
220	1.713550
221	1.713550
222	1.713980
223	1.713980
224	1.713550
225	1.713980
226	1.713980
227	1.713980
228	1.713980
229	1.713980
230	1.713980
231	1.713980
232	1.713980
233	1.713980
234	1.713980
235	1.713980
236	1.713980
237	1.713980
238	1.713980
239	1.713980
240	1.713980
241	1.713980
242	1.713980
243	1.713980
244	1.713980
245	1.713980
246	1.713980
247	1.713980
248	1.713980
249	1.713980
250	1.713980
251	1.713980
252	1.713980
253	1.713980
254	1.713980
255	1.713980
