# value	voltage [V]
0	0.444620
1	0.451070
2	0.457950
3	0.463970
4	0.471280
5	0.477730
6	0.484180
7	0.491060
8	0.497510
9	0.503960
10	0.510840
11	0.517720
12	0.524170
13	0.530620
14	0.537500
15	0.543520
16	0.550830
17	0.557280
18	0.564160
19	0.570180
20	0.577060
21	0.583940
22	0.590390
23	0.596840
24	0.603720
25	0.611030
26	0.617050
27	0.623930
28	0.630380
29	0.636830
30	0.643280
31	0.650160
32	0.656610
33	0.663490
34	0.670370
35	0.676820
36	0.683270
37	0.689720
38	0.696600
39	0.703050
40	0.709500
41	0.716380
42	0.722830
43	0.729710
44	0.736160
45	0.743040
46	0.749490
47	0.755940
48	0.762820
49	0.768840
50	0.776150
51	0.782600
52	0.789050
53	0.795930
54	0.802380
55	0.809260
56	0.815280
57	0.821730
58	0.828610
59	0.835490
60	0.841940
61	0.848390
62	0.854840
63	0.861720
64	0.868170
65	0.875050
66	0.881500
67	0.888380
68	0.895260
69	0.901710
70	0.908160
71	0.914610
72	0.921060
73	0.927940
74	0.934390
75	0.941270
76	0.947720
77	0.954600
78	0.961050
79	0.967500
80	0.974380
81	0.980830
82	0.987280
83	0.994160
84	1.000180
85	1.006630
86	1.013510
87	1.019960
88	1.026410
89	1.032860
90	1.039310
91	1.045760
92	1.052640
93	1.058660
94	1.065110
95	1.071560
96	1.078010
97	1.084460
98	1.090910
99	1.097360
100	1.103810
101	1.110260
102	1.116280
103	1.122730
104	1.129180
105	1.135630
106	1.141650
107	1.147670
108	1.154550
109	1.160570
110	1.167020
111	1.173040
112	1.179490
113	1.185510
114	1.191960
115	1.197980
116	1.204430
117	1.210880
118	1.217330
119	1.223350
120	1.229370
121	1.235820
122	1.242270
123	1.248290
124	1.253880
125	1.260760
126	1.266780
127	1.273230
128	1.279250
129	1.285700
130	1.291720
131	1.297740
132	1.303760
133	1.310640
134	1.316230
135	1.323110
136	1.329130
137	1.335150
138	1.341170
139	1.347190
140	1.353640
141	1.360090
142	1.365680
143	1.372130
144	1.378150
145	1.383740
146	1.390190
147	1.396640
148	1.402660
149	1.409110
150	1.414700
151	1.421150
152	1.427170
153	1.433190
154	1.439640
155	1.445660
156	1.451680
157	1.457700
158	1.464150
159	1.470170
160	1.476190
161	1.481780
162	1.487800
163	1.493820
164	1.500270
165	1.505860
166	1.511880
167	1.517900
168	1.523920
169	1.529510
170	1.535530
171	1.541980
172	1.547570
173	1.553590
174	1.559610
175	1.565200
176	1.571220
177	1.576810
178	1.582400
179	1.587990
180	1.593580
181	1.600030
182	1.605190
183	1.610350
184	1.615940
185	1.621100
186	1.625830
187	1.631420
188	1.636580
189	1.641310
190	1.646040
191	1.650770
192	1.655500
193	1.659800
194	1.664100
195	1.668400
196	1.672700
197	1.676140
198	1.680010
199	1.683450
200	1.687320
201	1.690330
202	1.693340
203	1.696780
204	1.698930
205	1.701510
206	1.703660
207	1.705810
208	1.707960
209	1.709680
210	1.710970
211	1.711830
212	1.712260
213	1.712690
214	1.713120
215	1.713120
216	1.713550
217	1.713550
218	1.713550
219	1.713980
220	1.713980
221	1.713980
222	1.713980
223	1.713980
224	1.713550
225	1.713980
226	1.713980
227	1.713980
228	1.713980
229	1.713980
230	1.713980
231	1.713980
232	1.713980
233	1.713980
234	1.713980
235	1.713980
236	1.713980
237	1.713980
238	1.713980
239	1.713980
240	1.713980
241	1.713980
242	1.713980
243	1.713980
244	1.713980
245	1.713980
246	1.713980
247	1.713980
248	1.713980
249	1.713980
250	1.713980
251	1.713980
252	1.713980
253	1.713980
254	1.713980
255	1.713980
