# value	voltage [V]
0	0.003440
1	0.010320
2	0.016770
3	0.023650
4	0.030100
5	0.036980
6	0.043430
7	0.049880
8	0.056760
9	0.063640
10	0.070090
11	0.076540
12	0.083420
13	0.089870
14	0.096320
15	0.103200
16	0.110080
17	0.116960
18	0.123410
19	0.130290
20	0.136740
21	0.143620
22	0.150070
23	0.156950
24	0.163400
25	0.169850
26	0.176730
27	0.183180
28	0.190060
29	0.196510
30	0.202960
31	0.209840
32	0.216290
33	0.223170
34	0.229620
35	0.236070
36	0.242950
37	0.249400
38	0.256280
39	0.262730
40	0.269610
41	0.276060
42	0.282510
43	0.288960
44	0.295410
45	0.302290
46	0.309170
47	0.315620
48	0.322070
49	0.328520
50	0.335400
51	0.341850
52	0.348730
53	0.355180
54	0.361630
55	0.368080
56	0.374530
57	0.381410
58	0.388290
59	0.394740
60	0.401190
61	0.408070
62	0.414520
63	0.420970
64	0.427420
65	0.433870
66	0.440750
67	0.447200
68	0.453650
69	0.460100
70	0.466980
71	0.473860
72	0.479880
73	0.486760
74	0.493210
75	0.499660
76	0.506540
77	0.512990
78	0.519870
79	0.525890
80	0.532340
81	0.539220
82	0.545670
83	0.552550
84	0.559000
85	0.565450
86	0.572330
87	0.578780
88	0.585660
89	0.591680
90	0.598560
91	0.605010
92	0.611460
93	0.618340
94	0.624360
95	0.631240
96	0.637690
97	0.644140
98	0.650590
99	0.657040
100	0.663920
101	0.670370
102	0.677250
103	0.683270
104	0.690150
105	0.697030
106	0.703050
107	0.709500
108	0.715950
109	0.722830
110	0.729280
111	0.735730
112	0.741750
113	0.749060
114	0.755080
115	0.761100
116	0.767980
117	0.775290
118	0.780880
119	0.788190
120	0.793780
121	0.800230
122	0.807110
123	0.813990
124	0.819150
125	0.825600
126	0.832910
127	0.838930
128	0.845810
129	0.850970
130	0.859570
131	0.864730
132	0.871180
133	0.878060
134	0.882790
135	0.889240
136	0.895260
137	0.903430
138	0.908590
139	0.914610
140	0.921060
141	0.926220
142	0.932240
143	0.941270
144	0.945570
145	0.952020
146	0.958900
147	0.965780
148	0.971370
149	0.976960
150	0.982980
151	0.989860
152	0.997600
153	1.002330
154	1.007920
155	1.013940
156	1.017810
157	1.028130
158	1.033290
159	1.038450
160	1.045330
161	1.052640
162	1.058660
163	1.065970
164	1.072420
165	1.080590
166	1.085320
167	1.092630
168	1.097360
169	1.105100
170	1.111980
171	1.118860
172	1.126600
173	1.133050
174	1.139070
175	1.145950
176	1.152400
177	1.159280
178	1.166590
179	1.173040
180	1.179490
181	1.188090
182	1.193680
183	1.200990
184	1.207870
185	1.215180
186	1.222060
187	1.228080
188	1.235390
189	1.242700
190	1.248720
191	1.256460
192	1.263340
193	1.270650
194	1.276670
195	1.283980
196	1.291290
197	1.297310
198	1.304620
199	1.311930
200	1.318380
201	1.325690
202	1.332140
203	1.339880
204	1.346330
205	1.352350
206	1.359660
207	1.366540
208	1.373420
209	1.379870
210	1.387180
211	1.394490
212	1.401370
213	1.407820
214	1.415990
215	1.421580
216	1.428890
217	1.436200
218	1.443510
219	1.449960
220	1.456840
221	1.463720
222	1.471030
223	1.477050
224	1.484360
225	1.491240
226	1.498550
227	1.505430
228	1.513170
229	1.519190
230	1.526070
231	1.532950
232	1.540260
233	1.546710
234	1.554880
235	1.560900
236	1.567780
237	1.575090
238	1.581540
239	1.589280
240	1.595730
241	1.603470
242	1.610350
243	1.616800
244	1.623680
245	1.630990
246	1.637440
247	1.644750
248	1.652060
249	1.658940
250	1.665820
251	1.672700
252	1.680010
253	1.686460
254	1.693340
255	1.701510
