# value	voltage [V]
0	0.381410
1	0.387430
2	0.394310
3	0.400760
4	0.407210
5	0.413660
6	0.420970
7	0.426990
8	0.433870
9	0.440320
10	0.447200
11	0.453650
12	0.460100
13	0.466550
14	0.473430
15	0.479880
16	0.486760
17	0.493210
18	0.500090
19	0.506540
20	0.513420
21	0.519870
22	0.526320
23	0.533200
24	0.539650
25	0.546100
26	0.552980
27	0.559430
28	0.566310
29	0.573190
30	0.579210
31	0.586090
32	0.592540
33	0.598990
34	0.606300
35	0.612320
36	0.619200
37	0.625650
38	0.632100
39	0.638980
40	0.645430
41	0.651880
42	0.658760
43	0.665640
44	0.672090
45	0.678540
46	0.685420
47	0.691870
48	0.698320
49	0.705200
50	0.711650
51	0.718530
52	0.725410
53	0.731860
54	0.738740
55	0.745190
56	0.751640
57	0.758520
58	0.764970
59	0.771850
60	0.778300
61	0.784750
62	0.791630
63	0.798510
64	0.804960
65	0.811410
66	0.818290
67	0.824740
68	0.831620
69	0.838070
70	0.844950
71	0.851400
72	0.858710
73	0.864730
74	0.871610
75	0.878060
76	0.884940
77	0.891820
78	0.898270
79	0.905150
80	0.911600
81	0.918050
82	0.924930
83	0.931810
84	0.938260
85	0.945140
86	0.951590
87	0.958470
88	0.964920
89	0.971370
90	0.978680
91	0.985130
92	0.992010
93	0.998460
94	1.005340
95	1.011790
96	1.018670
97	1.025120
98	1.031570
99	1.038450
100	1.045330
101	1.052210
102	1.058660
103	1.065110
104	1.071990
105	1.078440
106	1.085320
107	1.091770
108	1.098220
109	1.105530
110	1.111980
111	1.118860
112	1.125310
113	1.132190
114	1.138640
115	1.145520
116	1.151970
117	1.158850
118	1.165730
119	1.172180
120	1.179060
121	1.185510
122	1.192390
123	1.198840
124	1.205720
125	1.212600
126	1.219050
127	1.225930
128	1.232380
129	1.239260
130	1.246140
131	1.252590
132	1.259040
133	1.265920
134	1.272800
135	1.279250
136	1.286130
137	1.292580
138	1.299460
139	1.306340
140	1.313220
141	1.319670
142	1.326550
143	1.333000
144	1.339880
145	1.346760
146	1.353210
147	1.360090
148	1.366540
149	1.372990
150	1.379870
151	1.386750
152	1.393630
153	1.400080
154	1.406960
155	1.413410
156	1.419860
157	1.426740
158	1.433620
159	1.440070
160	1.446950
161	1.453830
162	1.459850
163	1.467160
164	1.473180
165	1.480060
166	1.486940
167	1.493820
168	1.500270
169	1.506720
170	1.513170
171	1.520050
172	1.526500
173	1.533380
174	1.539830
175	1.545850
176	1.553160
177	1.559180
178	1.566060
179	1.572080
180	1.578530
181	1.584980
182	1.591000
183	1.597020
184	1.603470
185	1.609490
186	1.615510
187	1.620670
188	1.626690
189	1.632710
190	1.637440
191	1.643030
192	1.647760
193	1.653350
194	1.658080
195	1.662380
196	1.667110
197	1.671410
198	1.675280
199	1.679580
200	1.683020
201	1.687320
202	1.689900
203	1.693340
204	1.696780
205	1.699360
206	1.701940
207	1.704090
208	1.706240
209	1.708390
210	1.709680
211	1.710970
212	1.712260
213	1.712690
214	1.712690
215	1.713120
216	1.713120
217	1.713120
218	1.713550
219	1.713550
220	1.713550
221	1.713980
222	1.713980
223	1.713980
224	1.713980
225	1.713980
226	1.713980
227	1.713980
228	1.713980
229	1.713980
230	1.713980
231	1.713980
232	1.713980
233	1.713980
234	1.713980
235	1.713980
236	1.713980
237	1.713980
238	1.713980
239	1.713980
240	1.713980
241	1.713980
242	1.713980
243	1.713980
244	1.713980
245	1.713980
246	1.713980
247	1.713980
248	1.713980
249	1.713980
250	1.713980
251	1.713980
252	1.713980
253	1.713980
254	1.713980
255	1.713980
