# value	voltage [V]
0	0.003440
1	0.009890
2	0.016770
3	0.023220
4	0.029670
5	0.036550
6	0.043000
7	0.049880
8	0.056330
9	0.062780
10	0.069660
11	0.076540
12	0.082990
13	0.089440
14	0.095890
15	0.102770
16	0.109220
17	0.116100
18	0.122980
19	0.129430
20	0.136310
21	0.143190
22	0.149640
23	0.156090
24	0.162970
25	0.169420
26	0.176300
27	0.182750
28	0.189200
29	0.196080
30	0.202530
31	0.208980
32	0.215430
33	0.222740
34	0.229190
35	0.235640
36	0.242520
37	0.248970
38	0.255420
39	0.261870
40	0.268320
41	0.275200
42	0.282080
43	0.288530
44	0.295410
45	0.301860
46	0.308740
47	0.314760
48	0.321640
49	0.328090
50	0.334970
51	0.341850
52	0.348300
53	0.355180
54	0.361630
55	0.368080
56	0.374960
57	0.381410
58	0.388290
59	0.394740
60	0.401190
61	0.408070
62	0.414520
63	0.421400
64	0.427850
65	0.434300
66	0.441180
67	0.448060
68	0.454080
69	0.460960
70	0.467410
71	0.474290
72	0.480740
73	0.487620
74	0.494070
75	0.500520
76	0.507400
77	0.513850
78	0.520300
79	0.527180
80	0.534060
81	0.540080
82	0.546960
83	0.553840
84	0.560720
85	0.566740
86	0.573620
87	0.580070
88	0.586950
89	0.593400
90	0.599850
91	0.606730
92	0.613180
93	0.619630
94	0.626080
95	0.632960
96	0.639840
97	0.646290
98	0.652310
99	0.659620
100	0.665640
101	0.672520
102	0.678970
103	0.685420
104	0.692300
105	0.698750
106	0.705630
107	0.711650
108	0.718530
109	0.724980
110	0.731430
111	0.737450
112	0.744330
113	0.750780
114	0.757230
115	0.764110
116	0.770990
117	0.777440
118	0.783460
119	0.790340
120	0.796790
121	0.803240
122	0.809260
123	0.816140
124	0.822590
125	0.827750
126	0.835920
127	0.842370
128	0.845810
129	0.854410
130	0.860860
131	0.867740
132	0.872900
133	0.879780
134	0.886660
135	0.893970
136	0.898270
137	0.905580
138	0.911600
139	0.916760
140	0.924930
141	0.929660
142	0.935680
143	0.943850
144	0.947720
145	0.954170
146	0.962340
147	0.967500
148	0.973950
149	0.980400
150	0.986850
151	0.993730
152	0.998030
153	1.005770
154	1.011360
155	1.017810
156	1.023830
157	1.030710
158	1.037590
159	1.041890
160	1.049630
161	1.055220
162	1.061240
163	1.067690
164	1.075430
165	1.081450
166	1.087470
167	1.094780
168	1.102090
169	1.108540
170	1.114990
171	1.122730
172	1.128320
173	1.134340
174	1.142510
175	1.148530
176	1.154980
177	1.161860
178	1.169170
179	1.176480
180	1.182500
181	1.189810
182	1.197120
183	1.203570
184	1.210880
185	1.218190
186	1.224210
187	1.231950
188	1.238830
189	1.245280
190	1.252160
191	1.259900
192	1.266350
193	1.273660
194	1.279250
195	1.287850
196	1.293440
197	1.301180
198	1.308060
199	1.314940
200	1.321820
201	1.327410
202	1.335580
203	1.341600
204	1.348480
205	1.355360
206	1.362670
207	1.369120
208	1.376860
209	1.383740
210	1.390620
211	1.397500
212	1.403950
213	1.411260
214	1.417710
215	1.424590
216	1.431470
217	1.438780
218	1.445230
219	1.452540
220	1.459420
221	1.466300
222	1.473180
223	1.480060
224	1.486940
225	1.493820
226	1.500270
227	1.507580
228	1.514460
229	1.520910
230	1.527790
231	1.535100
232	1.541550
233	1.549290
234	1.555740
235	1.562620
236	1.569500
237	1.576810
238	1.583260
239	1.590140
240	1.597450
241	1.604760
242	1.610780
243	1.617660
244	1.624540
245	1.631420
246	1.638300
247	1.645180
248	1.652920
249	1.659800
250	1.665820
251	1.672700
252	1.680440
253	1.686460
254	1.694200
255	1.701510
