# value	current [nA]
0	0.006000
1	0.012000
2	0.029250
3	0.042000
4	0.051750
5	0.069000
6	0.082500
7	0.092250
8	0.108000
9	0.117750
10	0.134250
11	0.144750
12	0.157500
13	0.168750
14	0.177750
15	0.195000
16	0.207000
17	0.218250
18	0.231000
19	0.245250
20	0.258000
21	0.269250
22	0.281250
23	0.294000
24	0.309000
25	0.320250
26	0.333750
27	0.349500
28	0.358500
29	0.371250
30	0.386250
31	0.395250
32	0.407250
33	0.420750
34	0.432000
35	0.446250
36	0.459750
37	0.470250
38	0.485250
39	0.498750
40	0.512250
41	0.522750
42	0.537000
43	0.548250
44	0.558750
45	0.568500
46	0.582000
47	0.595500
48	0.610500
49	0.621000
50	0.633000
51	0.645750
52	0.660000
53	0.674250
54	0.685500
55	0.699000
56	0.709500
57	0.722250
58	0.734250
59	0.746250
60	0.758250
61	0.771750
62	0.781500
63	0.798000
64	0.810750
65	0.816750
66	0.831000
67	0.846000
68	0.859500
69	0.869250
70	0.880500
71	0.894750
72	0.907500
73	0.920250
74	0.932250
75	0.940500
76	0.956250
77	0.967500
78	0.981000
79	0.993000
80	1.003500
81	1.019250
82	1.027500
83	1.039500
84	1.053000
85	1.066500
86	1.076250
87	1.087500
88	1.105500
89	1.117500
90	1.128750
91	1.137750
92	1.150500
93	1.164750
94	1.176000
95	1.188750
96	1.198500
97	1.213500
98	1.230000
99	1.237500
100	1.253250
101	1.262250
102	1.277250
103	1.286250
104	1.303500
105	1.312500
106	1.327500
107	1.337250
108	1.347000
109	1.361250
110	1.374750
111	1.387500
112	1.396500
113	1.407000
114	1.419750
115	1.431000
116	1.448250
117	1.459500
118	1.474500
119	1.484250
120	1.495500
121	1.506000
122	1.519500
123	1.532250
124	1.545000
125	1.557750
126	1.565250
127	1.575750
128	1.591500
129	1.605750
130	1.614750
131	1.630500
132	1.640250
133	1.654500
134	1.665750
135	1.677000
136	1.687500
137	1.702500
138	1.709250
139	1.723500
140	1.735500
141	1.750500
142	1.761750
143	1.770750
144	1.784250
145	1.798500
146	1.808250
147	1.820250
148	1.831500
149	1.848000
150	1.858500
151	1.869000
152	1.883250
153	1.892250
154	1.907250
155	1.917000
156	1.933500
157	1.942500
158	1.954500
159	1.969500
160	1.977750
161	1.993500
162	2.002500
163	2.011500
164	2.027250
165	2.039250
166	2.047500
167	2.063250
168	2.074500
169	2.088000
170	2.095500
171	2.112750
172	2.124750
173	2.134500
174	2.146500
175	2.157000
176	2.170500
177	2.181750
178	2.194500
179	2.205000
180	2.216250
181	2.232000
182	2.242500
183	2.255250
184	2.265000
185	2.274750
186	2.286750
187	2.307000
188	2.311500
189	2.322750
190	2.338500
191	2.351250
192	2.362500
193	2.374500
194	2.385750
195	2.394750
196	2.407500
197	2.425500
198	2.435250
199	2.444250
200	2.455500
201	2.472750
202	2.480250
203	2.490750
204	2.503500
205	2.519250
206	2.529000
207	2.541000
208	2.551500
209	2.562750
210	2.574000
211	2.585250
212	2.601000
213	2.608500
214	2.626500
215	2.635500
216	2.646750
217	2.655750
218	2.670750
219	2.680500
220	2.696250
221	2.705250
222	2.716500
223	2.728500
224	2.742000
225	2.756250
226	2.765250
227	2.775750
228	2.789250
229	2.800500
230	2.811000
231	2.823750
232	2.837250
233	2.849250
234	2.859750
235	2.871750
236	2.884500
237	2.897250
238	2.908500
239	2.919000
240	2.932500
241	2.945250
242	2.955750
243	2.965500
244	2.980500
245	2.991000
246	3.003750
247	3.015750
248	3.026250
249	3.033750
250	3.034500
251	3.035250
252	3.035250
253	3.035250
254	3.035250
255	3.036000
