# value	current [nA]
0	0.008250
1	0.012000
2	0.033000
3	0.045000
4	0.059250
5	0.072750
6	0.084750
7	0.099750
8	0.115500
9	0.126750
10	0.141000
11	0.152250
12	0.168750
13	0.181500
14	0.195000
15	0.207750
16	0.222000
17	0.234000
18	0.250500
19	0.261750
20	0.273000
21	0.287250
22	0.303000
23	0.315750
24	0.330000
25	0.339750
26	0.354750
27	0.367500
28	0.385500
29	0.396000
30	0.408000
31	0.421500
32	0.437250
33	0.449250
34	0.462750
35	0.471000
36	0.487500
37	0.499500
38	0.515250
39	0.527250
40	0.540000
41	0.554250
42	0.563250
43	0.579750
44	0.592500
45	0.606750
46	0.620250
47	0.630750
48	0.642000
49	0.659250
50	0.671250
51	0.682500
52	0.696750
53	0.710250
54	0.724500
55	0.735750
56	0.748500
57	0.762750
58	0.776250
59	0.789750
60	0.801750
61	0.815250
62	0.828000
63	0.840000
64	0.855000
65	0.867000
66	0.879000
67	0.891750
68	0.904500
69	0.916500
70	0.930000
71	0.945750
72	0.957750
73	0.969000
74	0.984000
75	0.993750
76	1.011750
77	1.020000
78	1.035000
79	1.046250
80	1.062000
81	1.076250
82	1.085250
83	1.101750
84	1.110000
85	1.127250
86	1.140000
87	1.150500
88	1.164000
89	1.171500
90	1.186500
91	1.200000
92	1.211250
93	1.227750
94	1.238250
95	1.255500
96	1.265250
97	1.279500
98	1.288500
99	1.302000
100	1.314000
101	1.327500
102	1.345500
103	1.356750
104	1.365750
105	1.378500
106	1.392750
107	1.401750
108	1.418250
109	1.431000
110	1.443000
111	1.458750
112	1.470000
113	1.481250
114	1.493250
115	1.507500
116	1.521750
117	1.531500
118	1.543500
119	1.557750
120	1.574250
121	1.582500
122	1.595250
123	1.608750
124	1.621500
125	1.636500
126	1.651500
127	1.661250
128	1.668000
129	1.686750
130	1.697250
131	1.709250
132	1.722750
133	1.737000
134	1.746000
135	1.761750
136	1.773000
137	1.783500
138	1.797750
139	1.808250
140	1.826250
141	1.835250
142	1.846500
143	1.858500
144	1.874250
145	1.887000
146	1.896750
147	1.908750
148	1.922250
149	1.935750
150	1.949250
151	1.960500
152	1.972500
153	1.986000
154	1.998750
155	2.008500
156	2.025750
157	2.034000
158	2.049000
159	2.060250
160	2.076000
161	2.088000
162	2.094000
163	2.111250
164	2.120250
165	2.135250
166	2.145750
167	2.161500
168	2.175750
169	2.184000
170	2.198250
171	2.213250
172	2.220000
173	2.235000
174	2.242500
175	2.260500
176	2.271000
177	2.283000
178	2.293500
179	2.308500
180	2.322000
181	2.332500
182	2.346000
183	2.357250
184	2.370750
185	2.382750
186	2.397000
187	2.408250
188	2.418000
189	2.436000
190	2.444250
191	2.459250
192	2.466000
193	2.481000
194	2.490750
195	2.506500
196	2.521500
197	2.533500
198	2.543250
199	2.556750
200	2.567250
201	2.583750
202	2.593500
203	2.606250
204	2.619750
205	2.630250
206	2.643750
207	2.657250
208	2.667750
209	2.681250
210	2.692500
211	2.701500
212	2.715750
213	2.724000
214	2.740500
215	2.755500
216	2.767500
217	2.781000
218	2.790750
219	2.801250
220	2.814000
221	2.825250
222	2.839500
223	2.851500
224	2.862000
225	2.875500
226	2.889000
227	2.899500
228	2.912250
229	2.925000
230	2.938500
231	2.947500
232	2.961000
233	2.973000
234	2.985750
235	2.997750
236	3.012000
237	3.022500
238	3.033000
239	3.034500
240	3.035250
241	3.035250
242	3.035250
243	3.035250
244	3.035250
245	3.036000
246	3.036000
247	3.036000
248	3.036750
249	3.036000
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
