# value	current [nA]
0	0.009000
1	0.019500
2	0.032250
3	0.047250
4	0.058500
5	0.070500
6	0.088500
7	0.100500
8	0.111750
9	0.128250
10	0.143250
11	0.155250
12	0.167250
13	0.181500
14	0.194250
15	0.206250
16	0.221250
17	0.236250
18	0.248250
19	0.261750
20	0.275250
21	0.287250
22	0.300000
23	0.315750
24	0.332250
25	0.343500
26	0.354750
27	0.369000
28	0.384750
29	0.400500
30	0.415500
31	0.420750
32	0.435000
33	0.450750
34	0.464250
35	0.476250
36	0.489750
37	0.505500
38	0.511500
39	0.529500
40	0.540750
41	0.554250
42	0.567000
43	0.583500
44	0.592500
45	0.610500
46	0.619500
47	0.634500
48	0.646500
49	0.660000
50	0.675000
51	0.684750
52	0.697500
53	0.711750
54	0.726750
55	0.735750
56	0.750000
57	0.762750
58	0.777000
59	0.792750
60	0.802500
61	0.819000
62	0.828750
63	0.842250
64	0.855750
65	0.869250
66	0.882750
67	0.894000
68	0.910500
69	0.922500
70	0.933750
71	0.944250
72	0.960000
73	0.970500
74	0.983250
75	0.996000
76	1.011000
77	1.023000
78	1.035000
79	1.045500
80	1.060500
81	1.075500
82	1.087500
83	1.097250
84	1.109250
85	1.125000
86	1.140750
87	1.149000
88	1.164000
89	1.178250
90	1.191000
91	1.203750
92	1.212000
93	1.225500
94	1.239750
95	1.254750
96	1.269000
97	1.279500
98	1.290000
99	1.305750
100	1.317750
101	1.331250
102	1.344750
103	1.356000
104	1.369500
105	1.381500
106	1.391250
107	1.408500
108	1.422000
109	1.433250
110	1.446750
111	1.456500
112	1.470000
113	1.483500
114	1.496250
115	1.510500
116	1.521750
117	1.530000
118	1.544250
119	1.555500
120	1.570500
121	1.581000
122	1.598250
123	1.609500
124	1.622250
125	1.632000
126	1.644000
127	1.658250
128	1.671750
129	1.684500
130	1.695000
131	1.708500
132	1.723500
133	1.737000
134	1.749000
135	1.758750
136	1.774500
137	1.785750
138	1.801500
139	1.809000
140	1.826250
141	1.835250
142	1.846500
143	1.860000
144	1.875000
145	1.887000
146	1.895250
147	1.915500
148	1.923750
149	1.939500
150	1.950000
151	1.963500
152	1.973250
153	1.984500
154	1.998000
155	2.013000
156	2.022750
157	2.032500
158	2.048250
159	2.063250
160	2.073000
161	2.086500
162	2.097750
163	2.109000
164	2.122500
165	2.136750
166	2.149500
167	2.160750
168	2.172750
169	2.187000
170	2.200500
171	2.214000
172	2.222250
173	2.236500
174	2.249250
175	2.263500
176	2.274000
177	2.287500
178	2.297250
179	2.311500
180	2.320500
181	2.335500
182	2.347500
183	2.359500
184	2.376750
185	2.382750
186	2.396250
187	2.408250
188	2.421750
189	2.433750
190	2.445000
191	2.460000
192	2.471250
193	2.484000
194	2.494500
195	2.508750
196	2.520750
197	2.537250
198	2.546250
199	2.559750
200	2.571000
201	2.584500
202	2.595000
203	2.608500
204	2.619750
205	2.634000
206	2.644500
207	2.657250
208	2.670000
209	2.681250
210	2.694750
211	2.710500
212	2.717250
213	2.732250
214	2.752500
215	2.760750
216	2.769000
217	2.781750
218	2.793750
219	2.808000
220	2.817000
221	2.830500
222	2.844000
223	2.856750
224	2.866500
225	2.879250
226	2.892000
227	2.903250
228	2.918250
229	2.926500
230	2.940000
231	2.954250
232	2.964750
233	2.977500
234	2.991000
235	3.003000
236	3.015000
237	3.026250
238	3.033750
239	3.035250
240	3.035250
241	3.035250
242	3.035250
243	3.036000
244	3.036000
245	3.036000
246	3.036000
247	3.036000
248	3.036000
249	3.036000
250	3.036000
251	3.036750
252	3.036000
253	3.036750
254	3.036750
255	3.036750
