# value	current [nA]
0	0.008250
1	0.014250
2	0.031500
3	0.046500
4	0.058500
5	0.073500
6	0.088500
7	0.100500
8	0.115500
9	0.129000
10	0.140250
11	0.155250
12	0.167250
13	0.183750
14	0.194250
15	0.211500
16	0.222750
17	0.237000
18	0.248250
19	0.262500
20	0.275250
21	0.293250
22	0.304500
23	0.316500
24	0.332250
25	0.345750
26	0.356250
27	0.372750
28	0.386250
29	0.398250
30	0.411750
31	0.427500
32	0.438750
33	0.453000
34	0.464250
35	0.474750
36	0.493500
37	0.507000
38	0.519750
39	0.531000
40	0.543000
41	0.557250
42	0.571500
43	0.582000
44	0.595500
45	0.610500
46	0.625500
47	0.636750
48	0.651750
49	0.661500
50	0.675000
51	0.690750
52	0.699750
53	0.717000
54	0.726000
55	0.742500
56	0.756000
57	0.771000
58	0.780000
59	0.793500
60	0.807750
61	0.819750
62	0.833250
63	0.848250
64	0.861750
65	0.874500
66	0.888000
67	0.900000
68	0.913500
69	0.925500
70	0.937500
71	0.953250
72	0.966000
73	0.978750
74	0.993000
75	1.003500
76	1.014000
77	1.026750
78	1.044000
79	1.056000
80	1.070250
81	1.086000
82	1.096500
83	1.108500
84	1.121250
85	1.134000
86	1.146750
87	1.160250
88	1.176750
89	1.186500
90	1.200000
91	1.210500
92	1.227000
93	1.236750
94	1.252500
95	1.264500
96	1.277250
97	1.286250
98	1.299750
99	1.314750
100	1.327500
101	1.335750
102	1.356000
103	1.368000
104	1.379250
105	1.392000
106	1.404000
107	1.416000
108	1.429500
109	1.445250
110	1.458000
111	1.470750
112	1.481250
113	1.495500
114	1.507500
115	1.518000
116	1.532250
117	1.542750
118	1.557750
119	1.570500
120	1.581750
121	1.594500
122	1.612500
123	1.621500
124	1.636500
125	1.649250
126	1.661250
127	1.674000
128	1.686750
129	1.698750
130	1.713750
131	1.723500
132	1.738500
133	1.752000
134	1.761750
135	1.773750
136	1.785750
137	1.797750
138	1.812000
139	1.821000
140	1.837500
141	1.847250
142	1.861500
143	1.874250
144	1.888500
145	1.900500
146	1.911000
147	1.931250
148	1.939500
149	1.951500
150	1.965000
151	1.977750
152	1.986000
153	2.004750
154	2.017500
155	2.028000
156	2.040750
157	2.055750
158	2.066250
159	2.081250
160	2.091000
161	2.105250
162	2.116500
163	2.131500
164	2.143500
165	2.156250
166	2.168250
167	2.182500
168	2.193000
169	2.203500
170	2.213250
171	2.231250
172	2.241750
173	2.253000
174	2.265000
175	2.281500
176	2.292000
177	2.307000
178	2.319000
179	2.327250
180	2.337750
181	2.353500
182	2.364000
183	2.381250
184	2.389500
185	2.402250
186	2.421750
187	2.429250
188	2.441250
189	2.454000
190	2.463750
191	2.480250
192	2.493750
193	2.501250
194	2.514750
195	2.529750
196	2.540250
197	2.553750
198	2.565000
199	2.579250
200	2.591250
201	2.605500
202	2.618250
203	2.630250
204	2.641500
205	2.656500
206	2.664750
207	2.679000
208	2.690250
209	2.701500
210	2.712750
211	2.727000
212	2.739750
213	2.753250
214	2.764500
215	2.777250
216	2.789250
217	2.804250
218	2.818500
219	2.829000
220	2.841750
221	2.853000
222	2.863500
223	2.875500
224	2.891250
225	2.904000
226	2.915250
227	2.926500
228	2.938500
229	2.953500
230	2.964750
231	2.977500
232	2.990250
233	3.001500
234	3.014250
235	3.025500
236	3.033750
237	3.034500
238	3.034500
239	3.035250
240	3.035250
241	3.036000
242	3.036000
243	3.036000
244	3.036000
245	3.036000
246	3.036000
247	3.036000
248	3.036000
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036000
254	3.036000
255	3.036750
