# value	current [nA]
0	0.009000
1	0.012750
2	0.032250
3	0.046500
4	0.057750
5	0.073500
6	0.086250
7	0.100500
8	0.109500
9	0.123750
10	0.138000
11	0.153750
12	0.166500
13	0.178500
14	0.191250
15	0.207750
16	0.222000
17	0.231750
18	0.248250
19	0.261750
20	0.274500
21	0.284250
22	0.300000
23	0.312750
24	0.327000
25	0.342750
26	0.351750
27	0.369000
28	0.382500
29	0.393000
30	0.405750
31	0.420000
32	0.432000
33	0.447750
34	0.460500
35	0.471750
36	0.485250
37	0.498750
38	0.514500
39	0.527250
40	0.537750
41	0.550500
42	0.564000
43	0.579000
44	0.589500
45	0.601500
46	0.615000
47	0.628500
48	0.642000
49	0.655500
50	0.670500
51	0.681750
52	0.692250
53	0.708000
54	0.720750
55	0.730500
56	0.746250
57	0.758250
58	0.772500
59	0.786000
60	0.799500
61	0.807750
62	0.822750
63	0.835500
64	0.849750
65	0.862500
66	0.879000
67	0.888000
68	0.902250
69	0.912750
70	0.925500
71	0.938250
72	0.949500
73	0.964500
74	0.980250
75	0.993750
76	1.004250
77	1.017750
78	1.026750
79	1.043250
80	1.058250
81	1.068750
82	1.081500
83	1.094250
84	1.109250
85	1.121250
86	1.133250
87	1.144500
88	1.161000
89	1.175250
90	1.184250
91	1.195500
92	1.212000
93	1.224000
94	1.234500
95	1.248000
96	1.262250
97	1.275000
98	1.285500
99	1.296750
100	1.311000
101	1.325250
102	1.339500
103	1.349250
104	1.363500
105	1.375500
106	1.390500
107	1.401000
108	1.413750
109	1.426500
110	1.441500
111	1.455000
112	1.464750
113	1.479750
114	1.491750
115	1.502250
116	1.518000
117	1.528500
118	1.539750
119	1.553250
120	1.566000
121	1.578000
122	1.593000
123	1.606500
124	1.615500
125	1.630500
126	1.643250
127	1.657500
128	1.669500
129	1.683750
130	1.692750
131	1.707750
132	1.719750
133	1.732500
134	1.743000
135	1.757250
136	1.770750
137	1.780500
138	1.796250
139	1.807500
140	1.819500
141	1.834500
142	1.843500
143	1.860000
144	1.872750
145	1.884000
146	1.895250
147	1.911750
148	1.918500
149	1.936500
150	1.946250
151	1.962000
152	1.973250
153	1.984500
154	1.995750
155	2.011500
156	2.020500
157	2.037000
158	2.047500
159	2.059500
160	2.071500
161	2.085750
162	2.093250
163	2.108250
164	2.120250
165	2.133750
166	2.145000
167	2.158500
168	2.168250
169	2.181750
170	2.197500
171	2.210250
172	2.221500
173	2.235750
174	2.244750
175	2.254500
176	2.271750
177	2.281500
178	2.293500
179	2.308500
180	2.316750
181	2.328750
182	2.343000
183	2.354250
184	2.370000
185	2.379000
186	2.396250
187	2.405250
188	2.416500
189	2.429250
190	2.444250
191	2.454000
192	2.468250
193	2.479500
194	2.493000
195	2.503500
196	2.514750
197	2.529000
198	2.541750
199	2.551500
200	2.566500
201	2.579250
202	2.589750
203	2.604000
204	2.617500
205	2.627250
206	2.637750
207	2.655750
208	2.664750
209	2.677500
210	2.688750
211	2.703000
212	2.715750
213	2.725500
214	2.739000
215	2.751750
216	2.763750
217	2.775750
218	2.790750
219	2.800500
220	2.812500
221	2.824500
222	2.837250
223	2.847000
224	2.860500
225	2.874750
226	2.886000
227	2.898750
228	2.912250
229	2.925000
230	2.935500
231	2.949750
232	2.961000
233	2.971500
234	2.984250
235	2.997750
236	3.011250
237	3.021750
238	3.032250
239	3.034500
240	3.034500
241	3.035250
242	3.035250
243	3.036000
244	3.036000
245	3.036000
246	3.036000
247	3.036000
248	3.036000
249	3.036000
250	3.036000
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036000
