# value	voltage [V]
0	0.004300
1	0.010750
2	0.017200
3	0.023650
4	0.030530
5	0.037410
6	0.043430
7	0.049880
8	0.057190
9	0.063640
10	0.070520
11	0.076540
12	0.083420
13	0.090300
14	0.096750
15	0.103200
16	0.110510
17	0.116960
18	0.123410
19	0.129860
20	0.136740
21	0.143620
22	0.150070
23	0.156520
24	0.162970
25	0.169850
26	0.176300
27	0.183180
28	0.189630
29	0.196510
30	0.202960
31	0.209410
32	0.216290
33	0.223170
34	0.229620
35	0.236070
36	0.242520
37	0.249400
38	0.255850
39	0.262730
40	0.269180
41	0.276060
42	0.282510
43	0.288960
44	0.295410
45	0.302290
46	0.308740
47	0.315620
48	0.322070
49	0.328950
50	0.335400
51	0.342280
52	0.348730
53	0.355180
54	0.362060
55	0.368510
56	0.374960
57	0.381840
58	0.388290
59	0.395170
60	0.401620
61	0.408070
62	0.414950
63	0.421400
64	0.428280
65	0.434730
66	0.441610
67	0.448060
68	0.454510
69	0.461390
70	0.468270
71	0.474720
72	0.480740
73	0.487620
74	0.494070
75	0.500950
76	0.507400
77	0.514280
78	0.520730
79	0.527180
80	0.533630
81	0.540510
82	0.546960
83	0.553840
84	0.561150
85	0.567170
86	0.573620
87	0.580500
88	0.586950
89	0.593830
90	0.600280
91	0.606730
92	0.613180
93	0.620060
94	0.626080
95	0.632960
96	0.639410
97	0.645860
98	0.652740
99	0.659190
100	0.666500
101	0.672520
102	0.678970
103	0.685420
104	0.692300
105	0.699180
106	0.705200
107	0.712080
108	0.718100
109	0.724980
110	0.731000
111	0.737880
112	0.744760
113	0.750780
114	0.757230
115	0.764110
116	0.770130
117	0.777010
118	0.783460
119	0.789910
120	0.796360
121	0.802810
122	0.808400
123	0.815280
124	0.821730
125	0.827320
126	0.835920
127	0.841510
128	0.847530
129	0.853980
130	0.860000
131	0.867740
132	0.872900
133	0.880210
134	0.886230
135	0.892680
136	0.899990
137	0.904720
138	0.912460
139	0.918480
140	0.921920
141	0.928370
142	0.936540
143	0.942130
144	0.949010
145	0.953740
146	0.961480
147	0.966640
148	0.973520
149	0.976960
150	0.987710
151	0.991150
152	0.996740
153	1.004910
154	1.010930
155	1.014800
156	1.022970
157	1.029850
158	1.036730
159	1.041030
160	1.049200
161	1.055650
162	1.062530
163	1.068120
164	1.076290
165	1.080160
166	1.086610
167	1.094350
168	1.099510
169	1.106820
170	1.114130
171	1.121440
172	1.127890
173	1.133910
174	1.140790
175	1.147240
176	1.154550
177	1.162290
178	1.169600
179	1.176050
180	1.182500
181	1.188520
182	1.197120
183	1.203140
184	1.210020
185	1.217330
186	1.223350
187	1.230230
188	1.237110
189	1.244850
190	1.251730
191	1.259040
192	1.265490
193	1.272370
194	1.278820
195	1.285700
196	1.293870
197	1.299460
198	1.306770
199	1.313220
200	1.320960
201	1.326980
202	1.334290
203	1.341600
204	1.348480
205	1.354500
206	1.361380
207	1.368690
208	1.375570
209	1.383310
210	1.390190
211	1.396640
212	1.403520
213	1.411260
214	1.417280
215	1.424160
216	1.431040
217	1.438780
218	1.444800
219	1.452110
220	1.459420
221	1.465870
222	1.472320
223	1.480060
224	1.486080
225	1.493820
226	1.500700
227	1.507150
228	1.514460
229	1.520910
230	1.527360
231	1.535100
232	1.541550
233	1.548000
234	1.555310
235	1.562190
236	1.568640
237	1.576380
238	1.583260
239	1.589710
240	1.597020
241	1.603900
242	1.610780
243	1.617230
244	1.624540
245	1.630990
246	1.638300
247	1.644750
248	1.652060
249	1.658940
250	1.665820
251	1.673130
252	1.679580
253	1.687320
254	1.693340
255	1.701510
