# value	voltage [V]
0	0.003440
1	0.009890
2	0.016770
3	0.023220
4	0.030100
5	0.036550
6	0.043000
7	0.049450
8	0.056760
9	0.063210
10	0.069660
11	0.076540
12	0.082990
13	0.089440
14	0.096320
15	0.102770
16	0.109220
17	0.116100
18	0.122980
19	0.129430
20	0.136310
21	0.142760
22	0.149210
23	0.156090
24	0.162540
25	0.169420
26	0.175870
27	0.182750
28	0.189200
29	0.195650
30	0.202530
31	0.208980
32	0.215860
33	0.222310
34	0.229190
35	0.235640
36	0.242090
37	0.248970
38	0.255420
39	0.262300
40	0.268750
41	0.275630
42	0.282080
43	0.288530
44	0.294980
45	0.301860
46	0.308740
47	0.315190
48	0.321640
49	0.328090
50	0.334970
51	0.341850
52	0.348300
53	0.355180
54	0.361630
55	0.368080
56	0.374960
57	0.381410
58	0.388290
59	0.394740
60	0.401620
61	0.408070
62	0.414520
63	0.421400
64	0.427850
65	0.434300
66	0.441180
67	0.447630
68	0.454510
69	0.460960
70	0.467410
71	0.474290
72	0.481170
73	0.487620
74	0.494070
75	0.500950
76	0.507830
77	0.514280
78	0.520300
79	0.527180
80	0.534060
81	0.540510
82	0.546960
83	0.553840
84	0.560290
85	0.567170
86	0.573620
87	0.580070
88	0.586950
89	0.593830
90	0.600280
91	0.606730
92	0.613180
93	0.620060
94	0.626510
95	0.633390
96	0.639410
97	0.645860
98	0.652310
99	0.659190
100	0.666070
101	0.672520
102	0.678540
103	0.685420
104	0.692300
105	0.699180
106	0.705630
107	0.712080
108	0.718960
109	0.724980
110	0.731860
111	0.737880
112	0.744330
113	0.751640
114	0.757230
115	0.764110
116	0.770130
117	0.777010
118	0.783890
119	0.789910
120	0.797650
121	0.803240
122	0.809260
123	0.816570
124	0.822160
125	0.828610
126	0.835060
127	0.842370
128	0.847960
129	0.855270
130	0.860860
131	0.867740
132	0.872470
133	0.880210
134	0.886660
135	0.891820
136	0.898270
137	0.904720
138	0.912460
139	0.918480
140	0.924930
141	0.930520
142	0.936970
143	0.942130
144	0.949440
145	0.955460
146	0.961910
147	0.969220
148	0.973520
149	0.981690
150	0.986850
151	0.992870
152	0.999750
153	1.007060
154	1.010500
155	1.017380
156	1.024260
157	1.030710
158	1.036730
159	1.041890
160	1.050060
161	1.056080
162	1.062100
163	1.067690
164	1.075860
165	1.081020
166	1.088760
167	1.094780
168	1.102090
169	1.108540
170	1.115420
171	1.122300
172	1.128320
173	1.135200
174	1.142940
175	1.148100
176	1.156270
177	1.162290
178	1.168740
179	1.176050
180	1.182070
181	1.189810
182	1.196690
183	1.204000
184	1.209590
185	1.217760
186	1.224640
187	1.231950
188	1.238400
189	1.245710
190	1.252590
191	1.259040
192	1.265920
193	1.272800
194	1.279680
195	1.286130
196	1.293870
197	1.300750
198	1.307200
199	1.314940
200	1.321820
201	1.327410
202	1.335150
203	1.342030
204	1.348910
205	1.355360
206	1.362670
207	1.369980
208	1.377290
209	1.383310
210	1.390190
211	1.397070
212	1.403950
213	1.411260
214	1.417280
215	1.424590
216	1.431040
217	1.438350
218	1.445230
219	1.452110
220	1.458990
221	1.467160
222	1.473180
223	1.479200
224	1.486080
225	1.493820
226	1.500700
227	1.507580
228	1.514460
229	1.521340
230	1.527790
231	1.534670
232	1.541550
233	1.548860
234	1.555310
235	1.561760
236	1.569070
237	1.576380
238	1.582830
239	1.590570
240	1.597020
241	1.603470
242	1.611640
243	1.617230
244	1.624540
245	1.631420
246	1.638730
247	1.644750
248	1.652060
249	1.660230
250	1.665820
251	1.672270
252	1.679580
253	1.686460
254	1.694200
255	1.701510
