# value	voltage [V]
0	0.003870
1	0.010320
2	0.016770
3	0.022790
4	0.030100
5	0.036550
6	0.043430
7	0.050310
8	0.056760
9	0.063210
10	0.070090
11	0.076540
12	0.082990
13	0.089870
14	0.096320
15	0.103200
16	0.109650
17	0.116530
18	0.123410
19	0.129000
20	0.136310
21	0.143190
22	0.149640
23	0.156090
24	0.162970
25	0.169420
26	0.176300
27	0.182750
28	0.189200
29	0.196080
30	0.202530
31	0.209410
32	0.215860
33	0.222740
34	0.229190
35	0.236070
36	0.242520
37	0.248540
38	0.255420
39	0.262300
40	0.268750
41	0.275630
42	0.282080
43	0.288960
44	0.294980
45	0.301860
46	0.308740
47	0.315190
48	0.322070
49	0.328520
50	0.335400
51	0.341850
52	0.348730
53	0.355180
54	0.361630
55	0.368510
56	0.374960
57	0.381840
58	0.388290
59	0.394740
60	0.401620
61	0.408070
62	0.414520
63	0.420970
64	0.427850
65	0.434300
66	0.441180
67	0.448060
68	0.454510
69	0.460960
70	0.467410
71	0.474290
72	0.480740
73	0.487620
74	0.494070
75	0.500950
76	0.507400
77	0.513850
78	0.520730
79	0.527180
80	0.533630
81	0.540080
82	0.546960
83	0.553840
84	0.560290
85	0.566740
86	0.573190
87	0.580500
88	0.586520
89	0.593400
90	0.599850
91	0.606730
92	0.613180
93	0.620060
94	0.626510
95	0.632530
96	0.639410
97	0.646290
98	0.653170
99	0.659190
100	0.665640
101	0.672950
102	0.678540
103	0.685420
104	0.692300
105	0.698320
106	0.704770
107	0.711650
108	0.718100
109	0.724550
110	0.731000
111	0.737020
112	0.744330
113	0.751210
114	0.757660
115	0.764110
116	0.770560
117	0.776580
118	0.782600
119	0.789910
120	0.796790
121	0.802810
122	0.810120
123	0.815280
124	0.822160
125	0.828610
126	0.834630
127	0.841940
128	0.848390
129	0.853550
130	0.860860
131	0.864300
132	0.872040
133	0.879780
134	0.887520
135	0.892680
136	0.897840
137	0.905580
138	0.911600
139	0.917190
140	0.924500
141	0.930520
142	0.937400
143	0.942130
144	0.947720
145	0.955890
146	0.960190
147	0.967930
148	0.973520
149	0.978680
150	0.985560
151	0.990720
152	0.998460
153	1.002760
154	1.009640
155	1.015230
156	1.023830
157	1.029420
158	1.035870
159	1.041460
160	1.048770
161	1.055220
162	1.061670
163	1.068120
164	1.074140
165	1.081450
166	1.087040
167	1.094350
168	1.102090
169	1.108970
170	1.114990
171	1.121440
172	1.128320
173	1.134340
174	1.142510
175	1.148960
176	1.154980
177	1.161860
178	1.169170
179	1.176050
180	1.182930
181	1.189810
182	1.197120
183	1.204000
184	1.210880
185	1.217330
186	1.224210
187	1.231090
188	1.237970
189	1.246140
190	1.251730
191	1.258610
192	1.265490
193	1.272370
194	1.279250
195	1.286560
196	1.293870
197	1.300320
198	1.307200
199	1.314080
200	1.321820
201	1.328270
202	1.334290
203	1.342030
204	1.348480
205	1.355790
206	1.362240
207	1.368690
208	1.376000
209	1.382880
210	1.389760
211	1.396210
212	1.403090
213	1.410400
214	1.417280
215	1.423730
216	1.431040
217	1.438350
218	1.444800
219	1.451680
220	1.459420
221	1.465010
222	1.472750
223	1.479630
224	1.485650
225	1.492960
226	1.499410
227	1.506720
228	1.514030
229	1.520480
230	1.527790
231	1.533810
232	1.541120
233	1.547570
234	1.554880
235	1.561330
236	1.568210
237	1.575950
238	1.582400
239	1.589280
240	1.596160
241	1.603040
242	1.610350
243	1.616370
244	1.624110
245	1.630990
246	1.637010
247	1.643890
248	1.651200
249	1.658940
250	1.664960
251	1.671840
252	1.679150
253	1.685600
254	1.693340
255	1.700220
