# value	voltage [V]
0	0.383560
1	0.390010
2	0.396890
3	0.403340
4	0.410220
5	0.416670
6	0.423120
7	0.429570
8	0.436450
9	0.442900
10	0.449350
11	0.455800
12	0.462680
13	0.469130
14	0.475580
15	0.482030
16	0.488910
17	0.495790
18	0.502240
19	0.509120
20	0.515570
21	0.522020
22	0.528900
23	0.535350
24	0.542230
25	0.548680
26	0.555130
27	0.562010
28	0.568460
29	0.574910
30	0.581790
31	0.588670
32	0.595120
33	0.601570
34	0.608450
35	0.614900
36	0.621780
37	0.628230
38	0.634680
39	0.641560
40	0.648010
41	0.654460
42	0.661340
43	0.667790
44	0.674670
45	0.681120
46	0.688000
47	0.694450
48	0.700900
49	0.707780
50	0.714230
51	0.721110
52	0.727990
53	0.734440
54	0.740890
55	0.747340
56	0.754220
57	0.761100
58	0.767550
59	0.774430
60	0.780880
61	0.787330
62	0.794210
63	0.800660
64	0.807540
65	0.813990
66	0.820870
67	0.827750
68	0.834200
69	0.841080
70	0.847100
71	0.853980
72	0.860860
73	0.867310
74	0.874190
75	0.881070
76	0.887520
77	0.893970
78	0.900850
79	0.907300
80	0.914180
81	0.920630
82	0.927510
83	0.933960
84	0.941270
85	0.947720
86	0.954170
87	0.961480
88	0.967500
89	0.974380
90	0.981260
91	0.987280
92	0.994160
93	1.001040
94	1.007920
95	1.014370
96	1.021250
97	1.027700
98	1.034150
99	1.041030
100	1.047910
101	1.054360
102	1.061240
103	1.068120
104	1.074570
105	1.081020
106	1.087900
107	1.094350
108	1.101230
109	1.108110
110	1.114560
111	1.121440
112	1.127890
113	1.134770
114	1.141220
115	1.148100
116	1.154550
117	1.161860
118	1.168310
119	1.174760
120	1.181640
121	1.188090
122	1.195400
123	1.201420
124	1.208300
125	1.215180
126	1.222060
127	1.228510
128	1.235390
129	1.242270
130	1.248720
131	1.255170
132	1.262050
133	1.268500
134	1.275380
135	1.282260
136	1.288710
137	1.295590
138	1.302470
139	1.308920
140	1.315370
141	1.322250
142	1.329130
143	1.335580
144	1.342460
145	1.349340
146	1.355790
147	1.362240
148	1.369120
149	1.376000
150	1.382450
151	1.389330
152	1.395780
153	1.402660
154	1.409540
155	1.415990
156	1.422870
157	1.429320
158	1.435770
159	1.442650
160	1.449530
161	1.455980
162	1.462860
163	1.469740
164	1.476190
165	1.482640
166	1.489520
167	1.495970
168	1.502850
169	1.509730
170	1.516180
171	1.522630
172	1.529080
173	1.535530
174	1.542840
175	1.548860
176	1.555740
177	1.562190
178	1.568210
179	1.575090
180	1.581110
181	1.587130
182	1.593580
183	1.599600
184	1.605620
185	1.612070
186	1.617660
187	1.623250
188	1.628840
189	1.634000
190	1.639590
191	1.644750
192	1.649910
193	1.655070
194	1.659800
195	1.664100
196	1.668400
197	1.672700
198	1.677000
199	1.680870
200	1.684310
201	1.688180
202	1.691190
203	1.694630
204	1.697210
205	1.699790
206	1.702370
207	1.704950
208	1.706670
209	1.708820
210	1.710540
211	1.710970
212	1.711830
213	1.712690
214	1.712690
215	1.713120
216	1.713120
217	1.713120
218	1.713550
219	1.713550
220	1.713550
221	1.713980
222	1.713550
223	1.713550
224	1.713980
225	1.713980
226	1.713980
227	1.713980
228	1.713980
229	1.713980
230	1.713980
231	1.713980
232	1.713980
233	1.713980
234	1.713980
235	1.713980
236	1.713980
237	1.713980
238	1.713980
239	1.713980
240	1.713980
241	1.713980
242	1.713980
243	1.713980
244	1.713980
245	1.713980
246	1.713980
247	1.713980
248	1.713980
249	1.713980
250	1.713980
251	1.713980
252	1.713980
253	1.713980
254	1.713980
255	1.713980
