#time	analog (mA)	digital (mA)	status
2022-01-27 15:11:59.918543	13.94	65.18	1
2022-01-27 15:12:00.019639	14.02	64.61	1
2022-01-27 15:12:00.120593	14.58	65.26	1
2022-01-27 15:12:00.221520	14.02	65.66	1
2022-01-27 15:12:00.322436	13.78	65.18	1
2022-01-27 15:12:00.423373	13.86	65.10	1
2022-01-27 15:12:00.524405	14.34	64.45	1
2022-01-27 15:12:00.625331	13.45	65.50	1
2022-01-27 15:12:00.726289	14.74	65.10	1
2022-01-27 15:12:00.827210	13.86	65.66	1
2022-01-27 15:12:00.928152	13.29	65.66	1
2022-01-27 15:12:01.029152	14.02	65.26	1
2022-01-27 15:12:01.130089	13.70	64.86	1
2022-01-27 15:12:01.230998	13.54	65.50	1
2022-01-27 15:12:01.331919	13.94	65.26	1
2022-01-27 15:12:01.432830	13.70	64.78	1
2022-01-27 15:12:01.533830	13.62	65.42	1
2022-01-27 15:12:01.634782	13.78	64.69	1
2022-01-27 15:12:01.735710	13.86	64.69	1
2022-01-27 15:12:01.836625	14.18	65.18	1
2022-01-27 15:12:01.937563	13.29	65.34	1
2022-01-27 15:12:02.038582	13.70	64.69	1
2022-01-27 15:12:02.139496	14.02	65.26	1
2022-01-27 15:12:02.240421	14.18	65.34	1
2022-01-27 15:12:02.341325	14.42	65.02	1
2022-01-27 15:12:02.442251	14.02	64.86	1
2022-01-27 15:12:02.543264	14.66	65.18	1
2022-01-27 15:12:02.644202	13.29	64.86	1
2022-01-27 15:12:02.745112	14.10	65.18	1
2022-01-27 15:12:02.846019	14.26	64.86	1
2022-01-27 15:12:02.946941	13.86	64.94	1
2022-01-27 15:12:03.047973	14.34	64.29	1
2022-01-27 15:12:03.148887	13.70	64.86	1
2022-01-27 15:12:03.249793	13.78	65.10	1
2022-01-27 15:12:03.350696	14.02	63.97	1
2022-01-27 15:12:03.451597	14.34	65.26	1
2022-01-27 15:12:03.552591	14.02	64.94	1
2022-01-27 15:12:03.653530	13.94	65.90	1
2022-01-27 15:12:03.754436	14.58	64.78	1
2022-01-27 15:12:03.855344	13.54	64.69	1
2022-01-27 15:12:03.956274	14.26	65.42	1
2022-01-27 15:12:04.057286	13.86	64.94	1
2022-01-27 15:12:04.158220	14.26	65.50	1
2022-01-27 15:12:04.259125	14.18	65.74	1
2022-01-27 15:12:04.360049	14.42	64.37	1
2022-01-27 15:12:04.461035	14.10	65.26	1
2022-01-27 15:12:04.563140	13.94	65.74	1
2022-01-27 15:12:04.665255	13.37	65.02	1
2022-01-27 15:12:04.767280	14.34	64.69	1
2022-01-27 15:12:04.869298	14.58	64.86	1
