# value	current [nA]
0	0.007500
1	0.006750
2	0.030000
3	0.045750
4	0.060000
5	0.073500
6	0.086250
7	0.101250
8	0.113250
9	0.130500
10	0.144000
11	0.153750
12	0.172500
13	0.184500
14	0.198750
15	0.211500
16	0.225000
17	0.237750
18	0.255000
19	0.264750
20	0.281250
21	0.294750
22	0.306750
23	0.321750
24	0.337500
25	0.347250
26	0.361500
27	0.377250
28	0.389250
29	0.405000
30	0.419250
31	0.430500
32	0.448500
33	0.458250
34	0.474000
35	0.488250
36	0.501750
37	0.516000
38	0.526500
39	0.540750
40	0.554250
41	0.567000
42	0.582750
43	0.593250
44	0.609000
45	0.621750
46	0.635250
47	0.649500
48	0.661500
49	0.674250
50	0.691500
51	0.704250
52	0.716250
53	0.728250
54	0.740250
55	0.756000
56	0.770250
57	0.781500
58	0.798750
59	0.809250
60	0.825000
61	0.837750
62	0.849750
63	0.862500
64	0.875250
65	0.886500
66	0.900750
67	0.916500
68	0.927750
69	0.939750
70	0.960000
71	0.967500
72	0.981000
73	0.996000
74	1.011000
75	1.022250
76	1.035750
77	1.049250
78	1.062750
79	1.075500
80	1.088250
81	1.102500
82	1.114500
83	1.131750
84	1.143750
85	1.159500
86	1.173750
87	1.182750
88	1.194750
89	1.209000
90	1.223250
91	1.236750
92	1.252500
93	1.263000
94	1.275000
95	1.291500
96	1.306500
97	1.311750
98	1.329000
99	1.340250
100	1.357500
101	1.368750
102	1.382250
103	1.394250
104	1.407750
105	1.422750
106	1.434000
107	1.447500
108	1.464000
109	1.473000
110	1.488000
111	1.501500
112	1.512750
113	1.527000
114	1.540500
115	1.554750
116	1.566000
117	1.575750
118	1.590000
119	1.605000
120	1.616250
121	1.633500
122	1.644750
123	1.655250
124	1.671750
125	1.680750
126	1.694250
127	1.706250
128	1.722750
129	1.737750
130	1.750500
131	1.760250
132	1.773750
133	1.785000
134	1.797750
135	1.816500
136	1.824000
137	1.839750
138	1.853250
139	1.865250
140	1.879500
141	1.891500
142	1.904250
143	1.917000
144	1.933500
145	1.943250
146	1.962000
147	1.974000
148	1.985250
149	1.998000
150	2.013000
151	2.026500
152	2.040000
153	2.050500
154	2.062500
155	2.073000
156	2.090250
157	2.101500
158	2.115000
159	2.130000
160	2.141250
161	2.153250
162	2.167500
163	2.181750
164	2.194500
165	2.206500
166	2.220750
167	2.232000
168	2.243250
169	2.258250
170	2.276250
171	2.283750
172	2.297250
173	2.313000
174	2.325000
175	2.338500
176	2.348250
177	2.361000
178	2.376750
179	2.387250
180	2.402250
181	2.413500
182	2.428500
183	2.438250
184	2.455500
185	2.465250
186	2.481750
187	2.493000
188	2.503500
189	2.517000
190	2.532750
191	2.545500
192	2.553750
193	2.569500
194	2.586750
195	2.596500
196	2.611500
197	2.619750
198	2.634000
199	2.650500
200	2.661750
201	2.675250
202	2.684250
203	2.700750
204	2.709750
205	2.722500
206	2.739000
207	2.748750
208	2.763000
209	2.777250
210	2.789250
211	2.803500
212	2.817000
213	2.829750
214	2.841000
215	2.856000
216	2.871750
217	2.879250
218	2.892000
219	2.904750
220	2.917500
221	2.931000
222	2.944500
223	2.957250
224	2.970750
225	2.982750
226	2.997000
227	3.010500
228	3.021000
229	3.032250
230	3.034500
231	3.035250
232	3.035250
233	3.035250
234	3.035250
235	3.036000
236	3.036000
237	3.036000
238	3.036000
239	3.036000
240	3.036000
241	3.036000
242	3.036750
243	3.036750
244	3.036750
245	3.036750
246	3.036750
247	3.036000
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
