# value	voltage [V]
0	0.377540
1	0.384420
2	0.391300
3	0.397750
4	0.404630
5	0.411080
6	0.417960
7	0.424410
8	0.431290
9	0.438170
10	0.445050
11	0.451930
12	0.458380
13	0.465260
14	0.472140
15	0.478590
16	0.485470
17	0.492350
18	0.498800
19	0.505680
20	0.512990
21	0.519440
22	0.526320
23	0.532770
24	0.539220
25	0.546100
26	0.553410
27	0.559860
28	0.566310
29	0.573190
30	0.580070
31	0.586950
32	0.593400
33	0.599850
34	0.607160
35	0.613610
36	0.620060
37	0.626940
38	0.633820
39	0.640270
40	0.647150
41	0.653600
42	0.660480
43	0.666930
44	0.673810
45	0.680690
46	0.687140
47	0.694450
48	0.700900
49	0.707350
50	0.714230
51	0.721110
52	0.727560
53	0.734010
54	0.740890
55	0.747340
56	0.754220
57	0.761100
58	0.767550
59	0.774430
60	0.780880
61	0.787760
62	0.794640
63	0.801090
64	0.807970
65	0.814850
66	0.821300
67	0.828180
68	0.834630
69	0.841510
70	0.847960
71	0.854840
72	0.861290
73	0.868170
74	0.874620
75	0.881500
76	0.888380
77	0.895260
78	0.901710
79	0.908590
80	0.915040
81	0.921920
82	0.928370
83	0.935250
84	0.942130
85	0.948580
86	0.955460
87	0.961910
88	0.968790
89	0.975670
90	0.982120
91	0.989000
92	0.995880
93	1.001900
94	1.009210
95	1.015660
96	1.022540
97	1.028990
98	1.035870
99	1.042320
100	1.049200
101	1.055650
102	1.062960
103	1.069410
104	1.076290
105	1.082310
106	1.089190
107	1.096070
108	1.102950
109	1.109830
110	1.115850
111	1.123160
112	1.129610
113	1.136490
114	1.143370
115	1.149820
116	1.156700
117	1.163580
118	1.170030
119	1.176480
120	1.183360
121	1.190240
122	1.196690
123	1.203140
124	1.210020
125	1.216900
126	1.223780
127	1.230230
128	1.236680
129	1.243560
130	1.250440
131	1.256890
132	1.263340
133	1.270220
134	1.277100
135	1.283550
136	1.290430
137	1.296880
138	1.303330
139	1.310210
140	1.316660
141	1.323540
142	1.329990
143	1.336870
144	1.343750
145	1.350200
146	1.357080
147	1.363530
148	1.369980
149	1.376860
150	1.383740
151	1.390190
152	1.396640
153	1.403090
154	1.409970
155	1.416850
156	1.423300
157	1.430180
158	1.436630
159	1.443080
160	1.450390
161	1.456840
162	1.462860
163	1.469740
164	1.476620
165	1.483070
166	1.489950
167	1.496400
168	1.502850
169	1.509730
170	1.516180
171	1.523060
172	1.529510
173	1.535960
174	1.542840
175	1.548860
176	1.555310
177	1.562190
178	1.568210
179	1.574660
180	1.580680
181	1.587130
182	1.593150
183	1.599170
184	1.605190
185	1.611210
186	1.616800
187	1.622820
188	1.627980
189	1.633570
190	1.638730
191	1.643890
192	1.649050
193	1.654210
194	1.658940
195	1.663670
196	1.667970
197	1.672270
198	1.676140
199	1.680440
200	1.683450
201	1.687320
202	1.690760
203	1.693770
204	1.696350
205	1.699360
206	1.701940
207	1.704090
208	1.706240
209	1.707960
210	1.709680
211	1.710970
212	1.711830
213	1.712260
214	1.712690
215	1.712690
216	1.713120
217	1.713120
218	1.713550
219	1.713550
220	1.713550
221	1.713550
222	1.713980
223	1.713550
224	1.713980
225	1.713980
226	1.713980
227	1.713980
228	1.713980
229	1.713980
230	1.713980
231	1.713980
232	1.713980
233	1.713980
234	1.713980
235	1.713980
236	1.713980
237	1.713980
238	1.713980
239	1.713980
240	1.713980
241	1.713980
242	1.713980
243	1.713980
244	1.713980
245	1.713980
246	1.713980
247	1.713980
248	1.713980
249	1.713980
250	1.713980
251	1.713980
252	1.713980
253	1.713980
254	1.713980
255	1.713980
