# value	current [nA]
0	0.007500
1	0.008250
2	0.033750
3	0.045000
4	0.060000
5	0.075000
6	0.087000
7	0.103500
8	0.117000
9	0.129750
10	0.143250
11	0.156750
12	0.171000
13	0.184500
14	0.201750
15	0.212250
16	0.228750
17	0.240750
18	0.255000
19	0.272250
20	0.285000
21	0.298500
22	0.308250
23	0.326250
24	0.339000
25	0.351000
26	0.368250
27	0.380250
28	0.396000
29	0.407250
30	0.422250
31	0.437250
32	0.453000
33	0.460500
34	0.476250
35	0.491250
36	0.508500
37	0.518250
38	0.531000
39	0.545250
40	0.558750
41	0.571500
42	0.584250
43	0.597000
44	0.614250
45	0.623250
46	0.641250
47	0.653250
48	0.669000
49	0.678000
50	0.697500
51	0.711000
52	0.722250
53	0.737250
54	0.749250
55	0.761250
56	0.776250
57	0.790500
58	0.805500
59	0.815250
60	0.831000
61	0.843750
62	0.855000
63	0.870000
64	0.883500
65	0.897000
66	0.912750
67	0.923250
68	0.938250
69	0.951750
70	0.964500
71	0.976500
72	0.995250
73	1.005750
74	1.020000
75	1.035000
76	1.042500
77	1.056000
78	1.071000
79	1.085250
80	1.099500
81	1.114500
82	1.126500
83	1.137750
84	1.152000
85	1.166250
86	1.176000
87	1.193250
88	1.204500
89	1.220250
90	1.230750
91	1.244250
92	1.259250
93	1.271250
94	1.284000
95	1.297500
96	1.311000
97	1.323750
98	1.335750
99	1.349250
100	1.362000
101	1.379250
102	1.389000
103	1.401750
104	1.419000
105	1.426500
106	1.442250
107	1.455750
108	1.470000
109	1.484250
110	1.500000
111	1.507500
112	1.521000
113	1.535250
114	1.547250
115	1.560000
116	1.578000
117	1.590750
118	1.601250
119	1.615500
120	1.627500
121	1.639500
122	1.652250
123	1.663500
124	1.674750
125	1.692000
126	1.707000
127	1.719750
128	1.731750
129	1.744500
130	1.757250
131	1.774500
132	1.782750
133	1.799250
134	1.811250
135	1.822500
136	1.836750
137	1.851750
138	1.861500
139	1.875750
140	1.890750
141	1.903500
142	1.919250
143	1.929750
144	1.941000
145	1.959750
146	1.971750
147	1.983000
148	1.995750
149	2.007000
150	2.022750
151	2.038500
152	2.046000
153	2.061750
154	2.071500
155	2.082750
156	2.100000
157	2.113500
158	2.125500
159	2.141250
160	2.149500
161	2.164500
162	2.177250
163	2.190750
164	2.202750
165	2.217000
166	2.228250
167	2.244750
168	2.259000
169	2.269500
170	2.282250
171	2.298000
172	2.304000
173	2.324250
174	2.336250
175	2.349750
176	2.359500
177	2.375250
178	2.386500
179	2.398500
180	2.414250
181	2.424750
182	2.439750
183	2.453250
184	2.465250
185	2.475000
186	2.493750
187	2.505000
188	2.518500
189	2.529000
190	2.541000
191	2.557500
192	2.567250
193	2.583000
194	2.597250
195	2.607000
196	2.624250
197	2.635500
198	2.646750
199	2.658750
200	2.672250
201	2.682750
202	2.699250
203	2.709750
204	2.722500
205	2.737500
206	2.748750
207	2.761500
208	2.775750
209	2.790750
210	2.799750
211	2.814750
212	2.829000
213	2.841000
214	2.854500
215	2.865750
216	2.876250
217	2.891250
218	2.904750
219	2.916000
220	2.930250
221	2.943000
222	2.956500
223	2.969250
224	2.982750
225	2.994750
226	3.008250
227	3.019500
228	3.030750
229	3.034500
230	3.035250
231	3.035250
232	3.035250
233	3.035250
234	3.036000
235	3.036000
236	3.036000
237	3.036000
238	3.036000
239	3.036000
240	3.036750
241	3.036000
242	3.036750
243	3.036750
244	3.036750
245	3.036750
246	3.036750
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
